department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ANTHRO,2A,Introduction to Sociocultural Anthropology,4,III and VIII,"Introduction to cultural diversity and the methods used by anthropologists to account for it. Family relations, economic activities, politics, gender, and religion in a wide range of societies. Stresses the application of anthropological methods to research problems.",,,,,,,,,
ANTHRO,2B,Introduction to Biological Anthropology,4,III,"Evolutionary theory and processes, comparative primate fossil record, human variation, and the adequacy of theory, and empirical data.",,,,,,,,,
ANTHRO,2C,Introduction to Archaeology,4,III,"Archaeological theory and cultural processes with emphasis on the American Southwest, Mesoamerica, and Mesopotamia.",,,,,,,,,
ANTHRO,2D,Introduction to Language and Culture,4,III,"Explores what the study of language can reveal about ourselves as bearers of culture. After introducing some basic concepts, examines how cultural knowledge is linguistically organized and how language might shape our perception of the world.",,,LSCI 68.,,,,,,
ANTHRO,10A,Probability and Statistics,4,Va,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,SOCIOL 10A.,"PSYCH 10A, SOCECOL 13, SOC SCI 10A, POL SCI 10A.",,,,,
ANTHRO,10B,Probability and Statistics,4,Va,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",SOCIOL 10A or ANTHRO 10A,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,SOCIOL 10B.,"PSYCH 10B, SOCECOL 13, SOC SCI 10B, POL SCI 10B.",,,,,
ANTHRO,10C,Probability and Statistics,4,Vb,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",SOCIOL 10B or ANTHRO 10B,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,SOCIOL 10C.,"PSYCH 10C, SOCECOL 13, SOC SCI 10C, POL SCI 10C.",,,,,
ANTHRO,20A,"People, Cultures, and Environmental Sustainability",4,VIII,"Anthropological consideration of global environmental sustainability from the perspective of human cultures and communities. Causes and consequences of population growth, natural resource management, environmental law, environmental ethics. Case studies emphasize tropical rain forests, arid lands of Africa and North America.",,,,,,,,,
ANTHRO,25A,Environmental Injustice,4,III and VII,"Explores how pollution, climate change, and other environmental problems impact people around the world, often worsening social inequality. Students use social science frameworks to understand environmental problems, different interpretations of these problems, and how people have organized for political change.",,,,,,,,,
ANTHRO,30A,Global Issues in Anthropological Perspective,4,VIII,Explores anthropological perspectives on issues of importance in an increasingly global society. Topics include emphases on ethnic conflict; identity; immigration and citizenship; religion and religious diversity; medical anthropology; legal anthropology; development and economic change; gender.,,Anthropology Majors have first consideration for enrollment.,,,,,,,
ANTHRO,30C,Visual Anthropology,4,,"Focusing on the construction of culture through visuality, this course engages traditional ethnographic films, popular media and anthropological texts to analyze ethics, ""reality"" and fiction; propaganda and documentary, construction of a frame, the responsibility of the filmmaker, photographer, and anthropologist.",,,,,,,,,
ANTHRO,41A,Global Cultures and Society,4,III and VIII,"Offers a general overview of the rise of global interdependence in political, economic, demographic, and cultural terms. Considers what drove people from relative isolation into intensified intercourse with one another, and investigates the consequences of this shift.",,Anthropology Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,INTL ST 11.,,,,,,
ANTHRO,45A,"Science, Culture, Power",4,III,"Examines science in historical and cultural context (Scientific and Darwinian Revolutions, Manhattan Project, contemporary biosciences) to understand scientific truths and their limits, scientists as social actors, and vital intersections of sciences with religion, politics, gender, and other forms of culture.",,,,,,,,,
ANTHRO,48,"Archaeology or Aliens?: Conspiracy, Pseudoscience, and the Emergence of Civilizations",4,III and VIII,"Archaeology has inspired (and sometimes actively encouraged) various theories about aliens, lost civilizations, dark conspiracies, and mysterious technologies. Does such an intimate relationship with these fantastic notions undermine archaeology and its claims of authoritative knowledge about past cultures.",,,,,,,,,
ANTHRO,100A,Ethnography and Anthropological Methods,4,,"Anthropological research, learning ethnographic methods, and how to choose a research topic, construct research questions, explore library resources, collect data, and write an analytical paper on research findings.",,Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Medical Anthropology Minors have first consideration for enrollment.,,,,,,,ANTHRO 2A
ANTHRO,100B,Anthropology Careers,4,,"Gives students the skills and perspective needed to leverage undergraduate anthropology education in diverse career domains. Students explore different career domains (health care, tech development, environmental governance, etc.) and learn to represent themselves professionally.",,Anthropology Majors only. Anthropology Minors only. Medical Anthropology Minors only.,,,,,,,
ANTHRO,121AW,Kinship and Social Organization,4,Ib,"Organization of social life primarily in preindustrial societies. Theories of kinship, marriage regulations, sexual behavior, and social roles. Comparisons of biological, psychological, sociological, and economic explanations of social organization.",Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
ANTHRO,121D,Cross-Cultural Studies of Gender,4,VII,"Explores the construction of gender in national and transnational contexts. Special attention is given to how race, sexuality, class, and global inequalities shape different experiences of gender, and how gender structures political, institutional, and social life across the world.",,,,,,,,,
ANTHRO,121J,Urban Anthropology,4,,"Cultural roles of cities and the processes of urbanization in a comparative perspective. Focus includes nonwestern, nonindustrial societies of past and present; the relationship between modern urban centers across different world regions. Themes covered include: inequality, race, migration, poverty, capitalism.",,,,,,,,,
ANTHRO,124,Gold: The Alchemy of Socio-Economic Practice,4,,"Before bitcoin, before derivatives and mortgage-backed securities, before even writing itself, there was gold. Explore gold's role in the development of culture, politics, and power. From Pharaohs to modern financial wizards, gold has impacted and mediated social life.",,Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Archaeology Minors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Economics Minors have first consideration for enrollment.,,,,,,,
ANTHRO,125,Anthropology of Debt,4,,"Explores how debt has shaped culture across varied contexts geographically and historically. In what ways have societies naturalized indebtedness, taken it for granted as a fact of life, and used it for organizing social relations.",,Anthropology Majors have first consideration for enrollment. Anthropology Minors have first consideration for enrollment. Archaeology Minors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Economics Minors have first consideration for enrollment.,,,,,,,
ANTHRO,125A,Economic Anthropology,4,,"Economic systems in comparative perspective: production, distribution, and consumption in market and non-market societies; agricultural development in the third world.","One course in general science, anthropology, economics, geography, or sociology.",Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment. Anthropology Majors have first consideration for enrollment.,ECON 152A.,,,,,,
ANTHRO,125B,Ecological Anthropology,4,,"Studies relationships between human communities and their natural environments. The role of environment in shaping culture; effects of extreme environments on human biology and social organization; anthropologist's role in studying global environmental problems, e.g., African famine, tropical rain forests destruction.",ANTHRO 2A or ANTHRO 2B or ANTHRO 2C,,,,,,,,
