department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ASIANAM,50,Asian American Histories,4,(III or IV) and VII,Examines and compares diverse experiences of major Asian American groups since the mid-nineteenth century. Topics include origins of emigration; the formation and transformation of community; gender and family life; changing roles of Asian Americans in American society. Formerly ASIANAM 60A.,,,"HISTORY 15C, SOC SCI 78A.",,,,,,
ASIANAM,51,The U.S,4,(III or IV) and VIII,"Explores the historical and contemporary transnational linkages between the U.S. and regions in Asia and their resultant flows of people, goods, and ideas. Attention given to the role of militarism and processes of globalization, and the histories of cultural contact/conflict.",,,,,,,,,
ASIANAM,52,Asian American Communities,4,"III, VII","Examines the renewal of Asian immigration following World War II. Explores contemporary Asian American populations and communities in the U.S., and the impact of contemporary Asian immigration on the U.S. political economy and social order.",,,SOC SCI 78B.,,,,,,
ASIANAM,53,Asian Americans and Race,4,"III, VII","Analyzes the Asian American experience in comparative perspective, which includes comparisons of different ethnic and racial groups, and across gender and class. Possible topics include labor, economy, politics, migration, nation, popular culture, gender, family, sexuality, and multiraciality.",,,SOC SCI 78C.,,,,,,
ASIANAM,54,Asian American Stories,4,"IV, VII","Examines stories from Asian American communities through literary texts and other media. Selected themes may include the following: dislocation/relocation, finding/inventing a usable past, poetics/politics in language, identities/ethnicities.",,,,,,,,,
ASIANAM,55,Asian Americans and the Media,4,"IV, VII","Investigates popular representations of and cultural productions by Asian Pacific Americans and Asians in the Americas from the late-nineteenth century to the present. Cultural media may include political cartoons, film/television, popular music, visual art, blogs/Web sites, and performance.",,,,,,,,,
ASIANAM,100W,Research Methodologies for Asian American Studies,4,Ib,"Explores various research methodologies for Asian American Studies combining theoretical knowledge with field research. Goals: conduct field research about immigrants and refugees from Asia. Topics vary: migration and labor, assimilation and cultural preservation, cultural expressions in the diaspora.",Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
ASIANAM,110,Asian American Writers,4,,"Literary analysis of Asian American writers' representations of issues of identity, class, history among others. Variety of literary forms--novel, poem, drama, essay--included in a study of a variety of Asian American ethnic groups.",,,,,,,Unlimited as topics vary.,,
ASIANAM,111,Asian American History,4,,Introduction to important themes in the history of people of Asian ancestry in the United States from the nineteenth century to the present.,,,,,,,Unlimited as topics vary.,,
ASIANAM,112,Asian American Art History,4,,Investigation of Asian American experience expressed by art and visual culture throughout the twentieth century. Art by Asian Americans of diverse backgrounds as well as the history of cultural visualization of Asian identities in American art/visual culture.,,,,,,,Unlimited as topics vary.,,
