department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
BIOCHEM,200A,Research in Biological Chemistry,2-12,,Individual research under the supervision of a professor.,,,,,,,Unlimited as topics vary.,,
BIOCHEM,200B,Research in Biological Chemistry,2-12,,Individual research under the supervision of a professor.,,,,,,,Unlimited as topics vary.,,
BIOCHEM,200C,Research in Biological Chemistry,2-12,,Individual research under the supervision of a professor.,,,,,,,Unlimited as topics vary.,,
BIOCHEM,200R,Research in Biological Chemistry for First-Year Students,2-12,,Independent research within the laboratories of graduate training faculty in the Department of Biological Chemistry for first-year Ph.D. students.,,,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
BIOCHEM,202A,Laboratory Seminar Series,1,,Study within a laboratory group including research and journal presentations.,,,,,,Satisfactory/unsatisfactory only.,Unlimited as topics vary.,,
BIOCHEM,202B,Laboratory Seminar Series,1,,Study within a laboratory group including research and journal presentations.,,,,,,Satisfactory/unsatisfactory only.,Unlimited as topics vary.,,
BIOCHEM,202C,Laboratory Seminar Series,1,,Study within a laboratory group including research and journal presentations.,,,,,,Satisfactory/unsatisfactory only.,Unlimited as topics vary.,,
BIOCHEM,207,Current Topics in Cancer Genomics,4,,"Literature-based discussion of molecular principles in genetics and functional genomics, with focus on cancer and stem cell biology.",,,,,,,May be taken for credit 2 times.,,
BIOCHEM,210A,Medical Biochemistry and Molecular Biology,12,,"Covers the following topics from a biomedical perspective: protein and nucleic acid biochemistry, carbohydrates, lipids, amino acids, purines and pyrimidines, genome structure, molecular mechanisms of development, and signal transduction.",,Graduate students only.,,,,,,,
BIOCHEM,215,Mouse Developmental Genetics,4,,"Introduction to using the mouse in contemporary biomedical research. The biology and development of the laboratory mouse, methods for manipulation of the mouse genome and embryos, and examples of application of these methods to understand mammalian development and homeostasis.",,Graduate students only.,DEV BIO 207.,,,,,,
BIOCHEM,217,Human Evolution and Behavior,4,,"Covers theories and empirical research concerning the evolutionary origins of human behaviors and their variations. An interdisciplinary course emphasizing both evolutionary psychology (e.g., mating strategies, kinship, and parenting) and molecular evolution (i.e., evolution of genes for various behaviors).",,Graduate students only.,PSCI P271.,,,,,,
BIOCHEM,225,Epigenetics in Health and Disease,4,,"Focuses on the role of chromatin/nuclear structure organization (histone and DNA modification, chromatin remodeling, higher order chromatin structure and nuclear organization) on gene regulation, DNA replication and repair, relevant to development, metabolism, learning and memory, and human disease.",MOL BIO 203 or MOL BIO 204 or NEURBIO 206,Graduate students only.,NEURBIO 230.,,,,,,
BIOCHEM,291,Research Seminar,2,,"Student research-based colloquium covering current topics in gene organization and expression, cell cycle and differentiation, DNA repair, checkpoint control, and the physical, chemical, and biological properties of macromolecules. Students are encouraged to read critically and analyze recent literature.",,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
BIOCHEM,292A,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
BIOCHEM,292B,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
BIOCHEM,292C,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
