department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Chemistry,CHEM,1A,General Chemistry,4,II and VA,"General chemistry with applications to life sciences, physical sciences, and engineering. Atomic structure; general properties of the elements; covalent, ionic, and metallic bonding; mass relationships.",,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,"CHEM H2A, ENGR 1A, CHEM M2A.",,,,,MATH 5A or MATH 2A or PHYS 7C or CHEM 1X or CHEM 1P or SAT Mathematics or ACT Mathematics or SAT Subject Chemistry or AP Chemistry or AP Calculus AB or AP Calculus BC. CHEM 1P with a grade of C- or better. SAT Mathematics with a minimum score of 600. ACT Mathematics with a minimum score of 27. SAT Subject Chemistry with a minimum score of 700. AP Chemistry with a minimum score of 3. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3
Chemistry,CHEM,1B,General Chemistry,4,II and Va,"General chemistry with applications to life sciences, physical sciences, and engineering. Properties of gases, liquids, solids; intermolecular forces; changes of state; properties of solutions; stoichiometry; thermochemistry; and thermodynamics.  Course may be offered online.",CHEM 1A or ENGR 1A or CHEM H2A or AP Chemistry or CHEM M2A. CHEM 1A with a grade of C- or better. ENGR 1A with a grade of C- or better. CHEM H2A with a grade of C- or better. AP Chemistry with a minimum score of 4. CHEM M2A with a grade of C- or better,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,"CHEM H2B, CHEM M2B.",,,,,
Chemistry,CHEM,1C,General Chemistry,4,II and VA,"General chemistry with applications to life sciences, physical sciences, and engineering. Equilibria, aqueous acid-base equilibria, solubility equilibria, oxidation reduction reactions, electrochemistry; kinetics; special topics.",CHEM 1B. CHEM 1B with a grade of C- or better,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,"CHEM H2C, CHEM M2C.",,,,CHEM 1LC,
Chemistry,CHEM,1LA,General Chemistry Laboratory,2,,Training and experience in basic laboratory techniques through experiments related to lecture topics in Chemistry 1A.  Materials fee.,,,,CHEM H2LA.,,,,CHEM 1A,
Chemistry,CHEM,1LC,General Chemistry Laboratory,3,,Training and experience in basic laboratory techniques. Chemical practice and principles illustrated through experiments related to lecture topics of CHEM 1A-B-C. Materials fee.,CHEM 1B. CHEM 1B with a grade of C- or better,Div of Undergraduate Education students have first consideration for enrollment. School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Nursing Science Majors have first consideration for enrollment. Pharmaceutical Sciences Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment.,,"CHEM H2LA, CHEM M2LA.",,,,CHEM 1C,
Chemistry,CHEM,1LD,General Chemistry Laboratory,3,,Training and experience in basic laboratory techniques. Chemical practice and principles illustrated through experiments related to lecture topics in CHEM 1A-B-C. Materials fee.,(CHEM 1C and CHEM 1LC) or CHEM 1LE. CHEM 1C with a grade of C- or better. CHEM 1LC with a grade of C- or better. CHEM 1LE with a grade of C- or better,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Pharmaceutical Sciences Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Undecided/Undeclared students also have first consideration for enrollment.,,"CHEM H2LB, CHEM M2LB.",,,,,
Chemistry,CHEM,1LE,Accelerated General Chemistry Lab,3,,"Lecture and experiments covering chemical concepts for accelerated students who do not plan to take organic chemistry. Properties of gases, liquids, solutions, and solids; chemical  equilibrium and chemical thermodynamics; atomic and molecular  structure; chemical kinetics; electrochemistry. Materials fee.",,School of Engineering students have first consideration for enrollment. Biomedical Computing Majors have first consideration for enrollment.,,CHEM 1LC.,,,,,CHEM 1A or ENGR 1A or AP Chemistry. AP Chemistry with a minimum score of 3
Chemistry,CHEM,1P,Preparation for General Chemistry,4,,"Units of measurement, dimensional analysis, significant figures; elementary concepts of volume, mass, force, pressure, energy, density, temperature, heat, work; fundamentals of atomic and molecular structure; the mole concept, stoichiometry; properties of the states of matter; gas laws; solutions concentrations.",,School of Biological Sciences students have first consideration for enrollment. School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Program in Nursing Science students have first consideration for enrollment. Dept Pharmaceutical Sciences students have first consideration for enrollment. Program in Public Health students have first consideration for enrollment. Biomedical Computing Majors have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,,,,,,
Chemistry,CHEM,1X,General Chemistry Plus,2,,"Units of chemical measurements, dimensional analysis, significant figures; elementary physicochemical concepts; fundamentals of atomic and molecular structure; molar amounts and stoichiometry; properties of the states of matter; solutions concentrations.","Students who meet the requirements for taking Chem 1A through their SAT, ACT, or AP test scores are not eligible for enrollment in Chem 1X. Specifically, the students must have ALL of the following advisory prerequisites (the inverse of the Chem 1A prerequisites): S02<600 (score below 600 on the SAT Mathematics Reasoning test) A02<27 (score below 27 on the ACT Mathematics test) Z43<700 (score below 700 on the SAT Chemistry subject exam) AP25<3 (score below 3 on the AP Chemistry exam) AP66<4 (score below 4 on the AP Calculus AB Exam) AP68<3 (score below 3 on the AP Calculus BC Exam) Students who meet Chem 1A eligibility through ALEKS-based training are permitted to enroll in Chem 1X. Chem 1X is open to interested BioEASE students.",,,,,Pass/no pass only.,,,
Chemistry,CHEM,H2A,Honors General Chemistry,4,II and Va,Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics will also be included as time permits.,AP Chemistry or SAT Subject Chemistry. AP Chemistry with a minimum score of 4. SAT Subject Chemistry with a minimum score of 700,Campuswide Honors Collegium students only.,,"CHEM 1A, CHEM M2A, ENGR 1A.",,,,CHEM H2LA,
Chemistry,CHEM,H2B,Honors General Chemistry,4,II and VA,Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics are also included as time permits.,CHEM H2A and (CHEM H2LA or CHEM M2LA). CHEM H2A with a grade of C- or better. CHEM H2LA with a grade of C- or better. CHEM M2LA with a grade of C- or better,Campuswide Honors Collegium students only.,,"CHEM 1B, CHEM M2B.",,,,CHEM H2LB,
Chemistry,CHEM,H2C,Honors General Chemistry,4,II and VA,Covers the same material as CHEM 1A-CHEM 1B-CHEM M3C but in greater depth. Additional topics are also included as time permits.,CHEM H2B and (CHEM H2LB or CHEM M2LB). CHEM H2B with a grade of C- or better. CHEM H2LB with a grade of C- or better. CHEM M2LB with a grade of C- or better,Campuswide Honors Collegium students only.,,"CHEM 1C, CHEM M2C.",,,,,
Chemistry,CHEM,H2LA,Honors General Chemistry Laboratory,3,,Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,AP Chemistry or SAT Subject Chemistry. AP Chemistry with a minimum score of 4. SAT Subject Chemistry with a minimum score of 700,Campuswide Honors Collegium students only.,,"CHEM M2LA, CHEM 1LC.",,,,CHEM H2A,
Chemistry,CHEM,H2LB,Honors General Chemistry Laboratory,3,,Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,CHEM H2A and (CHEM H2LA or CHEM M2LA). CHEM H2A with a grade of B or better. CHEM H2LA with a grade of B or better. CHEM M2LA with a grade of B or better,No credit for CHEM 1LC if taken after CHEM H2LB or CHEM M2LB.,,"CHEM M2LB, CHEM 1LD.",,,,CHEM H2B,
Chemistry,CHEM,H2LC,Honors General Chemistry Laboratory,3,,Training and experience in fundamental and analytical laboratory techniques through experiments related to lecture topics in CHEM H2A-CHEM H2B-CHEM H2C. Materials fee.,CHEM H2B and (CHEM H2LB or CHEM M2LB). CHEM H2B with a grade of B or better. CHEM H2LB with a grade of B or better. CHEM M2LB with a grade of B or better,,,,,,,CHEM H2C,
Chemistry,CHEM,M2A,Majors General Chemistry Lecture,4,II and Va,Covers the same material as CHEM 1A but in greater depth. Additional topics are included as time permits.,,Chemistry Majors have first consideration for enrollment.,,"CHEM 1A, CHEM H2A, ENGR 1A.",,,,,MATH 5A or MATH 2A or PHYS 7C or CHEM 1X or CHEM 1P or SAT Mathematics or ACT Mathematics or SAT Subject Chemistry or AP Chemistry or AP Calculus AB or AP Calculus BC. CHEM 1P with a grade of C- or better. SAT Mathematics with a minimum score of 600. ACT Mathematics with a minimum score of 27. SAT Subject Chemistry with a minimum score of 700. AP Chemistry with a minimum score of 3. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3. Placement via a passing score on the ALEKS placement exam is also accepted.
Chemistry,CHEM,M2B,Majors General Chemistry Lecture,4,II and Va,Covers the same material as CHEM 1B but in greater depth. Additional topics will also be included as time permits.,CHEM M2A and CHEM M2LA. CHEM M2A with a grade of C- or better. CHEM M2LA with a grade of C- or better,Chemistry Majors have first consideration for enrollment.,,"CHEM H2B, CHEM 1B.",,,,,
Chemistry,CHEM,M2C,Majors General Chemistry Lecture,4,II and Va,Covers the same material as CHEM 1C but in greater depth. Additional topics are also included as time permits.,CHEM M2B and CHEM M2LB. CHEM M2B with a grade of C- or better. CHEM M2LB with a grade of C- or better,Chemistry Majors have first consideration for enrollment.,,"CHEM 1C, CHEM H2C.",,,,,
