department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Civil and Environmental Engineering,ENGRCEE,11,Methods II: Probability and Statistics,4,,Modeling and analysis of engineering problems under uncertainty. Engineering applications of probability and statistical concepts and methods.,(ENGRCEE 20 or EECS 10 or EECS 12 or ENGRMAE 10 or I&C SCI 31) and MATH 3A,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,20,Introduction to Computational Problem Solving,4,,"Introduction to computer programming within a numerical computing environment (MATLAB or similar) including types of data representation, graphical display of data, and development of modular programs with application to engineering analysis and problem solving.",,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,BME 60B.,,,,MATH 3A,
Civil and Environmental Engineering,ENGRCEE,21,Computational Problem Solving,4,,"Engineering analysis and problem solving using MATLAB (or similar), including matrix algebra, solving systems of linear and nonlinear equations, numerical integration of ordinary differential equations (ODEs) and coupled ODEs, and analysis of numerical errors.",(ENGRCEE 20 or BME 60B) and (MATH 3A or I&C SCI 6N),Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,MATH 3D,
Civil and Environmental Engineering,ENGRCEE,30,Statics,4,,"Addition and resolution of forces, distributed forces, equivalent system of forces centroids, first moments, moments and products on inertia, equilibrium of rigid bodies, trusses, beams, cables.  Course may be offered online.",MATH 2D and PHYSICS 7C,School of Engineering students have first consideration for enrollment.,"ENGR 30, ENGRMAE 30.",,,,,MATH 2D,
Civil and Environmental Engineering,ENGRCEE,40,Fundamentals of Economic Analysis for Scientists and Engineers,4,III,"Introduction to microeconomics and cost benefit analysis. Integration of economic, social, and behavioral considerations into the engineering design process. Applications to contemporary problems via case studies.",,,,,,,,,
Civil and Environmental Engineering,ENGRCEE,60,Contemporary and Emerging Environmental Challenges,4,III,"Introduces contemporary and emerging environmental challenges, illustrates links between human behavior, environmental policy, and engineering practices, examines policy options in the context of current institutions, and introduces tools and frameworks to reach sound economic, social, and environmental solutions.",,,,,,,,,
Civil and Environmental Engineering,ENGRCEE,80,Dynamics,4,,"Introduction to the kinematics and dynamics of particles and rigid bodies. The Newton-Euler, Work/Energy, and Impulse/Momentum methods are explored for ascertaining the dynamics of particles and rigid bodies. An engineering design problem using these fundamental principles is also undertaken.",MATH 2D and PHYSICS 7C,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,"ENGR 80, ENGRMAE 80.",,,,,,
Civil and Environmental Engineering,ENGRCEE,81A,Civil Engineering Practicum I,3,,"Introduction to civil engineering through presentations on structural, environmental, water, and transportation systems. Introduction to graphics. Graphical visualization and communication using hand and computer sketching. Fundamentals of Computer Aided Design (CAD) using AutoCad. Laboratory sessions. Materials fee.",,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,81B,Civil Engineering Practicum II,3,,"Principles of surveying; fundamentals of Geographic Information Systems (GIS); introduction to the state-of-the-art and future areas of the profession, including applications of advanced technology and computers; Introduction to visualization and communication of design concepts; laboratory sessions.  Materials fee.",,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,110,"Methods III:  Modeling, Economics, and Management",4,,"Analysis, modeling, and management of civil engineering systems. Statistics and system performance studies, probabilistic models and simulation, basic economics and capital investments, project elements and organization, managerial concepts and network technique, project scheduling. Emphasis on real-world examples. Laboratory sessions.",ENGRCEE 11,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,111,Methods IV: Systems Analysis and Decision-Making,4,,"Analysis and optimization for decision-making in civil and infrastructural systems. Topics include linear programming formulations and solution algorithms, network models, and logistical models. Emphasis is on project-level and managerial decision-making and selection from alternative designs.",(MATH 3A or I&C SCI 6N) and MATH 3D,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,114,GIS for Civil and Environmental Engineering,4,,"GIS for CEE provides an introduction to Geographic Information Systems (GIS) and their various applications in civil and environmental engineering. Topics include GIS data formats, data queries, spatial and attribute data, spatial data analysis, coordinate systems, and raster data analysis.",,,,,ENGRCEE 214.,,,,
Civil and Environmental Engineering,ENGRCEE,121,Transportation Systems I: Analysis and Design,4,,"Introduction to analysis and design of fundamental transportation system components, basic elements of geometric and pavement design, vehicle flow and elementary traffic, basic foundations of transportation planning and forecasting. Laboratory sessions.",ENGRCEE 11 and ENGRCEE 81A,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,122,Transportation Systems II: Operations and Control,4,,"Introduction to fundamentals of urban traffic engineering, including data collection, analysis, and design. Traffic engineering studies, traffic flow theory, traffic control devices, traffic signals, capacity and level of service analysis of freeways and urban streets. Laboratory sessions.",ENGRCEE 11 and ENGRCEE 121,Civil Engineering Majors have first consideration for enrollment.,,,ENGRCEE 229A.,,,,
Civil and Environmental Engineering,ENGRCEE,123,Transportation Systems III: Planning and Forecasting,4,,"Theoretical foundations of transportation planning, design, and analysis methods. Theory and application of aggregate and disaggregate models for land use development, trip generation, destination, mode, and route choice. Transportation network analysis. Planning, design, and evaluation of system alternatives.",ENGRCEE 121,Civil Engineering Majors have first consideration for enrollment.,,,ENGRCEE 223.,,,ENGRCEE 110,
Civil and Environmental Engineering,ENGRCEE,124,Transportation Systems IV: Freeway Operations and Control,4,,"Fundamentals of traffic on urban freeways, including data collection analysis, and design. Traffic engineering studies, traffic flow theory, freeway traffic control devices, capacity, and level of service analysis of freeways and highways. Laboratory sessions.",ENGRCEE 121,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,125,Transportation and the Environment,4,,"Analysis of the impacts of motor vehicle transportation on the environment. Introduction to life cycle analysis applied to transportation. Basic economic tools for transportation externalities. Transportation planning, urban form, health, and the environment. Transportation sustainability.",,Civil Engineering Majors have first consideration for enrollment.,,,,,,,
Civil and Environmental Engineering,ENGRCEE,130,Soil Mechanics,4,,"Mechanics of soils, composition and classification of soils, compaction, compressibility and consolidation, shear strength, seepage, bearing capacity, lateral earth pressure, retaining walls, piles.",ENGRCEE 150 and ENGRCEE 170,Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,ENGRCEE 130L,
