department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
COGS,14P,Scientific Python for Research,4,,"Introduces Python for data analysis and modeling encountered in cognitive science and neuroscience. Topics include data structures, execution control, graphic visualization, and interaction with sound and display interfaces. Application in statistical analysis, model simulation, and stimulus presentation and experimental control.",,Cognitive Sciences Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.,PSYC 14P.,,,,,,
COGS,H101A,Honors Seminar in Psychology and Cognitive Sciences I,4,,Focuses on the research activities and honors thesis research projects of each student and the research of various Cognitive Sciences faculty. Students discuss their research interests in the early and later stages of their projects. Research projects and write-ups required.,,Cognitive Sciences Honors students only. Psychology Honors students only.,PSYC H101A.,,,Pass/no pass only.,,,
COGS,H101B,Honors Seminar in Psychology and Cognitive Sciences II,4,,Focuses on the research activities and honors thesis research projects of each student and the research of various Cognitive Sciences faculty. Students discuss their research interests in the early and later stages of their projects. Research projects and write-ups required.,PSYC H101A,Cognitive Sciences Honors students only. Psychology Honors students only.,PSYC H101B.,,,Pass/no pass only.,,,
COGS,H101C,Honors Seminar in Psychology and Cognitive Sciences III,4,,Focuses on the research activities and honors thesis research projects of each student and the research of various Cognitive Sciences faculty. Students discuss their research interests in the early and later stages of their projects. Research projects and write-ups required.,PSYC H101B,Cognitive Sciences Honors students only. Psychology Honors students only.,PSYC H101C.,,,,,,
COGS,106,Computational Lab Skills,4,,"Teaches programming tools, skills, and conventions for collaborative work in computational cognitive science. Topics covered include program structure, version control, random number generation, plotting, basic model fitting, and numerical optimization methods.",(PSYC 14M or COGS 14P or ICS 31) and (PSYC 10C or STAT 7 or STAT 110),Cognitive Sciences Majors only.,,,COGS 205B.,,,,
COGS,107,Cognitive Modeling,4,,"Cognitive process models analyzed using computational Bayesian methods. Formal statistical specification of models, parameter estimation, model evaluation, and research applications. Covers multinomial process trees, signal detection theory, Thurstone ranking models, item-response theory, decision models, and reaction time models.",(PSYC 14M or COGS 14P or ICS 31) and (PSYC 10C or STAT 7 or STAT 110),Cognitive Sciences Majors have first consideration for enrollment.,,,,,,,
COGS,108,Neural Analytics,4,,"Introduces the theoretical foundations and practical applications of neural data analysis. Topics include models of neural signals, neural time series analysis, and machine learning applications in cognitive neuroscience.",(PSYC 14M or COGS 14P or ICS 31) and (PSYC 10C or STAT 7 or STAT 110),Cognitive Sciences Majors have first consideration for enrollment.,,,,,,,
COGS,109,Cognitive Sciences Research Seminar,4,,Read and discuss examples of the primary research leading to the concepts covered in Psychology Fundamentals. Focuses on how this research is conducted and how inferences from it are drawn.,,Cognitive Sciences Majors only.,,,,,,,PSYC 9A
COGS,110,Quantitative Methods for Cognitive Sciences Research,4,,"Basics of quantitative methods used in cognitive sciences research focusing on linear algebra, Fourier analysis, multivariate statistics, and signal detection theory. Examples drawn from models and methods used in cognitive sciences research with practical examples.",MATH 2B and STAT 7 and (PSYC 114M or ICS 31),Cognitive Sciences majors only.,,,,,,,
COGS,112LP,Research in Perception and Psychophysics Laboratory,2,,Required laboratory section and co-requisite for COGS 112P.,,Psychology Majors have first consideration for enrollment.,PSYC 112LP.,,,,,COGS 112P,
COGS,112LR,Cognitive Robotics Laboratory,2,,Required laboratory section and corequisite for PSYCH 112R.,,Cognitive Sciences Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.,PSYC 112LR.,,,,,PSYC 112R,
COGS,112P,Research in Perception and Psychophysics,4,,"Introduction to design and practice of experiments: students perform auditory, visual, tactile, or other experiments. Emphasis on methodology, finding and reading previous research, generating research ideas, statistical analysis.",(PSYC 9A and PSYC 9B and PSYC 9C) or (PSCI 11A and PSCI 11B and PSCI 11C) and (PSYC 10C or SSCI 10C or ANTH 10C or PLSC 10C or SOCL 10C) or (MATH 2B and STAT 7),Cognitive Sciences Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.,PSYC 112P.,,,,,COGS 112LP,
COGS,112R,Cognitive Robotics,4,,"Introduces concepts on experimental design, embodiment, robot construction, and computer programming. Concepts of embodied intelligence and case studies of cognitive robotics are covered in lecture. Simple robots are constructed and programmed to carry out different behavioral experiments in lab.",(PSYC 9A and PSYC 9B and PSYC 9C) or (PSCI 11A and PSCI 11B and PSCI 11C) and (PSYC 10C or SSCI 10C or ANTH 10C or PLSC 10C or SOCL 10C) or (MATH 2B and STAT 7),Cognitive Sciences Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.,PSYC 112R.,,,,,PSYC 112LR,
COGS,201A,Cognitive Sciences Research Seminar,1.3,,"Weekly reports and colloquia by faculty, students, and visitors.",,Graduate students only. Cognitive Neuroscience Majors only. Cognitive Sciences Majors only. Psychology Majors only.,,,,Satisfactory/unsatisfactory only.,,,
COGS,201B,Cognitive Sciences Research Seminar,1.3,,"Weekly reports and colloquia by faculty, students, and visitors.",COGS 201A,Graduate students only. Cognitive Neuroscience Majors only. Cognitive Sciences Majors only. Psychology Majors only.,,,,Satisfactory/unsatisfactory only.,,,
COGS,201C,Cognitive Sciences Research Seminar,1.4,,"Weekly reports and colloquia by faculty, students, and visitors.",COGS 201B,Graduate students only. Cognitive Neuroscience Majors only. Cognitive Sciences Majors only. Psychology Majors only.,,,,Satisfactory/unsatisfactory only.,,,
COGS,202A,Proseminar in the Cognitive Sciences,1,,Introduction to the conceptual foundations and basic research results in the cognitive sciences for first-year graduate students.,,Graduate students only. Cognitive Neuroscience Majors only. Cognitive Sciences Majors only.,,,,Satisfactory/unsatisfactory only.,,,
