department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
COM LIT,3,Just Reading: Developing the Reading Experience,4,IV and VIII,Develops the reading experience apart from writing. Develops tools for sustained attention in reading practice across a wide range of genres and media from across the globe. Students learn to appreciate elements of reading experience such as attention and perplexity.,,,,,,,,,
COM LIT,8,Travels in Comparative Literature,4,IV,"Readings in English and in English translation on such topics as love, war, cities, travel writing, politics, fantasy and science fiction, violence.",,,,,,,Unlimited as topics vary.,,
COM LIT,9,Introduction to Multiculturalism,4,"IV, VII","Various themes and forms of literary and cultural production within a multicultural framework, including African American, Asian American, Chicano/Latino, and Native American literatures and cultures.",,,,,,,Unlimited as topics vary.,,
COM LIT,10,Topics in World Literature,4,IV and VIII,Introduction to texts from across the globe and from different historical periods.  Readings in English and English translation.,,,,,,,Unlimited as topics vary.,,
COM LIT,60A,World Literature,4,IV and VIII,"An introduction to the comparative study of literatures and cultures in a global context. Studies literary texts and other media across the borders of various cultures, historical periods, and traditions. All texts are read in English translation.",,,,,,,,,
COM LIT,60B,Reading with Theory,4,"IV, VIII","Introduction to theory and methods of literary and cultural criticism in a global context. Students read theoretical approaches to literature, culture, and ideas. Marx and Freud, e.g., may be studied alongside readings in narrative poetry, film, song lyrics, novel.",,,,,,,,,
COM LIT,60C,Cultural Studies,4,"IV, VIII","Introduces students to a variety of cultural practices (literature, blogs, films, radio, comics) from across the globe. Focuses on the ways that context, genre, and medium (e.g., written, visual, oral) affect how these practices are produced, circulated, and received.",,,,,,,,,
COM LIT,100A,"Nations, Regions, and Beyond",4,,"Intensive study of national and regional cultural and literary traditions from across the globe, among them the literary and cultural production of the Middle East, Africa, Europe, the Americas, and Asia.",,,,,,,Unlimited as topics vary.,,
COM LIT,101W,An Introduction to Translation Studies,4,Ib,Focuses on theories of translation and on how these theories help students understand the role of translation in the world. Students develop a critical vocabulary for discussing translation in multiple linguistic traditions and complete a final translation project.,Satisfactory completion of the Lower-Division Writing requirement. Working knowledge of at least one foreign language.,,,,,,,,
COM LIT,102W,Comparative Studies in Literature and Theory,4,Ib,In-depth discussion of special topics.,Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
COM LIT,105,Topics in Comparative Multiculturalism,4,,"Treats the literatures and cultures of one or more minority groups in California and the United States, including African Americans, Asian Americans, Chicano/Latinos, and Native Americans, and their relations to other national literatures.",Satisfactory completion of the lower-division writing requirement.,,,,,,May be repeated for credit unlimited times.,,
COM LIT,107,Colonialisms and Postcolonialisms,4,,"Explores topics such as colonialism and race, decolonization, pre- and postcoloniality, globalization, and the cultural dynamics of colonization and subjectivity.",,,,,,,Unlimited as topics vary.,,
COM LIT,108,Diasporic Literatures and Cultures,4,,"Literatures, cultures, and histories of diasporic groups, e.g., literature of the Persian diaspora; cinema of the African diaspora.",,,,,,,Unlimited as topics vary.,,
COM LIT,121,"Narrative, Pattern, and Text",4,,"Explores textual patterns, structures, and effects.  May include topics such as novel, hypertext, genre, reader responses, intertextuality.",,,,,,,Unlimited as topics vary.,,
COM LIT,123,Literatures in Dialogue,4,,"Studies how texts interact across time and space in a global context. Uses concepts of influence, imitation, and parody, to ask, for example, how the Homeric epics can help us understand Caribbean novels and U.S. movies such as Troy.",,,,,,,Unlimited as topics vary.,,
COM LIT,130,"Gender, Sexuality, Race, Class",4,,"Discusses the roles of differences such as race, class, gender, and sexuality in society, culture, and literature across the globe, covering topics such as theoretical and literary representations of queer sexuality, gender performance, critical race theory.",,,,,,,Unlimited as topics vary.,,
COM LIT,131,Psychoanalysis and Culture,4,,Discusses major psychoanalytic writings of Freud and others in connection with questions of culture.,,,,,,,Unlimited as topics vary.,,
COM LIT,132,"Discourse, Ideologies, and Politics",4,,"Compares ideologies and systems, e.g., nationalism and fundamentalism, as they affect literature and culture in a global context.",,,,,,,Unlimited as topics vary.,,
COM LIT,140,Critical Cultural Studies,4,,"Introduces a variety of ways of understanding cultural phenomena in relation to different power structures.  These cultural phenomena may include comics, film, literature, sports, music, festivals, telling stories, or eating out.",,,,,,,Unlimited as topics vary.,,
COM LIT,142,The Metropolis and Other Cultural Geographies,4,,"Examines the relationship between space and culture; cultural production in the city, suburb, and/or countryside; spaces in texts and artifacts (film, literature, comics, photographs) in a global context.",,,,,,,Unlimited as topics vary.,,
COM LIT,143,"Literature, Arts, and Media",4,,"Explores literature and other arts and media in a global context. May include film and electronic media, fine arts, oral cultures, architecture, in an international framework.",,,,,,,Unlimited as topics vary.,,
COM LIT,144,"Literature, History, and Society",4,,"Explores the relationship between literary texts and their historical and social contexts in an international framework. Courses may address, for example, literary and cultural expressions in social revolutions or the way literary texts talk back to medicine, religion, and anthropology.",,,,,,,Unlimited as topics vary.,,
COM LIT,150,Literature in Translation,4,,The study of literary works in one or more genres in English translation.  May be a comparative study of works from several different original languages or a concentration on works from a single cultural/linguistic tradition.,,,,,,,Unlimited as topics vary.,,
COM LIT,160,World Cinema,4,,Comparative analysis of contemporary film in languages other than English.,,,,,,,May be taken for credit 2 times as topics vary.,,
COM LIT,190W,Advanced Seminar in Comparative Literature and Theory,4,Ib,Capstone seminar for the Comparative Literature major. Deepens understanding of the field through investigation of a special topic and a substantial research and writing project.,Satisfactory completion of the Lower-Division Writing requirement.,School of Humanities students only.,,,,,Unlimited as topics vary.,,
COM LIT,199,Independent Study in Comparative Literature,1-4,,To be taken only when the materials to be studied lie outside the normal run of departmental offerings.,,,,,,,May be repeated for credit unlimited times.,,
COM LIT,200A,History of Comparative Literature and Introduction to Methods and Theories of CL,4,,Seminar designed to introduce graduate students in Comparative Literature to the discipline of Comparative Literature. Issues and theories of comparative literary and cultural study are covered. Strongly recommended for first and second year students before the M.A. exam and review.,,Graduate students only.,,,,,,,
COM LIT,200B,Theories of Translation,4,,"The reproduction, translation, and transfer of literary and cultural, ideological and political, and symbolic codes and texts have long been the object of study in Comparative Literature. Addresses the diverse ways in which expressive systems interact and intersect.",,,,,,,Unlimited as topics vary.,,
COM LIT,200C,"Theories of Globalization, Inter-Nationalism, and Postcolonialism",4,,"Addresses both theories and the complex history of literary and cultural expression in a national, trans-, inter-, and post-national, global frame. Topics may include: globalism and nationhood, theories of citizenship and political subjecthood, postcolonial literature and theory.",,,,,,,Unlimited as topics vary.,,
COM LIT,210,Comparative Studies,4,,Studies in selected areas of Comparative Literature. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
COM LIT,220,Translation Workshop,2-4,,Trains students in the methodologies and practice of translation.  Students focus on the translating process in a series of case studies and individual projects.,,,,,,,May be taken for credit for 8 units.,,
COM LIT,280A,Professionalization Seminar,2,,"The first of two required professionalization seminars in Comparative Literature. Intended for second and third year students and covers preparation for the M.A. and Ph.D. exams, conference presentations, teaching and classroom management, and publishing journals.",,Graduate students only.,,,,Satisfactory/unsatisfactory only.,,,
COM LIT,280B,Professionalization Seminar,2,,"The second of two required professionalization seminars in Comparative Literature. Intended for fourth and fifth year students and covers course design, applying for grants, dissertation prospectus and support, and the job application process.",COM LIT 280A. COM LIT 280A with a grade of B or better,Graduate students only.,,,,Satisfactory/unsatisfactory only.,,,
COM LIT,290,Reading and Conference,4-12,,Studies in selected areas. Topics addressed vary each quarter.,,,,,,,May be repeated for credit unlimited times.,,
COM LIT,291,Guided Reading Course,4,,Studies in selected areas. Topics addressed vary each quarter.,,,,,,,May be repeated for credit unlimited times.,,
