department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
COMPSCI,103,Advanced Programming and Problem Solving with C++,4,,"Advanced programming language concepts for more complex, higher performance software design. Builds depth of programming skills in C++ as a foundation for upper-division courses and projects. Focuses on strengthening programming, debugging, and problem solving skills.",I&C SCI 45C,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,111,Digital Image Processing,4,,"Introduction to the fundamental concepts of digital signal and image processing as applicable in areas such as multimedia, graphics, AI, data mining, databases, vision, or video games. Topics include image representation, space- and frequency-domain transformations, filters, segmentation, and compression.",(I&C SCI 46 or CSE 46) and I&C SCI 6D and (MATH 3A or I&C SCI 6N). I&C SCI 46 with a grade of C or better. CSE 46 with a grade of C or better. I&C SCI 6D with a grade of C or better. MATH 3A with a grade of C or better. I&C SCI 6N with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,112,Computer Graphics,4,,"Introduction to the fundamental principles of 3D computer graphics including polygonal modeling, geometric transformations, visibility algorithms, illumination models, texturing, and rasterization. Use of an independently-learned 3D graphics API to implement these techniques.",I&C SCI 46 and (MATH 3A or I&C SCI 6N). I&C SCI 46 with a grade of C or better. MATH 3A with a grade of C or better. I&C SCI 6N with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,113,Computer Game Development,4,,"Introduction to the principles of interactive 2D and 3D computer game development. Concepts in computer graphics, algorithms, software engineering, art and graphics, music and sound, story analysis, and artificial intelligence are presented and are the basis for student work.",COMPSCI 112 or COMPSCI 171 or IN4MATX 121 or ART 106B or I&C SCI 163 or I&C SCI 166,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,IN4MATX 125.,,,,,,
COMPSCI,114,Projects in Advanced 3D Computer Graphics,4,,"Projects in advanced 3D graphics such as illumination, geometric modeling, visualization, and animation. Topics include physically based and global illumination, solid modeling, curved surfaces, multiresolution modeling, image-based rendering, basic concepts of animation, and scientific visualization.",COMPSCI 112 and (I&C SCI 45C or CSE 45C). I&C SCI 45C with a grade of C or better. CSE 45C with a grade of C or better. Recommended: COMPSCI 161 or CSE 161 or COMPSCI 164 or COMPSCI 165.,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,115,Computer Simulation,4,,Discrete event-driven simulation; continuous system simulation; basic probability as pertaining to input distributions and output analysis; stochastic and deterministic simulation; static and dynamic system simulation.,I&C SCI 6B and (I&C SCI 6N or MATH 3A) and (STATS 67 or STATS 7) and STATS 120A and I&C SCI 51 and IN4MATX 43. I&C SCI 6B with a grade of C or better. I&C SCI 6N with a grade of C or better. MATH 3A with a grade of C or better. STATS 67 with a grade of C or better. STATS 7 with a grade of C or better. STATS 120A with a grade of C or better. I&C SCI 51 with a grade of C or better. IN4MATX 43 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,116,Computational Photography and Vision,4,,"Introduces the problems of computer vision through the application of computational photography. Specific topics include photo-editing (image warping, compositing, hole filling), panoramic image stitching, and face detection for digital photographs.",I&C SCI 6D and (MATH 6G or MATH 3A or I&C SCI 6N) and MATH 2B and (I&C SCI 46 or CSE 46). I&C SCI 6D with a grade of C or better. MATH 6G with a grade of C or better. MATH 3A with a grade of C or better. I&C SCI 6N with a grade of C or better. MATH 2B with a grade of C or better. I&C SCI 46 with a grade of C or better. CSE 46 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,117,Project in Computer Vision,4,,"Students undertake construction of a computer vision system. Topics include automatically building 3D models from photographs, searching photo collections, robot navigation, and human motion tracking.",I&C SCI 6D and (MATH 3A or I&C SCI 6N) and MATH 2B and (I&C SCI 46 or CSE 46) and (COMPSCI 112 or COMPSCI 116 or COMPSCI 171 or COMPSCI 178). I&C SCI 6D with a grade of C or better. MATH 3A with a grade of C or better. I&C SCI 6N with a grade of C or better. MATH 2B with a grade of C or better. I&C SCI 46 with a grade of C or better. CSE 46 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,118,Introduction to Virtual Reality,4,,"Introduces virtual reality systems and software. Topics include computer graphics pipeline, human visual system and perception, head mounted displays, image formation, sensors and tracking, and 3D sound. Students use a popular cross-platform game engine to create VR environments.",(I&C SCI 6N or MATH 3A) and I&C SCI 33,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
COMPSCI,121,Information Retrieval,4,,"An introduction to information retrieval including indexing, retrieval, classifying, and clustering text and multimedia documents.",(I&C SCI 45C or I&C SCI 45J) and (STATS 7 or STATS 67). I&C SCI 45C with a grade of C or better. I&C SCI 45J with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment.,IN4MATX 141.,,,,,,
COMPSCI,122A,Introduction to Data Management,4,,"Introduction to the design of databases and the use of database management systems (DBMS) for applications. Topics include entity-relationship modeling for design, relational data model, relational algebra, relational design theory, and Structured Query Language (SQL) programming.",I&C SCI 33 or EECS 114. I&C SCI 33 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,EECS 116.,,,,,,
COMPSCI,122B,Project in Databases and Web Applications,4,,"Introduces students to advanced database technologies and Web applications. Topics include database connectivity (ODBC/JDBC), extending databases using stored procedures, database administration, Web servers, Web programming languages (Java servlets, XML, Ajax, and mobile platforms).",(COMPSCI 122A or EECS 116) and I&C SCI 45J,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,"COMPSCI 137, IN4MATX 124.",,,,,
COMPSCI,122C,Principles of Data Management,4,,"Covers fundamental principles underlying data management systems. Content includes key techniques including storage management, buffer management, record-oriented file system, access methods, query optimization, and query processing.",COMPSCI 122A and (I&C SCI 53 or COMPSCI 143A),School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,COMPSCI 222.,,,,
COMPSCI,122D,Beyond SQL Data Management,4,,"Survey of modern data management and analysis technologies beyond relational (SQL) database management. Topics include semistructured data, NoSQL databases, big data analysis, and text search/query engines. Additional topics vary and may include data frames, streaming data, and/or time-series data.",I&C SCI 46 and I&C SCI 51 and (COMPSCI 122A or EECS 116),School of Info & Computer Sci students have first consideration for enrollment. Computer Science Majors have first consideration for enrollment. Computer Science and Engineering and all School of ICS majors have second right of consideration.,,,,,,,
COMPSCI,125,Next Generation Search Systems,4,,"Discusses concepts and techniques related to all aspects of search systems. After considering basic search technology and the state-of-art systems, rapidly developing techniques for multimedia search, local search, event-search, and video-on-demand are explored.",I&C SCI 31 or CSE 41 or I&C SCI 32A,Upper-division students only. School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,COMPSCI 225.,,,,
COMPSCI,131,Parallel and Distributed Computing,4,,"Parallel and distributed computer systems. Parallel programming models. Common parallel and distributed programming issues. Specific topics include parallel programming, performance models, coordination and synchronization, consistency and replication, transactions, fault tolerance.",(I&C SCI 53 and I&C SCI 53L) or COMPSCI 143A,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
