department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ECO EVO,200A,Research in Ecology and Evolutionary Biology,2-12,,Individual research with Ecology and Evolutionary Biological faculty.,,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,200B,Research in Ecology and Evolutionary Biology,2-12,,Individual research with Ecology and Evolutionary Biological faculty.,,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,200C,Research in Ecology and Evolutionary Biology,2-12,,Individual research with Ecology and Evolutionary Biological faculty.,,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,201,Seminar in Ecology and Evolutionary Biology,2,,"Invited speakers, graduate students, and faculty present current research in ecology and evolutionary biology.",,Graduate students only.,,,BIO SCI E107.,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
ECO EVO,203A,Graduate Tutorial in Ecology and Evolutionary Biology,2-12,,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition.",,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,203B,Graduate Tutorial in Ecology and Evolutionary Biology,2-12,,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition.",,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,203C,Graduate Tutorial in Ecology and Evolutionary Biology,2-12,,"Advanced study in areas not represented by formal courses. May involve individual or small group study through reading, discussion, and composition.",,Graduate students only.,,,,,Unlimited as topics vary.,,
ECO EVO,204,Writing Grant Proposals,4,,"Provides students with hands-on experience writing proposals in the research areas of ecology, evolution, or physiology.",,Graduate students only.,,,,,,,
ECO EVO,205,Special Topics in Ecology,4,,Survey of special topics in Ecology.,,Graduate students only.,,,,,,,
ECO EVO,206,Special Topics in Evolution,4,,"Extensive introduction to the primary literature of evolutionary biology. Topics include population genetics, quantitative genetics, neutralism, molecular evolution, evolution of genetic systems, genetic architecture of fitness, speciation, and macroevolution.",,Graduate students only.,,,,,,,
ECO EVO,207,Quantitative Methods in Ecology and Evolutionary Biology,4,,"Statistics for ecologists and evolutionary biologists. Emphasis on specific applications and underlying assumptions rather than on methods of calculation. Topics include experimental design, parametric and nonparametric methods, analysis of variance and covariance, and multiple regression.",Completion of at least one quarter of statistics including regression and analysis of variance.,Graduate students only.,,,,,,,
ECO EVO,208,Ecological and Evolutionary Physiology,4,,"A summary of information in organismal biology, comparative and ecological physiology, and the biophysical basis of organismal function. Course offered every other fall.",,Graduate students only.,,,,,,,
ECO EVO,210,Foundations of Physiology,4,,Physical and functional principles common to many living forms. Course forms a basis for subsequent specialization in any of the subdisciplines of physiology. Course offered in even years.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
ECO EVO,221,Advanced Topics in Ecology,2-4,,Weekly discussion of current topics in ecology at the graduate level.,,,,,,Satisfactory/unsatisfactory only.,Unlimited as topics vary.,,
ECO EVO,222,Statistical Learning in Ecology and Evolution,4,,"Reviews basic principals of variance/bias trade-offs. Topics include models for prediction and classification, variable selection methods, cross-validation, tree based methods, unsupervised learning. Applications in ecology and evolution using R.",ECO EVO 207. ECO EVO 207 with a grade of B or better,Graduate students only.,,,,,,,
ECO EVO,227,Plant Physiological Ecology,4,,"Provides a summary of information on plant organismal biology, comparative and ecological physiology, and functional ecology. Offered every other fall.",,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
ECO EVO,230,Topics in Microbial Ecology,2-4,,"Weekly discussion of current topics in ecology, biogeochemistry, evolution, and physiology of microbial organisms.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
ECO EVO,235,Experimental Evolution,2,,"Explores experimental evolution, which is now a well-established part of evolutionary biology. With the advent of genomics, it is now one of the most powerful tools for studying the genetic foundations of biology.",BIO SCI E106,Graduate students only. School of Biological Sciences students only.,,,,,May be repeated for credit unlimited times.,,
ECO EVO,236,Human Dimensions in Conservation and Restoration,4,,"The non-human ""environment"" we know today is the result of past social, political, scientific, and economic forces. Examines the forces that drove environmental conservation efforts, which often sought progress at the expense of local cultures.",,Graduate students only.,,,,,,,
ECO EVO,237,Marine Conservation Ecology,4,,"Theory-based seminar tackles pressing issues in marine ecology, conservation, and restoration. Focuses on the science of marine ecosystems, resources and tools for their conservation, and management and the socioeconomic and policy dimensions.",,Graduate students only.,,,,,,,
ECO EVO,246,Seminar in Ecology and Evolution Education,2,,"Weekly discussion of teaching techniques and challenges that are specific to courses in ecology and evolutionary biology.  Emphasis will be on using evidence-based pedagogy techniques.  There will be a combination of readings, group discussions and speakers.",,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
ECO EVO,247,Behavioral Endocrinology,4,,Comparative examination of the major hormone systems that regulate behavior across animals. Emphasizes the reciprocating nature of hormone-behavior interactions and seeks to understand how natural selection drives the evolution of hormone structure and function.,,Graduate students only.,,,BIO SCI E147.,,,,
ECO EVO,251,Evolutionary and Ecological Principles in Medicine,4,,"Explore the dynamics of populations on an ecological, epidemiological, and medical level. Considers the dynamics of competition, predation, and parasitism; the spread and control of infectious diseases; and the in vivo dynamics of viral infections and the immune system.",,Graduate students only.,,,BIO SCI E151.,,,,
ECO EVO,253,Functional and Structural Evolutionary Genomics,4,,Function and organization of genomes analyzed from an evolutionary perspective. Review of some of the most recent experimental approaches in genome analysis and comparative genomics. Relevant software to analyze DNA and expression data is used.,,,,,BIO SCI E153.,,,,
ECO EVO,262,Professional Workshop,2,,Identify and attend professional or technical skill workshops to gain professional knowledge and certifications related to conservation and restoration science.,,Graduate students only.,,,,,May be taken for credit 4 times.,,
ECO EVO,264,Conservation Biology,4,,Explores concepts in ecology with potential for conserving biological diversity. Identifies creative applications of ecological research that mitigate impacts of rapid human population growth and habitat destruction on biodiversity.,,Graduate students only.,,,,,,,
ECO EVO,265,Restoration Ecology,4,,"Study of principles and practices that help recover degraded ecosystems  including restoration in different ecological systems, restoration motives and intensities, implementation and monitoring, and scope and success of case studies.",,Graduate students only.,,,,,,,
ECO EVO,266L,Field Methods in Restoration,4,,"Laboratory experience performing field methods that help recover degraded ecosystems  in different ecological systems.  Emphasis on the plant community composition, soil, irrigation, maintenance, and monitoring of a project.",,,,,,,,,
ECO EVO,267,Science Communication,2,,"Develops students' abilities to convey information related to conservation and restoration in a way that has broad appeal and/or effective messaging for non-scientific audiences by assessing the audience, developing effective storytelling, and deploying a persuasive information campaign.",,,,,,,May be taken for credit 2 times.,,
