department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ENGR,1A,General Chemistry for Engineers,4,II,"Emphasis on solid-state chemistry. Quantum theory, atomic structure, periodic trends, chemical bonding, molecular orbitals, electronic band structure, gases, liquids, intermolecular forces, unit cells, crystal lattices, phase transformations, and electrochemistry.",AP Chemistry or SAT Subject Chemistry or SAT Mathematics or ACT Mathematics. AP Chemistry with a minimum score of 3. SAT Subject Chemistry with a minimum score of 600. SAT Mathematics with a minimum score of 600. ACT Mathematics with a minimum score of 27. A score of 85 or higher on the Engineering Chemistry Placement Exam (fee required) is also accepted.,Electrical Engineering Majors have first consideration for enrollment. Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,CHEM 1A.,,,,,
ENGR,7A,Introduction to Engineering I,2,,Introduction to engineering disciplines and the design process. Students enrolled in the online lecture also attend a three-hour lab on campus. Materials fee.,,Lower-division students only. School of Engineering students have first consideration for enrollment.,,,,In Progress (Letter Grade with P/NP).,,,
ENGR,7B,Introduction to Engineering II,2,,Introduction to engineering disciplines and the design process. Students enrolled in the online lecture also attend a three-hour lab on campus. Materials fee.,ENGR 7A,Lower-division students only. School of Engineering students have first consideration for enrollment.,,,,,,,
ENGR,30,Statics,4,,"Addition and resolution of forces, distributed forces, equivalent system of forces centroids, first moments, moments and products on inertia, equilibrium of rigid bodies, trusses, beams, cables.  Course may be offered online.",MATH 2D and PHYS 7C,School of Engineering students have first consideration for enrollment.,"CEE 30, MAE 30.",,,,,MATH 2D,
ENGR,54,Principles of Materials Science and Engineering,4,,"Superconductors to biodegradable polymers. Structure and properties of materials, including metal, ceramics, polymers, semiconductors, composites, traditional materials. Atomic structure, bonding, defects, phase equilibria, mechanical properties, electrical, optical and magnetic properties. Introduction to materials processing and synthesis. Materials fee.",(ENGR 1A or CHEM 1A or CHEM H2A) and PHYS 7C,School of Engineering students have first consideration for enrollment.,,,,,,,
ENGR,80,Dynamics,4,,"Introduction to the kinematics and dynamics of particles and rigid bodies. The Newton-Euler, Work/Energy, and Impulse/Momentum methods are explored for ascertaining the dynamics of particles and rigid bodies. An engineering design problem using these fundamental principles is also undertaken.",MATH 2D and PHYS 7C,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,"CEE 80, MAE 80.",,,,,,
ENGR,92,Engineering and Computer Educational Laboratory,1-4,,"Comprehensive academic support designed primarily for underrepresented or underprepared students in Engineering, ICS, or selected areas of the physical sciences. Typical program activities: tutoring, study skills, career planning, self-esteem enhancement, library research techniques.",,,,,,Workload Credit P/NP Only.,May be taken for credit for 12 units.,,
ENGR,93,Public and Professional Service in Engineering,1-2,,Student participation in public and professional service activities related to engineering.,,,,,,Workload Credit P/NP Only.,May be repeated for credit unlimited times.,,
ENGR,98,Group Study,1-4,,Group study of selected topics in engineering.,,,,,,,Unlimited as topics vary.,,
ENGR,100,Special Topics in Fabrication Safety,1,,"Hands on training in the safe use of item fabrication: metalworking, woodworking, electronics fabrication, composites, welding, adhesives, water disposal, and others. Safety certification will be granted from this course and is required for access to Engineering School fabrication facilities.",,School of Engineering students have first consideration for enrollment.,,,,Workload Credit Letter Grade with P/NP.,Unlimited as topics vary.,,
