department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
GEN&SEX,20,Introduction to Queer Studies,4,IV and VII,"Study of sexuality from the perspective of lesbian, gay, queer, transgender scholarship spanning humanities, social sciences, and arts.",,,,,,,,,
GEN&SEX,50A,Gender and Feminism in Everyday Life,4,"IV, VII","What is gender? Why does studying it matter? Explores how feminism has understood not only gender as a category of social analysis, but how gender structures personal identities, family, citizenship, work and leisure, social policy, sexuality, and language.",,,,,,,,,
GEN&SEX,50B,Gender and Power,4,"IV, VII","From workplace to home to schools to prisons, how are societal institutions and politics ""gendered""? Examines power and inequalities around gender, race, class, and sexuality in national and transnational contexts.",,,,,,,,,
GEN&SEX,50C,Gender and Popular Culture,4,"IV, VII","An investigation of gender, race, and sexuality in film, TV, video, music, and advertising, with attention to the ways that popular culture shapes understandings of technology, national identities, leisure and work, historical memory, international communication, and multicultural representation.",,,,,,,,,
GEN&SEX,60A,Gender and Science,4,III,"Examines science from a variety of feminist viewpoints in order to explore how science influences everyday life.  Special attention is given to the ways science shapes our understanding of gender, race, and sexuality.",,,,,,,,,
GEN&SEX,60B,Gender and Law,4,III,"Introduction to the relationship between gender, race, sexuality, and the law.  Critical thinking about how law defines citizenship, political representation, and democracy, focusing on the history of legal reform undertaken in the name of women as a social group.",,,,,,,,,
GEN&SEX,60C,Gender and Religion,4,III and VIII,"Introduces the topic of religion in a feminist context by performing cross-cultural exploration of gender, authority, and faith in various traditions. Study includes (but is not limited to) writings of contemporary Jewish, Christian, and Muslim feminists.",,,REL STD 61.,,,,,,
GEN&SEX,100A,Feminism and Social Change,4,,"Explores feminist modes of knowledge production in relation to histories and activist practices of various social movements. Examines the kinds of information, research, ideas, theories, and concepts that underlie feminist cultural analysis and social movement organizing.",,,,,,,,,
GEN&SEX,100B,Feminist Theory,4,,"Introduction to historical traditions in theory and various conceptual frameworks informing scholarship in gender studies, sexuality studies, and women's studies as a field of critical inquiry.",,,,,,,,,
GEN&SEX,100C,Feminist Cultural Studies,4,,"Investigation of the theories and methods that inform the feminist study of culture.  Focuses on the interpretation of the visual arts and literature created by, and predominately for, women.",,,,,,,,,
GEN&SEX,100D,Queer Knowledges,4,,"Explores the emergence of historical elaboration of non-normative sexual identities, practices, and communities; focuses on medical, legal, literary, aesthetic, scientific, and religious notions about homosexuality and appropriations and subversions of these notions by queer people.",,,,,,,,,
GEN&SEX,110A,"Gender, State, and Nation",4,,"Examination of gender and sexuality in relation to the production of identities created through participation in state and nation. Examines complexity of relationship between feminism and nationalism, feminism and the state.",,,,,,,,,
GEN&SEX,110B,"Money, Sex, and Power",4,,"Examination of gender and sexuality in relation to the emergence of the modern world, modernity, and capitalism; commodification, circulation, and transnational exchanges relating to race, gender, class, sexuality, religion, and nationality.",,,,,,,,,
GEN&SEX,110D,The Politics of Health and Medicine,4,,Focuses on cultural and political-economic analysis and representations of disease both within the U.S. and globally.,,,,,,,,,
GEN&SEX,120A,Histories of Sexuality,4,,"Examines the historical production of non-normative sexual and gender identities, bodies, practices, and communities. Explores how past formations inform and shape the present and future.",,,,,,,,,
GEN&SEX,120B,Image Problems,4,,Examination of scholarly approaches to gender stereotypes and politics of representation as they present possibilities for critical analysis and produce problems and limitations; how powerful ideas of gender intersect with other forms of social differentiation such as race and class.,,,,,,,,,
GEN&SEX,120C,Practices of Embodiment,4,,"Explores how science, medicine, and law have shaped the understanding of differentiated bodies; examines shifting norms and ideals about producing, shaping, adorning, and dressing gendered bodies across diverse historical, cultural, social, economic, and spatial contexts.",,,,,,,,,
GEN&SEX,139,Topics in Gender Studies,4,,"Various topics in gender studies. Encompasses issues of gender, culture, race and class, including issues of sexualities and social justice.",,,,,,,Unlimited as topics vary.,,
GEN&SEX,155,Topics in Gender and Sexuality Studies,4,,Designed to provide students with an opportunity to conduct advanced work in Gender and Sexuality Studies.,,,,,,,Unlimited as topics vary.,,
GEN&SEX,157,Topics in Queer Studies,4,,"Explores issues in queer studies from one or more of the following perspectives:  theoretical, historical, legal, economic, political, sociological, and representation in the arts.",,,,,,,Unlimited as topics vary.,,
GEN&SEX,165F,Gender and Technology,4,,"Using a variety of disciplinary methods, examines how various technological processes and products produce culturally complex meanings associated with gender and technology.",,,,,,,,,
GEN&SEX,167A,Militarism and Gender,4,,"Examination of feminist approaches to militarism, war, and political violence; drawing on representations of women as both victims of and participants in military violence; effects of militarism on formations of gender; effects of military industrial complex on nationalism and identity.",,,INTL ST 153F.,,,,,,
GEN&SEX,170,"Topics in Gender, Feminism, Literature, and Language",4,,"Topics cover issues in language and literature which relate to women or gender, or which are taught from a feminist methodological perspective.",,,,,,,Unlimited as topics vary.,,
GEN&SEX,171,"Topics in Gender, Feminism, and History",4,,"Topics cover issues in history which relate to women or gender, or which are taught from a feminist methodological perspective.",,,,,,,Unlimited as topics vary.,,
GEN&SEX,171A,Sex and Conquest in Latin America,4,,"Competing ideas of masculinity and femininity, sexual violence, sexual identities, and gendered hierarchies informed how the Spanish engaged in military and religious domination of Mexican and Andean communities, as well as the forms of native resistance throughout colonial Latin America.",,,"ANTHRO 140, CHC/LAT 150A, HISTORY 160.",,,,,,
