department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
HUMAN,1A,Humanities Core Lecture,4,IV,"Through a range of cultural traditions and an interdisciplinary approach to works of literature, history, philosophy, and contemporary media, students are introduced to the humanities.",,Lower-division students only.,,,,,,,
HUMAN,1AES,Humanities Core Writing: Entry Level Writing,2,,"A small writing course for Entry Level Writing students exploring the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",,Lower-division students only.,,"HUMAN 1AS, HUMAN H1AS.",,Workload Credit Letter Grade with P/NP.,,HUMAN 1A,
HUMAN,1AS,Humanities Core Writing,4,Ia,"A small writing course in which students explore the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",Satisfaction of the UC Entry Level Writing requirement.,Lower-division students only.,,"HUMAN 1AES, HUMAN H1AS.",,,,HUMAN 1A,
HUMAN,1B,Humanities Core Lecture,4,IV,"Through a range of cultural traditions and an interdisciplinary approach to works of literature, history, philosophy, and contemporary media, students are introduced to the humanities.",,Lower-division students only.,,,,,,,
HUMAN,1BES,Humanities Core Writing: Entry Level Writing,2,Ia,"A small writing course for Entry Level Writing students exploring the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",HUMAN 1AES. HUMAN 1AES with a grade of C- or better,Lower-division students only.,,"HUMAN 1BS, HUMAN H1BS.",,Workload Credit Letter Grade with P/NP.,,HUMAN 1B,
HUMAN,1BS,Humanities Core Writing,4,Ia,"A small writing course in which students explore the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",Satisfaction of the UC Entry Level Writing requirement.,Lower-division students only.,,"HUMAN H1BS, HUMAN 1BES.",,,,HUMAN 1B,
HUMAN,1C,Humanities Core Lecture,4,IV and VII and VIII,"Through a range of cultural traditions and an interdisciplinary approach to works of literature, history, philosophy, and contemporary media, students are introduced to the humanities.",HUMAN 1A or HUMAN 1B,Lower-division students only.,,,,,,,
HUMAN,1CS,Humanities Core Writing,4,Ia,"A small writing course in which students explore the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",HUMAN 1AS or HUMAN H1AS or HUMAN 1BS or HUMAN H1BS or HUMAN 1BES. HUMAN 1AS with a grade of C or better. HUMAN H1AS with a grade of C or better. HUMAN 1BS with a grade of C or better. HUMAN H1BS with a grade of C or better. HUMAN 1BES with a grade of C or better,Lower-division students only.,,"HUMAN H1CS, HUMAN 1CES.",,,,HUMAN 1C,
HUMAN,B1A,Humanities Core Biological Sciences Lecture,4,IV,"Through a range of cultural traditions and an interdisciplinary approach to works of literature, history, philosophy, and contemporary media, students are introduced to the humanities.",,Lower-division students only. Biological Sciences Majors only.,,HUMAN 1A.,,,,,
HUMAN,H1AS,Humanities Core Writing: Honors,4,Ia,"For Campuswide Honors students exploring the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",Satisfaction of the UC Entry Level Writing requirement.,Campuswide Honors Collegium students only. Lower-division students only.,,"HUMAN 1AS, HUMAN 1AES.",,,,HUMAN 1A,
HUMAN,H1BS,Humanities Core Writing: Honors,4,Ia,"For Campuswide Honors students exploring the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",Satisfaction of the UC Entry Level Writing requirement.,Campuswide Honors Collegium students only. Lower-division students only.,,"HUMAN 1BS, HUMAN 1BES.",,,,HUMAN 1B,
HUMAN,H1CS,Humanities Core Writing: Honors,4,Ia,"For Campuswide Honors students exploring the ideas presented in the companion lecture course and illustrated in the literary, historical, philosophical, and media works assigned.",HUMAN 1AS or HUMAN H1AS or HUMAN 1AES or HUMAN 1BS or HUMAN H1BS or HUMAN 1BES with a grade of C or better.,Lower-division students only. Campuswide Honors Program students only.,,"HUMAN 1CS, HUMAN 1CES.",,,,HUMAN 1C,
HUMAN,10,Masterpieces of Literature,4,IV and VIII,"Students closely read major works of world literature that are significant (1) in their own right, (2) for a specific literary tradition, and (3) because of their reception in other cultural contexts. Literature written in English and English translation.",,,,,,,Unlimited as topics vary.,,
HUMAN,52,Foundations of Bilingual Education and Bilingualism,4,,"Provides a comprehensive overview of current issues in bilingual education and bilingualism. Topics include dimensions of bilingualism, the effects of bilingualism on children's linguistic and cognitive development, bilingual education programs, literacy, special needs, and assessment.",,,"EDUC 52, LSCI 51B.",,,,,,
HUMAN,H80,Exploring Memory,4,IV,"Questions about human memory are central to a wide range of disciplines. Students will explore how historians, sociologists, social psychologists, legal experts, and neuroscientists understand human memory and apply their findings to understand and shape their own societies.",,Campuswide Honors Collegium students only.,,,,,,,
HUMAN,H81,The Vietnam War,4,GE III or IV,"Examines the origins, evolution, opposition against, conclusion, and legacy of the United States in the Vietnam War.",,Campuswide Honors Collegium students only.,,,,,,,
HUMAN,H83,How Nations Remember,4,III,"Just like people, nations select and organize what and how they want to remember. Compares how specific historical events (such as slavery and the Holocaust) are memorialized in various countries and represented in public art works, museums, literature, and film.",,Campuswide Honors Collegium students only.,,,,,,,
HUMAN,H84,Traveling East/West,4,IV,"Traveling East/West presents a wide range of travel writings by Chinese, Indian, and Euro-American authors in which they contemplate the complexities of cross-cultural encounters and how knowledge about others and knowledge of ourselves are closely intertwined.",,Campuswide Honors Collegium students only.,EAS H84.,,,,,,
HUMAN,H120,Honors Proseminar,4,,"Interdisciplinary Honors courses organized each year around a single topic problem designed to compare and contrast modes of analysis in history, literary studies, and philosophy.",,Humanities Honors students only.,,,,,May be taken for credit 3 times as topics vary.,,
