department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Italian,ITALIAN,1A,Fundamentals of Italian,5,,"First quarter of first-year Italian in a hybrid or online format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",,,,ITALIAN 1AB.,,,,,
Italian,ITALIAN,1AB,Intensive Italian Fundamentals,7.5,,"First half of first-year Italian in a time-intensive form. Development of meaningful communicative skills for the purposes of interaction with Italian speakers and beginning study of Italian. Learner-centered approach develops speaking, listening, reading, writing, and cultural skills and knowledge.",,ITALIAN 1AB and ITALIAN 1A and ITALIAN 1B and ITALIAN S1AB may not be taken for full credit.,,"ITALIAN 1A, ITALIAN 1B, ITALIAN S1AB.",,,,,
Italian,ITALIAN,1ABSP,Accelerated Fundamentals of Italian for Spanish Speakers,5,,"Accelerated first half of first-year Italian for Hispanophone students. Teaches conceptualizing in Italian while learning to read, write, and speak using knowledge of Spanish. Develops awareness of and sensibility to Italian life and culture through reading, viewing, and discussing.","Two years of high school Spanish, one semester of college Spanish, or heritage speaker of Spanish.",,,"ITALIAN 1A, ITALIAN 1B, ITALIAN S1AB, ITALIAN 1AB.",,,,,
Italian,ITALIAN,1B,Fundamentals of Italian,5,,"Second quarter of first-year Italian in a hybrid or online format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 1A. ITALIAN 1A with a grade of C or better. Placement into ITALIAN 1B is also accepted.,,,"ITALIAN 1AB, ITALIAN 1BC.",,,,,
Italian,ITALIAN,1BC,Intensive Italian Fundamentals,7.5,VI,"Second half of first-year Italian in a time-intensive form. Development of meaningful communicative skills for the purposes of interaction with Italian speakers and beginning study of Italian. Learner-centered approach develops speaking, listening, reading, writing, and cultural skills and knowledge.",ITALIAN 1AB or ITALIAN S1AB or ITALIAN 1B. ITALIAN 1AB with a grade of C or better. ITALIAN S1AB with a grade of C or better. ITALIAN 1B with a grade of C or better. Placement into ITALIAN 1BC is also accepted.,ITALIAN 1AB and ITALIAN 1A and ITALIAN 1B and ITALIAN S1AB may not be taken for full credit.,,"ITALIAN 1B, ITALIAN 1C, ITALIAN S1BC.",,,,,
Italian,ITALIAN,1BCSP,Accelerated Fundamentals of Italian for Spanish Speakers,5,VI,"Accelerated second half of first-year Italian for Hispanophone students. Teaches conceptualizing in Italian while learning to read, write, and speak using knowledge of Spanish. Develops awareness of and sensibility to Italian life and culture through reading, viewing, and discussing.","ITALIAN 1ABSP or ITALIAN 1AB or ITALIAN S1AB or ITALIAN 1B. ITALIAN 1ABSP with a grade of C or better. ITALIAN 1AB with a grade of C or better. ITALIAN S1AB with a grade of C or better. ITALIAN 1B with a grade of C or better. Two years of high school Spanish, one semester of college Spanish, or heritage speaker of Spanish.",,,"ITALIAN 1B, ITALIAN 1C, ITALIAN 1BC, ITALIAN S1BC.",,,,,
Italian,ITALIAN,1C,Fundamentals of Italian,5,VI,"Third quarter of first-year Italian in a hybrid or online format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 1B or ITALIAN 1AB or ITALIAN S1AB. ITALIAN 1B with a grade of C or better. ITALIAN 1AB with a grade of C or better. ITALIAN S1AB with a grade of C or better. Placement into ITALIAN 1C is also accepted.,,,ITALIAN 1BC.,,,,,
Italian,ITALIAN,2A,Intermediate Italian,4,VIII,"First quarter of second-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 1C or ITALIAN 1BC or ITALIAN S1BC or ITALIAN 1BCSP. ITALIAN 1C with a grade of C or better. ITALIAN 1BC with a grade of C or better. ITALIAN S1BC with a grade of C or better. ITALIAN 1BCSP with a grade of C or better. Placement into ITALIAN 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
Italian,ITALIAN,2B,Intermediate Italian,4,VIII,"Second quarter of second-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 2A. ITALIAN 2A with a grade of C or better. Placement into ITALIAN 2B is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
Italian,ITALIAN,2C,Intermediate Italian,4,VIII,"Third quarter of second-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 2B. ITALIAN 2B with a grade of C or better. Placement into 2C is also accepted.,School of Humanities students have first consideration for enrollment.,,,,,,,
Italian,ITALIAN,50,Topics in Italian Culture,4,IV and VIII,"Examines Italian culture at home and from abroad, in cinema, literature, and popular culture.",,,,,,,Unlimited as topics vary.,,
Italian,ITALIAN,99,Special Studies in Italian,4,,Both student and instructor arrive at the theme of the course and the critical approach to be followed in consultation. Intended to offer courses in Italian otherwise unavailable.,,,,,,,May be repeated for credit unlimited times.,,
Italian,ITALIAN,150,Topics in Italian Literature and Culture,4,,"Major themes, periods, and/or movements in Italian literature and culture. Taught in English.",,,,,,,Unlimited as topics vary.,,
Italian,ITALIAN,199,Tutorial in Italian Literature and Culture,4,,The student must submit a written description of the proposed course to the instructor and the Chair prior to the beginning of the course.,,,,,,,Unlimited as topics vary.,,
