department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MGMTPHD,291,Ph.D,2-12,,"Each quarter a number of special topic seminars are offered in the 291 series for Ph.D. students. Examples include topics such as methods seminar, experimental design, qualitative research, structural equation modeling.",,,,,,,Unlimited as topics vary.,,
MGMTPHD,292,Pre-Colloquium Seminar,0-2,,Seeks to facilitate discussion of upcoming Colloquium research papers increasing the likelihood that Ph.D. students are active participants in all of the Colloquia. Active participation enhances exposure of Ph.D. students to visiting scholars.,,Graduate students only. Management Majors only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
MGMTPHD,297A,Doctoral Proseminar,2,,Analysis of the central theories and theoretical controversies in the field of management. Examination of the formal education for managerial careers and exploration of issues relating to professional careers in research and scholarship in the field of management.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,,,
MGMTPHD,297B,University Teaching,University,,"Designed to prepare students for teaching career; incorporates seminars addressing topics of classroom dynamics, syllabus preparation, teaching techniques; establishes mentor relationship with faculty member in student's teaching area, provides classroom experience and includes option of videotape analysis of teaching style.",,Graduate students only.,,,,,,,
MGMTPHD,297D,Philosophy of Science,4,,"Provides exposure to fundamental issues regarding how knowledge is created, defended, and replaced both in the natural and social sciences. Covers current debates on the meaning of the term ""scientific"" and the validity of the scientific method.",,Graduate students only.,,,,,,,
MGMTPHD,297F,Doctoral Research Methods,4,,"An introduction to the fundamentals of social science research: theory development, research design, methods, data management, and writing for scholarly publications; for doctoral students intending scholarly research careers. Involves hands-on practice in formulating hypotheses, designing research, and conducting journal reviews.",,Graduate students only. Management Majors only.,,,,,,,
MGMTPHD,297H,Experimental Design,4,,"Advanced course provides experience in planning and implementing an experiment or quasi-experiment, including choice of topic, study design, data analysis, and manuscript preparation.  Data analysis topics include ANOVA, ANCOVA, repeated measures, logistic regression, chi-square, and tests of mediation.",,Graduate students only.,,,,,,,
MGMTPHD,297I,Applied Multivariate Statistics,2-4,,"Provides an overview of the most common techniques for multivariate analysis: principal component analysis, factor analysis, cluster analysis, MANOVA, regression with continuous variables, and regression with discrete variables.",,Graduate students only.,,,,,,,
MGMTPHD,297K,Advanced Qualitative Methods: Analyzing Qualitative Data,4,,Introduction to the theory and practice of analyzing qualitative data. Students must have already learned about data collection and research design for qualitative research and must have qualitative data they can analyze.,,Graduate students only.,"UPPP 213, POL SCI 273A.",,,,,,
MGMTPHD,297L,Writing for Scholarly Publication,4,,Introduces methods for planning and carrying out scholarly writing.,,Graduate students only.,,,,,,,
MGMTPHD,297M,SAS Boot Camp,2,,Teaches basics of SAS programming for empirical research. No prior knowledge of SAS or other computer programming language is required. Provides knowledge and tools to replicate an empirical study and learn how to perform very advanced data procedures.,,Graduate students only.,,,,,,,
MGMTPHD,297Q,Game-Theoretic Models for Management Research,4,,"Introduces some classic game-theoretic models for management research. It is about modeling strategic interactions between business competitors and/or partners in an analytical framework.  Various applications will be discussed, e.g., pricing strategies, business alliances, e-commerce, negotiations, and contracts, etc.",,Graduate students only.,,,,,,,
MGMTPHD,297R,Theories of Power and Empowerment,4,,"Studies different ways of thinking about power and its uses. Explores theories of power that inform various notions of empowerment, including resistance, participatory democracy, and workplace empowerment.",,Graduate students only.,"UPPP 279, POL SCI 223A.",,,,,,
MGMTPHD,297T,Decision Theory,2-4,,"Decision theories and preference models: How models are elicited or theories are experimentally tested, relevance to different management research areas, alternative theories, applications in management practice, and interpretations for the general public.",,Graduate students only.,,,,,,,
MGMTPHD,297U,Foundational Theories of Organizations,4,,"Covers major economic and sociological perspectives guiding the study of organizations (i.e., transaction cost economics, agency theory, institutional theories, organizational ecology, network and diffusion theories, behavioral theories, resource dependence), and examines how different theoretical perspectives are tested.",,Graduate students only.,,,,,,,
MGMTPHD,297V,"Information, Psychology, and Social Processes",4,,"In the marketplace for ideas, which succeed and which fail? How do ideas and information spread between individuals, and how do populations of ideas evolve? This course reviews recent research on these issues and applications to business.",,Graduate students only.,,,,,,,
MGMTPHD,297W,Establishing Your Academic Career,4,,"Overview of the best practices for succeeding in an academic career. Presenting oneself in conversation, in written documents, in research talks, and in teaching.",,Graduate students only.,,,,,,,
MGMTPHD,299,Individual Directed Study,1-12,,Individual study under the direction of a selected faculty member.,,Graduate students only.,,,,,May be taken for credit for 12 units.,,
MGMTPHD,399,University Teaching,0-4,,Limited to teaching assistants.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit for 4 units.,,
