department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
NUR SCI,50,Nutrition Across the Lifespan,4,,"Focuses on the relationship between diet and health, and how the human body responds to different diets and food components. Emphasizes how diet interacts with activity and the impact of exercise or sedentary lifestyle on health.",,Nursing Science Majors have first consideration for enrollment.,,,,,,,
NUR SCI,90,Introduction to Pain Medicine,2,,Gives students introductory knowledge in pain medicine.,,,,,,,,,
NUR SCI,92,Compassion in Health Care,1,,"An overview of the importance of compassion in health care, providing examples from a variety of health care professions through lectures and discussion.",,,,,,Pass/no pass only.,,,
NUR SCI,110W,Frameworks for Professional Nursing Practice,5,Ib,"Conceptual frameworks for professional practice. Scope of professional nursing, jurisprudence and ethics, professional interpersonal relationships, and health care delivery systems in the context of the social, political, and economic environments. Socialization of the student for professional roles in nursing.",BIO SCI D170 and BIO SCI E109. Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only. Nursing Science Majors only.,,,,,,NUR SCI 112LA and NUR SCI 114A and NUR SCI 118A,
NUR SCI,112LA,Foundations of Professional Practice,3,,"Development of skills in communication, interviewing, functional and physical health assessment across the life span, the art and science of human care, and clinical judgment.",BIO SCI E109 and BIO SCI D170,Nursing Science Majors only.,,,,,,NUR SCI 110W and NUR SCI 114A and NUR SCI 118A,
NUR SCI,112LB,Foundations of Professional Practice,4,,"Development of skills in communication, interviewing, functional and physical health assessment across the life span, the art and science of human care, and clinical judgment.",NUR SCI 112LA and NUR SCI 110W and NUR SCI 114A and NUR SCI 118A,Nursing Science Majors only.,,,,,,NUR SCI 114B and NUR SCI 118B and NUR SCI 125 and NUR SCI 135,
NUR SCI,114A,Applied Pharmacology I,2,,"Presents principles of pharmacology applied to interventions in pathophysiologic states across the life span. Discussion of the major drug groups with implications for monitoring, drug administration, toxicity, and patient education are included.",BIO SCI E109 and BIO SCI D170,Nursing Science Majors only.,,,NUR SCI 264A.,,,NUR SCI 110W and NUR SCI 118A and NUR SCI 112LA,
NUR SCI,114B,Applied Pharmacology II,2,,"Presents principles of pharmacology applied to interventions in pathophysiologic states across the life span. Discussion of the major drug groups with implications for monitoring, drug administration, toxicity, and patient education are included.",NUR SCI 114A and NUR SCI 118A and NUR SCI 110W and NUR SCI 112LA,Nursing Science Majors only.,,,NUR SCI 264B.,,,NUR SCI 118B and NUR SCI 112LB and NUR SCI 125 and NUR SCI 135,
NUR SCI,116,Human Growth and Development through the Lifespan,4,,"Examines theories and concepts of typical human development throughout the life cycle, from the time of conception through adulthood, and familiarizes students with the many forces that shape individual development, including family, society, and culture.",PSYCH 7A or PSCI 9. PSYCH 7A with a grade of C or better. PSCI 9 with a grade of C or better,Nursing Science Majors only.,,,,,,,
NUR SCI,118A,Human Health and Disease I,2,,"Presents content on pathologic alterations in physiologic processes in cells, tissues, organs, and systems across the life span. Emphasis on critical thinking, application of concepts to clinical practice, and related research.",BIO SCI E109 and BIO SCI D170,Nursing Science Majors only.,,,NUR SCI 268A.,,,NUR SCI 114A and NUR SCI 112LA and NUR SCI 110W,
