department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PERSIAN,1A,Fundamentals in Persian,5,,"Designed for students with little or no exposure to Persian. Students learn the modern writing system and grammar of Persian. Facilitates basic reading, writing, and speaking skills and fosters college-level literacy in Persian culture.",Placement into PERSIAN 1A.,PERSIAN 1A and PERSIAN S1AB may not be taken for full credit.,,PERSIAN S1AB.,,,,,
PERSIAN,1B,Fundamentals in Persian,5,,"Designed for students with little or no exposure to Persian. Students learn the modern writing system and grammar of Persian. Facilitates basic reading, writing, and speaking skills and fosters college-level literacy in Persian culture.",PERSIAN 1A. PERSIAN 1A with a grade of C or better. Placement into PERSIAN 1B is also accepted.,PERSIAN 1B and PERSIAN S1AB and PERSIAN S1BC may not be taken for full credit.,,"PERSIAN S1AB, PERSIAN S1BC.",,,,,
PERSIAN,1C,Fundamentals in Persian,5,VI,"Designed for students with little or no exposure to Persian. Students learn the modern writing system and grammar of Persian. Facilitates basic reading, writing, and speaking skills and fosters college-level literacy in Persian culture.",PERSIAN 1B or PERSIAN S1AB. PERSIAN 1B with a grade of C or better. PERSIAN S1AB with a grade of C or better. Placement into PERSIAN 1C is also accepted.,PERSIAN 1C and PERSIAN S1BC may not be taken for full credit.,,PERSIAN S1BC.,,,,,
PERSIAN,2A,Intermediate Persian,4,VIII,"Designed for students to advance their Persian language skills from introductory to intermediate level. Student will advance their understanding of grammar and syntax. Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.",PERSIAN 1C or PERSIAN S1BC. PERSIAN 1C with a grade of C or better. PERSIAN S1BC with a grade of C or better. Placement into PERSIAN 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
PERSIAN,2B,Intermediate Persian,4,VIII,"Designed for students to advance their Persian language skills from introductory to intermediate level. Students will advance their understanding of grammar and syntax. Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.",PERSIAN 2A. PERSIAN 2A with a grade of C or better. Placement into PERSIAN 2B is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
PERSIAN,2C,Intermediate Persian,4,VIII,"Designed for students to advance their Persian language skills from introductory to intermediate level. Students will advance their understanding of grammar and syntax. Facilitates intermediate-level reading, writing, and speaking skills. Fosters college-level cultural literacy.",PERSIAN 2B. PERSIAN 2B with a grade of C or better. Placement into PERSIAN 2C is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
PERSIAN,10A,Persian Peer-to-Peer Language Mentor Program,1,,Peer-to-Peer Language Mentor Program in which student mentors work with student mentees to increase the language skills of both participants. One hour weekly meetings. PERSIAN 10A is for language mentors.,,,,,,Pass/no pass only.,May be taken for credit 4 times.,,
PERSIAN,10B,Persian Peer-to-Peer Language Mentor Program,1,,Peer-to-Peer Language Mentor Program in which student mentors work with student mentees to increase the language skills of both participants. One hour weekly meetings. PERSIAN 10B is for language mentees.,,,,,,Pass/no pass only.,May be taken for credit 4 times.,,
PERSIAN,50,Persian Culture,4,"IV, VIII","Study of varied topics in Persian culture, area studies, and society, both in the present and in historical perspective. Topics are not normally repeated for a two-year period.",,,,,,,Unlimited as topics vary.,,
PERSIAN,150,Topics in Advanced Persian Culture,4,,"In-depth examination of major works in premodern and modern Persian literature and/or the arts, with specific emphasis upon historical and cultural context and relevant societal issues and trends. Course is conducted in English.",,,,,,,May be taken for credit for 4 units as topics vary.,,
PERSIAN,165A,Modern Iran: Cinema and the City,4,,"Exploring modern Iran through film, literature, photography, travel writing, and philosophy and social science texts that introduce students to important concepts in post-colonial studies, social thought, war culture, religion, and media as experienced through the paradigm of a non-Western modernity.",,,ANTHRO 165A.,,,,,,
PERSIAN,199,Independent Study,4,,Independent research with Persian faculty.,,,,,,,May be repeated for credit unlimited times.,,
