department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Philosophy,PHILOS,1,Introduction to Philosophy,4,IV,"A selection of philosophical problems, concepts, and methods, e.g., free will, cause and substance, personal identity, the nature of philosophy itself. Materials fee.",,,,,,,,,
Philosophy,PHILOS,2,Puzzles and Paradoxes,4,IV and VB,Introduction to the formal tools needed to comprehend and evaluate philosophical arguments and theoretical reasoning in general.,,,,,,,,,
Philosophy,PHILOS,3,Technology and Society,4,II,"A study of the nature of technology, its relation to human values, the philosophical assumptions in its development, and the philosophical implications of technology.",,,,,,,,,
Philosophy,PHILOS,4,Introduction to Ethics,4,IV,"Selected topics from the history of ethics, e.g., the nature of the good life and the moral justification of conduct.",,,,,,,,,
Philosophy,PHILOS,5,Contemporary Moral Problems,4,IV,"Selected moral issues of current interest, e.g., abortion, sexual morality, euthanasia, capital punishment, reverse discrimination, civil disobedience, or violence.",,,,,,,,,
Philosophy,PHILOS,7,Introduction to Existentialism,4,IV,"An analysis of themes in phenomenology and existentialism and their philosophical origins, e.g., consciousness, self and other, freedom and individuality.",,,,,,,,,
Philosophy,PHILOS,10,History of Ancient Philosophy,4,IV,"Examination of the central philosophical themes developed by the pre-Socratics, Socrates, Plato, Aristotle, the Stoics, the Epicureans, and the Skeptics.",,,,,,,,,
Philosophy,PHILOS,11,History of Medieval Philosophy,4,IV,A study of some of the major theological and philosophical texts from the Medieval period.,Recommended: PHILOS 10.,,,,,,,,
Philosophy,PHILOS,12,History of Modern Philosophy,4,IV,"A study of major developments in western philosophy from Descartes to Kant with readings from Descartes, Leibniz, Locke, Berkeley, Hume, and Kant.",Recommended: PHILOS 10 or PHILOS 11.,,,,,,,,
Philosophy,PHILOS,13,History of Contemporary Philosophy,4,IV,"A study of recent philosophical developments in Anglo-American and Continental philosophy with readings from such figures as Russell, Moore, Wittgenstein, Quine, Heidegger, and Sartre.",Recommended: PHILOS 12.,,,,,,,,
Philosophy,PHILOS,21,Philosophy and Religion,4,IV,Examines the intersection of religion and philosophy from a standpoint that does not presuppose previous academic study of either.  Both Western and Eastern traditions and perspectives may be explored.,,,REL STD 21.,,,,Unlimited as topics vary.,,
Philosophy,PHILOS,22,Introduction to Law and Society,4,III,What constitutes a legal system? What does it mean for a society to have a system as a part of the social fabric. Examines the social status of law and its use as a tool for fashioning society.,,,,,,,,,
Philosophy,PHILOS,29,Critical Reasoning,4,II and Vb,"Introduction to analysis and reasoning. The concepts of argument, premise, and conclusion, validity and invalidity, consistency and inconsistency. Identifying and assessing premises and inferences. Deductive versus inductive reasoning, and introduction to the probability calculus. Evaluating definitions. Informal fallacies.",,,LPS 29.,,,,,,
Philosophy,PHILOS,30,Introduction to Symbolic Logic,4,Vb,"An introduction to the symbolism and methods of the logic of statements, including evaluation of arguments by truth tables, the techniques of natural deduction, and semantic tableaux.",,,"LPS 30, LSCI 43.",,,,,,
Philosophy,PHILOS,31,Introduction to Inductive Logic,4,"II, Va","Philosophical questions concerning the foundations of scientific inference, e.g., the traditional problem of induction, the Goodman paradox, the concept of cause, Mill's method of inductive reasoning, probability calculus, different interpretations of probability, and their interaction in inductive reasoning.",,,LPS 31.,,,,,,
Philosophy,PHILOS,40,Special Topics in Philosophy,4,,Lectures on selected topics at the lower-division level.,,,,,,,Unlimited as topics vary.,,
