department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PUBHLTH,1,Principles of Public Health,4,III,Introduces the major concepts and principles of public health and the determinants of health status in communities. Emphasizes the ecological model that focuses on the linkages and relationships among multiple natural and social determinants affecting health.,,Nursing Science Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,2,Case Studies in Public Health Practice,4,II,Presents case studies in various themes of public health practice to demonstrate how the principles of public health were established and continue to evolve.,PUBHLTH 1,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,7A,Public Health Statistics I,4,Va,"Introduces the development and application of statistical reasoning and methods in addressing, analyzing, and solving problems in public health, health care, and biomedical, clinical, and population-based research and practice.",,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,"SOCECOL 13, STATS 7, STATS 8, MGMT 7.",,,,,
PUBHLTH,7B,Public Health Statistics II,4,Va,"Introduces the development and application of statistical reasoning and methods in addressing, analyzing, and solving problems in public health, health care, and biomedical, clinical, and population-based research and practice.",PUBHLTH 7A,Public Health Majors only. Public Health Sciences Majors only. Public Health Policy Majors only.,,,,,,,
PUBHLTH,10,Special Topics in Public Health,2-4,,Introduction to emerging topics in public health. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
PUBHLTH,30,Introduction to Urban Environmental Health,4,II,"Study of natural and physical components of earth's environmental problems due to human activities. Topics include global air, water, soil, biodiversity, rainforests, energy, demographics, agriculture, and urbanization. Theme is sustainability. Integrated into the science are social, legal, and economic considerations.",,,,,,,,,
PUBHLTH,60,Environmental Quality and Health,4,II,"Overviews how pollution in the environment affects human health. Topics are toxicology, epidemiology, risk assessment, water, food, air, radiation, pesticides, solid and hazardous waste. Included are interdisciplinary elements of environmental regulations, education, and consumer protection.",,,,,,,,,
PUBHLTH,80,AIDS Fundamentals,4,II,"Considers the biological and sociological bases of the AIDS epidemic. Topics include the history of AIDS, current medical knowledge, transmission, risk reduction, and how the community can respond.",,,BIO SCI 45.,,,,,,
PUBHLTH,90,Natural Disasters,4,II,"Natural disasters are natural Earth processes that adversely affect humans. Topics include tectonics, earthquakes, tsunami, volcanoes, landslides, severe weather, flooding, coastal processes, wildfire, related topics, and use of GIS for hazard and risk assessment.",,,,EARTHSS 17.,,,,,
PUBHLTH,91,Disparities in Health Care,2-8,,"Student participatory course practicing initiation, planning, and coordination of various speakers on the subject of Disparities in Health Care.",,,,,,Pass/no pass only.,May be taken for credit for 8 units.,,
PUBHLTH,100,Special Topics in Public Health,4,,Studies in selected areas of public health. Topics addressed vary each quarter. Course may be offered online when topic is Public Health in the Corporate World.,PUBHLTH 1,,,,,,Unlimited as topics vary.,,
PUBHLTH,101,Introduction to Epidemiology,4,,"The distribution of disease and injury across time, space, and populations. Covers basic concepts and methods of descriptive epidemiology including the natural history of disease, data, and indices of health.",STATS 7 or STATS 8 or PUBHLTH 7 or PUBHLTH 7A,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,102,Social Epidemiology,4,,"Overviews evidence linking environmental factors to mental and physical disorders including such variables as socioeconomic status, income inequality, work stress, job loss, social capital, location, and other demographic characteristics. Measurement and research design issues of both individual and aggregate levels.",(PSCI 9 or PSCI 11C or PSYCH 7A or PSYCH 9C) and SOCECOL 10 and SOCECOL 13,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.,PSCI 183S.,,,,,,
PUBHLTH,105,Introduction to Medical Informatics,4,,"Broad overview of medical informatics for students with varied backgrounds. Electronic medical records, online resources, mobile technologies, patient safety, and computational design. Legal, ethical, and public policy issues. Health systems management. Evaluation and fieldwork for health systems.",WRITING 39C or WRITING 30 or WRITING 31 or HUMAN 1C or HUMAN H1C. WRITING 39C with a grade of C or better. WRITING 30 with a grade of C or better. WRITING 31 with a grade of C or better. HUMAN 1C with a grade of C or better. HUMAN H1C with a grade of C or better,Upper-division students only. Satisfactory completion of the Lower-Division Writing requirement.,IN4MATX 171.,,,,,,
PUBHLTH,106,Project in Health Informatics,4,,"Students undertake significant quarter-long projects related to health informatics. Topics may include field evaluations of health care technologies, prototypes, iterative design, and system implementations.",PUBHLTH 105 or IN4MATX 171,,IN4MATX 172.,,,,,,
PUBHLTH,107,Epidemiology of Drug Use and Misuse,4,,"Applies epidemiologic concepts to the use and misuse of licit/illicit substances. Emphasizes descriptive aspects of drug use and determinants of progressing from experimental use to misuse. Assesses subgroups of abusers, risk factors, trends, and surveillance techniques for estimating drug prevalence.",PUBHLTH 101,Upper-division students only. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,115,"Community, Social Justice, and Health Equity Research for Action",4,,"Focuses on community as a unit of identity, community, well-being, and social justice perspectives and initiatives to promote community health. Addresses community change and improvements in community well-being, with a focus on health equity research for action.",PUBHLTH 1 or PUBHLTH 2 or CHC/LAT 61 or CHC/LAT 62 or CHC/LAT 63,,CHC/LAT 152B.,,,,,,
PUBHLTH,119,Special Topics in Epidemiology and Genetics,4,,Studies in selected areas of epidemiology and genetics. Topics addressed vary each quarter.,PUBHLTH 1,,,,,,Unlimited as topics vary.,,
PUBHLTH,120,Nutrition and Global Health,4,,"Global issues related to nutrition and public health. Evaluation of nutritional risk factors associated with the development of chronic diseases and the role of nutritional medicine in prevention. Topics include food safety, communicable diseases, supplements, and regulatory issues.",,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,121,Introduction to Complementary and Alternative Medicine,4,,"Examines health and disease in contemporary American culture/society with definitions, models, and practices of what has come to be known as ""orthodox"" or ""conventional"" medicine. Selected ""alternative"" or ""complementary"" modes of promoting health and well-being including homeopathy, herbology, and chiropractic.",,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,122,Health Policy,4,,"Considers social and economic aspects of health and disease in the United States.  What are the proper roles of the individual, community, and government in improving health and health care?  International comparisons will be made wherever possible.",,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,UPPP 170.,,,,,,
PUBHLTH,125,Foundations of Community Health,4,,"A social ecological framework for understanding community health is presented. Measures of individual and community health are compared, and the influence of personal and environmental factors on individual, group, and population health is examined. Community health promotion strategies are discussed.",,Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,UPPP 112.,,,,,,
PUBHLTH,126,Public Health Law: Fundamentals in Action,4,,"Addresses the relationship of U.S. public health law to health systems at the individual and population levels. Examines legislative and judicial concepts and how they are applied to disease prevention strategies, health services, management, and policy.",,,,,,,,,
PUBHLTH,127,Public Health Programs for the Corporate World,4,,"International perspective on workplace health promotion. Strategies for developing programs to improve employee health and to decrease risks of chronic degenerative diseases. Case studies include assessment of employee health, program design, implementation, and evaluation. Emphasis on disease prevention.",,,,,,,,,
PUBHLTH,129,Public Health Administration,4,,"Examines historical aspects of public health administration including policies, procedures, trends, and development of organizations. Addresses information and skills necessary to succeed in public health leadership roles. Discusses strategic planning, collaborations, and ethical considerations for successful management in public health.",PUBHLTH 1,Upper-division students only. Public Health Policy Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment.,,,,,,,
PUBHLTH,132,American Public Policy,4,,Focuses on the development and implementation of public policy in the United States. Lectures cover theoretical models of the policy process as well as significant problems facing contemporary American decision-makers.,,,"POL SCI 121G, SOC SCI 152C, UPPP 129.",,,,,,
