department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Religious Studies,REL STD,5A,World Religions I,4,IV and VIII,"An introduction to the history, doctrine, culture, and writing of Judaism, Christianity, and Islam.",,,HISTORY 16A.,,,,,,
Religious Studies,REL STD,5B,World Religions II,4,IV and VIII,"An introduction to various religious traditions in selected areas of the world--including India and South Asia, East Asia, Africa, and the Americas.",,,HISTORY 16B.,,,,,,
Religious Studies,REL STD,5C,Religious Dialogue,4,"IV, VIII","Lectures and discussion on controversial topics in religion: sexual morality; religious violence; science; treatment of women and girls; religious truth, American Constitutional matters; secularization; the future of religion, and other topics.",,,HISTORY 16C.,,,,,,
Religious Studies,REL STD,17,An Economic Approach to Religion,4,III,"Introduction to how basic economic concepts such as demand, supply, consumption, production, competition, free-riding, innovation, regulation, and rent-seeking can be applied to understand observed religious behavior.",,,ECON 17.,,,,,,
Religious Studies,REL STD,21,Philosophy and Religion,4,IV,Examines the intersection of religion and philosophy from a standpoint that does not presuppose previous academic study of either.  Both Western and Eastern traditions and perspectives may be explored.,,,PHILOS 21.,,,,Unlimited as topics vary.,,
Religious Studies,REL STD,61,Gender and Religion,4,III and VIII,"Introduces the topic of religion in a feminist context by performing cross-cultural exploration of gender, authority, and faith in various traditions. Study includes (but is not limited to) writings of contemporary Jewish, Christian, and Muslim feminists.",,,GEN&SEX 60C.,,,,,,
Religious Studies,REL STD,90,Aspects of Religion,4,,A presentation of selected issues in the study of religion.,,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,100,Topics in the Study of Religion,4,,The intersection of religious belief and practices with selected subjects of continuing interest.,,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,103,Topics in the Philosophy of Religion,4,,"Critical examination of philosophical concepts in religious scripture and theology, e.g., the nature and existence of God, miracles, the problem of evil, and divine command theories in ethics. May include any religious tradition.",,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,110,Thinking about Religion: Theories and Methodologies,4,,"A survey and investigation of the major thinkers, theories, and methodologies in the study of religions. Designed to develop the student's ability to analyze and articulate theoretical arguments; includes a paper on relevant Religious Studies topics.",(REL STD 5A or HISTORY 16A) and (REL STD 5B or HISTORY 16B) and (REL STD 5C or HISTORY 16C),Religious Studies Majors have first consideration for enrollment.,,REL STD 110W.,,,,,
Religious Studies,REL STD,110W,Thinking about Religion: Theories and Methodologies,4,Ib,"A survey and investigation of the major thinkers, theories, and methodologies in the study of religions. Designed to develop the student's ability to analyze and articulate theoretical arguments in writing; includes a paper on relevant Religious Studies topics.",(REL STD 5A or HISTORY 16A) and (REL STD 5B or HISTORY 16B) and (REL STD 5C or HISTORY 16C). Satisfactory completion of the Lower-Division Writing requirement.,Religious Studies Majors have first consideration for enrollment.,,REL STD 110.,,,,,
Religious Studies,REL STD,115,Religion and World Politics,4,,"Examines the relationship between religion and world politics historically and today, focusing on connections with peace/war, democracy, human rights, secularism(s), and globalization. Covers major debates, scholarship, concepts, and theories through class exercises, exams, and essays.",POL SCI 41A or INTL ST 11 or INTL ST 12 or REL STD 5A or REL STD 5B or REL STD 5C,,"POL SCI 146B, INTL ST 151B.",,,,,,
Religious Studies,REL STD,120,Topics in Asian Religious Traditions,4,,"Studies involving (but not limited to) Hinduism, Buddhism, Confucianism, Jainism, Sikhism, Daoism, Shinto or Shamanism, including both elite and doctrinal aspects and forms of more popular religiosity.",,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,122,Ancient India,4,,"Examines the visual and religious history of the region defined as ""India"" today, but necessarily encompassing modern Bangladesh and Pakistan.  Culminates with the supposed Golden Age of the Gupta empire and its far-reaching legacies.",,,"HISTORY 170A, ART HIS 155A.",,ART HIS 255A.,,,,
Religious Studies,REL STD,123,Medieval India,4,,"Begins with the Gupta period's aesthetic legacies in South Asia's architecture, sculpture, and painting. Explores the dispersal of Islam throughout South Asia, including the Muslim communities of southern India.",,,"HISTORY 170B, ART HIS 155B.",,ART HIS 255B.,,,,
Religious Studies,REL STD,124,Topics in Modern Indian Religion,4,,"Topics in religions of the Indian subcontinent including, but not confined to, Hinduism, Jainism, Sikhism, Islam, and Buddhism from the founding of the Mughal Empire in 1526 to the creation of the several modern states of the Indian subcontinent.",,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,130,"Jewish, Islamic, and Middle Eastern Religious Traditions",4,,"Character and evolution of Egyptian, Jewish, Zoroastrian, Muslim, and other religious communities of the region from their formative periods to the present era.",,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,130F,Jews and Power,4,,Examines the relationship between the Jewish people and political power over a 3500 year period. How have Jews preserved their communal interests and personal safety? How have they defined the proper relationship of the people to political authority.,,,"HISTORY 130F, POL SCI 154J.",,,,,,
Religious Studies,REL STD,131A,History of Zoroastrianism,4,,Reviews major trends in the history of Zoroastrianism.,,,HISTORY 131A.,,,,,,
Religious Studies,REL STD,140,Early Western Religious Traditions,4,,Religious perspectives of the Mediterranean and European regions from the earliest times to approximately 1500 C.E.,,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,150,Religion in the Americas,4,,Religious belief and social context in North and South America from the earliest human societies to the present.,,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,160,Diaspora Religions,4,,Examination of what happens to belief and practice as religious communities are scattered geographically.,,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,170,Topics in Comparative Studies in Religion,4,,"Literary, historical, or philosophical comparison of selected religious and quasi-religious traditions, their beliefs and practices.",,,,,,,May be taken for credit 3 times as topics vary.,,
Religious Studies,REL STD,199,Independent Study,1-4,,Directed reading and research in consultation with a faculty member.  Substantial written work required.,,Upper-division students only.,,,,,Unlimited as topics vary.,,
Religious Studies,REL STD,399,University Teaching,4,,Limited to teaching assistants.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
