department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
RUSSIAN,1A,Fundamentals of Russian,5,,"Focuses on reading, comprehension, basic composition, and conversation skills, and gives the student an initial exposure to the Russian cultural scene.",Placement into RUSSIAN 1A.,,,,,,,,
RUSSIAN,1B,Fundamentals of Russian,5,,"Focuses on reading, comprehension, basic composition, and conversation skills, and gives the student an initial exposure to the Russian cultural scene.",RUSSIAN 1A. RUSSIAN 1A with a grade of C or better. Placement into RUSSIAN 1B is also accepted.,,,,,,,,
RUSSIAN,1C,Fundamentals of Russian,5,VI,"Focuses on reading, comprehension, basic composition, and conversation skills, and gives the student an initial exposure to the Russian cultural scene.",RUSSIAN 1AB or RUSSIAN 1B. RUSSIAN 1AB with a grade of C or better. RUSSIAN 1B with a grade of C or better. Placement into RUSSIAN 1C is also accepted.,,,,,,,,
RUSSIAN,2A,Intermediate Russian,4,VIII,Students read simple passages from contemporary Russian literary texts and newspapers. Development of oral skills and exposure to Russian culture continue.,RUSSIAN 1BC or RUSSIAN 1C. RUSSIAN 1BC with a grade of C or better. RUSSIAN 1C with a grade of C or better. Placement into RUSSIAN 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
RUSSIAN,2B,Intermediate Russian,4,VIII,Students read simple passages from contemporary Russian literary texts and newspapers. Development of oral skills and exposure to Russian culture continue.,RUSSIAN 2A. RUSSIAN 2A with a grade of C or better. Placement into RUSSIAN 2B is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
RUSSIAN,2C,Intermediate Russian,4,VIII,Students read simple passages from contemporary Russian literary texts and newspapers. Development of oral skills and exposure to Russian culture continue.,RUSSIAN 2B. RUSSIAN 2B with a grade of C or better. Placement into RUSSIAN 2C is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
RUSSIAN,50,Topics in Russian Culture,4,IV and VIII,"Study of varied topics in Russian culture, area studies, and society, both in the present and in historical perspective.",,,,,,,May be taken for credit 4 times as topics vary.,,
RUSSIAN,99,Special Studies Russian,1-5,,Special studies under faculty supervision.,,,,,,,May be taken for credit 2 times.,,
RUSSIAN,150,Topics in Russian Literature,4,,"Examines major themes in Russian literature, film, and other media from the eighteenth to twenty-first centuries. Taught in English.",,,,,,,Unlimited as topics vary.,,
RUSSIAN,190,Topics in Russian Language Through Film,4,,"Uses Russian films of the late 20th century to enhance students' language skills and deepen their cultural knowledge. Work involves intensive conversation, reading and listening comprehension, and the acquisition of written skills and grammatical accuracy. Conducted primarily in Russian.",,,,,,,Unlimited as topics vary.,,RUSSIAN 2C
RUSSIAN,199,Independent Study,1-4,,Independent study under direct faculty supervision.,,,,,,,May be taken for credit 2 times.,,
