department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Statistics,STATS,5,Seminar in Data Science,1,,An introduction to the field of Data Science; intended for entering freshman and transfers.,,Information Computer Science Majors only.,,,,Pass/no pass only.,,,
Statistics,STATS,7,Basic Statistics,4,Va,"Introduces basic inferential statistics including confidence intervals and hypothesis testing on means and proportions, t-distribution, Chi Square, regression and correlation. F-distribution and nonparametric statistics included if time permits.",,"STATS 7 may not be taken for credit concurrently with or after STATS 110, STATS 111, STATS 112.",,"STATS 8, MGMT 7, SOCECOL 13.",,,,,
Statistics,STATS,8,Introduction to Biological Statistics,4,Va,"Introductory statistical techniques used to collect and analyze experimental and observational data from health sciences and biology. Includes exploration of data, probability and sampling distributions, basic statistical inference for means and proportions, linear regression, and analysis of variance.",,"STATS 8 may not be taken for credit concurrently with or after STATS 110, STATS 111, STATS 112.",,"SOCECOL 13, MGMT 7, STATS 7.",,,,,
Statistics,STATS,67,Introduction to Probability and Statistics for Computer Science,4,Va,Introduction to the basic concepts of probability and statistics with discussion of applications to computer science.,MATH 2B,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment. STATS 67 may not be taken for credit concurrently with or after STATS 120B.,,,,,,,
Statistics,STATS,68,Statistical Computing and Exploratory Data Analysis,4,,"Introduces key concepts in statistical computing. Techniques such as exploratory data analysis, data visualization, simulation, and optimization methods, will be presented in the context of data analysis within a statistical computing environment.",STATS 7 and I&C SCI 31,,,,,,,,
Statistics,STATS,110,Statistical Methods for Data Analysis I,4,,"Introduction to statistical methods for analyzing data from experiments and surveys. Methods covered include two-sample procedures, analysis of variance, simple and multiple linear regression.",STATS 7 or STATS 8 or AP90 or (STATS 120A and STATS 120B and STATS 120C). AP90 with a minimum score of 3,School of Info & Computer Sci students only.,,,,,,,
Statistics,STATS,111,Statistical Methods for Data Analysis II,4,,"Introduction to statistical methods for analyzing data from surveys or experiments. Emphasizes application and understanding of methods for categorical data including contingency tables, logistic and Poisson regression, loglinear models.",STATS 110,,,,STATS 202.,,,,
Statistics,STATS,112,Statistical Methods for Data Analysis III,4,,"Introduction to statistical methods for analyzing longitudinal data from experiments and cohort studies. Topics covered include survival methods for censored time-to-event data, linear mixed models, non-linear mixed effects models, and generalized estimating equations.",STATS 111,,,,STATS 203.,,,,
Statistics,STATS,115,Introduction to Bayesian Data Analysis,4,,"Basic Bayesian concepts and methods with emphasis on data analysis. Special emphasis on specification of prior distributions. Development for one-two samples and on to binary, Poisson, and linear regression. Analyses performed using free OpenBugs software.",STATS 120C. Recommended: STATS 110.,,,,,,,,
Statistics,STATS,120A,Introduction to Probability and Statistics I,4,,"Introduction to basic principles of probability and statistical inference. Axiomatic definition of probability, random variables, probability distributions, expectation.",MATH 2A and MATH 2B and (MATH 2D or MATH 4),Data Science Majors have first consideration for enrollment. Quantitative Economics majors have second consideration.,,,STATS 281A.,,,,
Statistics,STATS,120B,Introduction to Probability and Statistics II,4,,"Introduction to basic principles of probability and statistical inference. Point estimation, interval estimating, and testing hypotheses, Bayesian approaches to inference.",STATS 120A,Data Science Majors have first consideration for enrollment. Quantitative Economics majors have second consideration.,,,STATS 281B.,,,,
Statistics,STATS,120C,Introduction to Probability and Statistics III,4,,"Introduction to basic principles of probability and statistical inference. Linear regression, analysis or variance, model checking.",STATS 120B and (MATH 3A or MATH 6G or I&C SCI 6N),Data Science Majors have first consideration for enrollment. Quantitative Economics majors have second consideration.,,,STATS 281C.,,,,
Statistics,STATS,140,Multivariate Statistical Methods,4,,"Theory and application of multivariate statistical methods. Topics include statistical inference for the multivariate normal model and its extensions to multiple samples and regression, use of statistical packages for data visualization and reduction, discriminant analysis, cluster analysis, and factor analysis.",STATS 120C and (MATH 3A or I&C SCI 6N),,,,STATS 240.,,,,
Statistics,STATS,170A,Project in Data Science I,4,,"Problem definition and analysis, data representation, algorithm selection, solution validation, and results presentation. Students do team projects and lectures cover analysis alternatives, project planning, and data analysis issues. First quarter emphasizes approach selection, project planning, and experimental design.",STATS 68 and STATS 112 and IN4MATX 43 and COMPSCI 122A and COMPSCI 161 and COMPSCI 178,Seniors only. Data Science Majors have first consideration for enrollment.,,,,In Progress (Letter Grade with P/NP).,,,
Statistics,STATS,170B,Project in Data Science II,4,,"Problem definition and analysis, data representation, algorithm selection, solution validation, and results presentation. Students do team projects and lectures cover analysis alternatives, project planning, and data analysis issues. Second quarter emphasizes project execution and analysis, and presentation of results.",STATS 170A. In Progress (IP) grade for STATS 170A is also accepted.,Seniors only. Data Science Majors have first consideration for enrollment.,,,,,,,
Statistics,STATS,199,Individual Study,2-5,,Individual research or investigations under the direction of an individual faculty member.,,,,,,,May be repeated for credit unlimited times.,,
Statistics,STATS,200A,Intermediate Probability and Statistical Theory,4,,"Basics of probability theory, random variables and basic transformations, univariate distributions--discrete and continuous, multivariate distributions.",STATS 120C,,,,,,,,
Statistics,STATS,200AP,Intermediate Probability and Statistical Theory I,4,,"Fundamental probability and distribution theory needed for statistical inference. Topics include axiomatic foundations of probability theory, discrete and continuous distributions, expectation and moment generating functions, multivariate distributions, transformations, sampling distributions, and limit theorems.",Knowledge of basic statistics and linear algebra; Calculus I-III.,,,,,In Progress (Letter Grade with S/U).,,,
Statistics,STATS,200B,Intermediate Probability and Statistical Theory,4,,"Random samples, transformations, limit laws, normal distribution theory, introduction to stochastic processes, data reduction, point estimation (maximum likelihood).",STATS 200A,,,,,,,,
Statistics,STATS,200BP,Intermediate Probability and Statistical Theory II,4,,"Fundamental theory and methods for statistical inference. Topics include data reduction (sufficient, ancillary, and complete statistics), estimation (method of moments, maximum likelihood estimators, Bayes estimators), evaluating methods (mean squared error, best unbiased estimators, asymptotic evaluations), hypothesis testing, and confidence intervals.",STATS 200AP.,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,200C,Intermediate Probability and Statistical Theory,4,,"Interval estimation, hypothesis testing, decision theory and Bayesian inference, basic linear model theory.",STATS 200B,,,,,,,,
Statistics,STATS,201,Statistical Methods for Data Analysis I,4,,"Introduction to statistical methods for analyzing data from experiments and surveys. Methods covered include two-sample procedures, analysis of variance, simple and multiple linear regression.",STATS 7 or STATS 8,STATS 201 cannot be taken for credit after taking STATS 210.,,,,,,,
Statistics,STATS,202,Statistical Methods for Data Analysis II,4,,"Introduction to statistical methods for analyzing data from surveys or experiments. Emphasizes application and understanding of methods for categorical data including contingency tables, logistic and Poisson regression, loglinear models.",STATS 201 or STATS 210,,,,STATS 111.,,,,
Statistics,STATS,203,Statistical Methods for Data Analysis III,4,,"Introduction to statistical methods for analyzing longitudinal data from experiments and cohort studies. Topics covered include survival methods for censored time-to-event data, linear mixed models, non-linear mixed effects models, and generalized estimating equations.",STATS 202,,,,STATS 112.,,,,
Statistics,STATS,205,Introduction to Bayesian Data Analysis,4,,"Basic Bayesian concepts and methods with emphasis on data analysis.  Special emphasis on specification of prior distributions.  Development for one-two samples and on to binary, Poisson and linear regression.  Analyses performed using free OpenBugs software.",STATS 120C. Recommended: STATS 201 or STATS 210.,,,,,,,,
Statistics,STATS,205P,Bayesian Data Analysis,4,,"Covers basic Bayesian concepts and methods with emphasis on data analysis. Special emphasis on specification of prior distributions. Development of methods and theory for one and two samples, binary, Poisson, and linear regression.",STATS 200AP and STATS 200BP and STATS 210P,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,210,Statistical Methods I: Linear Models,4,,"Statistical methods for analyzing data from surveys and experiments. Topics include randomization and model-based inference, two-sample methods, analysis of variance, linear regression and model diagnostics.","Knowledge of basic statistics, calculus, linear algebra.",,,,,,,,
Statistics,STATS,210A,Statistical Methods I: Linear Models,4,,"Statistical methods for analyzing data from surveys and experiments. Topics include randomization and model-based inference, two-sample methods, analysis of variance, linear regression, and model diagnostics.","Knowledge of basic statistics (at the level of STATS 7), calculus, and linear algebra.",Graduate students only.,,,,,,,
Statistics,STATS,210B,Statistical Methods II: Categorical Data,4,,"Introduction to statistical methods for analyzing discrete and non-normal outcomes. Emphasizes the development and application of methods for categorical data, including contingency tables, logistic and Poisson regression, loglinear models.",STATS 210. May not be taken for graduate credit by Ph.D. students in Statistics.,Graduate students only.,,,,,,,
Statistics,STATS,210C,Statistical Methods III: Longitudinal Data,4,,"Introduction to statistical methods for analyzing longitudinal outcomes. Emphasizes the development and application of regression methods for correlated and censored outcomes. Methods for continuous and discrete correlated outcomes, as well as censored outcomes, are covered.",STATS 210B. May not be taken for graduate credit by Ph.D. students in Statistics.,Graduate students only.,,,,,,,
Statistics,STATS,210P,Statistical Methods I,4,,Statistical methods for analyzing data from multi-variable observational studies and experiments. Topics include model selection and model diagnostics for simple and multiple linear regression and generalized linear models.,STATS 200AP and STATS 200BP. Required: Knowledge of basic statistics and linear algebra.,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,211,Statistical Methods II: Generalized Linear Models,4,,"Development of the theory and application of generalized linear models. Topics include likelihood estimation and asymptotic distributional theory for exponential families, quasi-likelihood and mixed model development. Emphasizes methodological development and application to real scientific problems.",,,,,,,,,STATS 210
Statistics,STATS,211P,Statistical Methods II,4,,"Statistical methods for designing experiments, visualizing, and analyzing experimental and observational data using generalized regression models, multivariate analysis, and methods suitable for dependent data.",STATS 210P,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,212,Statistical Methods III: Methods for Correlated Data,4,,"Development and application of statistical methods for analyzing corrected data. Topics covered include repeated measures ANOVA, linear mixed models, non-linear mixed effects models, and generalized estimating equations.  Emphasizes both theoretical development and application of the presented methodology.",STATS 211,,,,,,,,
Statistics,STATS,220A,Advanced Probability and Statistics Topics,4,,"Advanced topics in probability and statistical inference including measure theoretic probability, large sample theory, decision theory, resampling and Monte Carlo methods, nonparametric methods.",STATS 200C,,,,,,,,
Statistics,STATS,220B,Advanced Probability and Statistics Topics,4,,"Advanced topics in probability and statistical inference, including measure theoretic probability, large sample theory, decision theory, resampling and Monte Carlo methods, nonparametric methods.",STATS 220A and MATH 140B,,,,,,,,
Statistics,STATS,225,Bayesian Statistical Analysis,4,,"Introduction to the Bayesian approach to statistical inference. Topics include univariate and multivariate models, choice of prior distributions, hierarchical models, computation including Markov chain Monte Carlo, model checking, and model selection.",STATS 205 and STATS 230,,,,,,,,
Statistics,STATS,226,Advanced Topics in Modern Bayesian Statistical Inference,4,,"Modern Bayesian Statistics: selected topics from theory of Markov chains, application of theory to modern methods of Markov chain Monte Carlo sampling; Bayesian non-parametric and semiparametric modeling, including Dirichlet Process Mixtures; Mixtures of Polya Trees.",STATS 200C and STATS 225,,,,,,,,
Statistics,STATS,230,Statistical Computing Methods,4,,"Numerical computations and algorithms with applications in statistics. Topics include optimization methods including the EM algorithm, random number generation and simulation, Markov chain simulation tools, and numerical integration.",Two quarters of upper-division or graduate training in probability and statistics.,,,COMPSCI 206.,,,,,
Statistics,STATS,235,Modern Data Analysis Methods,4,,Introduces selected modern tools for data analysis. Emphasizes use of computational and resampling techniques for data analyses when the data do not conform to standard toolbox of regression models and/or complexity of modeling problem threatens validity of standard methods.,STATS 120C and STATS 205 and (STATS 201 or STATS 210),Graduate students only.,,,,,,,
Statistics,STATS,240,Multivariate Statistical Methods,4,,"Theory and application of multivariate statistical methods. Topics include statistical inference for the multivariate normal model and its extensions to multiple samples and regression, use of statistical packages for data visualization and reduction, discriminant analysis, cluster analysis, and factor analysis.",STATS 120C and (MATH 3A or I&C SCI 6N),,,,STATS 140.,,,,
Statistics,STATS,240P,Multivariate Statistical Methods,4,,"Theory and application of multivariate statistical methods. Topics include statistical inference for the multivariate normal model and its extensions to multiple samples and regression, use of statistical packages for data visualization and dimension reduction, discriminant analysis, cluster analysis, factor analysis.",STATS 200AP and STATS 200BP,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,245,Time Series Analysis,4,,"Statistical models for analysis of time series from time and frequency domain perspectives. Emphasizes theory and application of time series data analysis methods. Topics include ARMA/ARIMA models, model identification/estimation, linear operators, Fourier analysis, spectral estimation, state space models, Kalman filter.",,,,,,,,STATS 200C,STATS 201 or STATS 210
Statistics,STATS,245P,Time Series Analysis,4,,"Statistical models for time series. Topics include linear models for trends; stationary time-series; non-stationary time series; forecasting and Kalman filtering; time-series smoothing; seasonal models; ARCH, GARCH and stochastic volatility models; multivariate time series; vector autoregressive models; spectral analysis; case studies.",STATS 200AP and STATS 200BP,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,250,Biostatistics,4,,"Statistical methods commonly used to analyze data arising from clinical studies. Topics include analysis of observational studies and randomized clinical trials, techniques in the analysis of survival and longitudinal data, approaches to handling missing data, meta-analysis, nonparametric methods.",STATS 210,,,,,,,,
Statistics,STATS,255,Statistical Methods for Survival Data,4,,"Statistical methods for analyzing survival data from cohort studies. Topics include parametric and nonparametric methods, the Kaplan-Meier estimator, log-rank tests, regression models, the Cox proportional hazards model and accelerated failure time models, efficient sampling designs, discrete survival models.",STATS 210,Graduate students only.,,,,,,STATS 202 or STATS 211.,
Statistics,STATS,257,Introduction to Statistical Genetics,4,,"Provides students with knowledge of the basic principles, concepts, and methods used in statistical genetic research. Topics include principles of population genetics, and statistical methods for family- and population-based studies.",Two quarters of upper-division or graduate training in statistical methods.,,EPIDEM 215.,,,,,,
Statistics,STATS,260,Inference with Missing Data,4,,"Statistical methods and theory useful for analysis of multivariate data with partially observed variables. Bayesian and likelihood-based methods developed. Topics include EM-type algorithms, MCMC samplers, multiple imputation, and general location model. Applications from economics, education, and medicine are discussed.",,,,,,,,,STATS 210 or STATS 200C. STATS 230.
Statistics,STATS,262,Theory and Practice of Sample Surveys,4,,"Basic techniques and statistical methods used in designing surveys and analyzing collected survey data. Topics include simple random sampling, ratio and regression estimates, stratified sampling, cluster sampling, sampling with unequal probabilities, multistage sampling, and methods to handle nonresponse.",STATS 120C,,,,,,,,
Statistics,STATS,262P,Theory and Practice of Sample Survey,4,,"Basic techniques and statistical methods for designing surveys and analyzing collected survey data. Topics include simple random sampling, ratio and regression estimates, stratified sampling, cluster sampling, sampling with unequal probabilities, multistage sampling, and methods to handle nonresponse.",STATS 200AP and STATS 200BP,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,265,Causal Inference,4,,"Various approaches to causal inference focusing on the Rubin causal model and propensity-score methods. Topics include randomized experiments, observational studies, non-compliance, ignorable and non-ignorable treatment assignment, instrumental variables, and sensitivity analysis. Applications from economics, politics, education, and medicine.",STATS 200C and STATS 210,,,,,,,,
Statistics,STATS,270,Stochastic Processes,4,,"Introduction to the theory and application of stochastic processes. Topics include Markov chains, continuous-time Markov processes, Poisson processes, and Brownian motion. Applications include Markov chain Monte Carlo methods and financial modeling (for example, option pricing).",STATS 120C,,,"MATH 271A, MATH 271B, MATH 271C.",,,,,
Statistics,STATS,270P,Stochastic Processes,4,,"Introduction to the theory and application of stochastic processes. Topics include Poisson processes, Markov chains, continuous-time Markov processes, and Brownian motion. Applications include Markov chain Monte Carlo methods and financial modeling (e.g. option pricing).",STATS 200AP and STATS 200BP,School of Info & Computer Sci students only. Graduate students only.,,,,,,,
Statistics,STATS,275,Statistical Consulting,4,,"Training in collaborative research and practical application of statistics. Emphasis on effective communication as it relates to identifying scientific objectives, formulating a statistical analysis plan, choice of statistical methods, and interpretation of results and their limitations to non-statisticians.",STATS 203 or STATS 212 or STATS 210C. STATS 203 with a grade of B or better. STATS 212 with a grade of B or better. STATS 210C with a grade of B or better,Graduate students only.,,,,,,,
Statistics,STATS,280,Seminar in Statistics,0.5,,Periodic seminar series covering topics of current research in statistics and its application.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Statistics,STATS,281A,Introduction to Probability and Statistics I,4,,"Introduction to basic principles of probability and statistical inference. Axiomatic definition of probability, random variables, probability distributions, expectation.",,Graduate students only.,,,STATS 120A.,,,,
Statistics,STATS,281B,Introduction to Probability and Statistics II,4,,"Introduction to basic principles of probability and statistical inference. Point estimation, interval estimating, and testing hypotheses, Bayesian approaches to inference.",,Graduate students only.,,,STATS 120B.,,,,
Statistics,STATS,281C,Introduction to Probability and Statistics III,4,,"Introduction to basic principles of probability and statistical inference. Contingency table analysis, linear regression, analysis of variance, model checking.",,Graduate students only.,,,STATS 120C.,,,,
Statistics,STATS,295,Special Topics in Statistics,4,,Studies in selected areas of statistics. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
Statistics,STATS,298,Thesis Supervision,2-12,,Individual research or investigation conducted in preparation for the M.S. thesis option or the dissertation requirements for the Ph.D. program.,,,,,,,May be repeated for credit unlimited times.,,
Statistics,STATS,299,Individual Study,2-12,,Individual research or investigation under the direction of an individual faculty member.,,,,,,,May be repeated for credit unlimited times.,,
