department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
UPPP,4,Introduction to Urban Studies,4,III,"Introduces the substantive areas, concepts, and tools in the field of urban studies.  Acquaints students with physical, environmental, social, economic, and political dimensions of cities.  Examines the challenges facing cities, including poverty, sustainability, development, globalization, and others.",,School of Social Ecology students have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,5,Introduction to Urban Planning and Policy,4,III,Introduces students to the basic issues in urban planning and public policy.,,,,,,,,,
UPPP,8,Introduction to Environmental Analysis and Design,4,III,"Overview of general concepts, theoretical principles, and analytical techniques for investigating environmental systems. Integrates tools from natural and social sciences to analyze contemporary environmental challenges such as pollution, resource acquisition, facility and ecosystem design, impact assessments, formulation of environmental policy.",,,,,,,,,
UPPP,40,Urban Sociology,4,,"Overview of theoretical, substantive, and policy issues in urban sociology.  History of urbanization, the school of human ecology, and recent trends regarding urbanism.  Time is devoted to understanding the causes and possible solutions to urban problems.",,,,SOCL 43.,,,,,
UPPP,100,Special Topics in Urban Studies,4,,Course content varies with interest of the instructor.,,Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
UPPP,101,History of Cities,4,,"Surveys the global and historical co-evolution of cities and social institutions, including religion, the economy, governance, the arts, technology, and family life.",,,,,,,,,
UPPP,102,Urban Inequality,4,,"Examines structural inequality and the influence that urbanization has in affecting race, ethnic, and class relations. Explores how race/ethnicity, class, urban space, housing, economic development, public education, and land policy intersect in cities, both historically and today.",,Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,103,Comparative Approaches to Urban Regions,4,,"An introduction to comparative urbanization in developing countries. Introduces students to the geography, history, and theories of urbanization, and then reviews urban planning, public policy, and governance.",,Public Health Policy Majors only. Social Ecology Majors only. Urban Studies Majors only.,,,,,,,
UPPP,104,Urban America,4,,"Students examine the historical, social, political, and economic factors that contributed to the construction of the American urban context, one that is poverty concentrated and racially/ethnically segregated. Students also critically assess the consequence of growing up in America's urban neighborhoods.",,,"CHLT 162A, SSCI 163A.",,,,,,
UPPP,107,Urban and Regional Planning,4,,"Important substantive areas, concepts, tools in the field of urban and regional planning. Topics include: forces that have historically guided and are currently guiding U.S. urbanization; land use, economic development, housing and community development, environmental planning; legal, environmental, governmental contexts.",,Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,108,Cities and Transportation,4,,"The relationship between urban areas and transportation systems. Economic analysis of cities, transportation and urban form, highway congestion, environmental impacts of transportation, public transit, land use and transportation, and political influences on transportation planning.",,Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,109,Housing and Urban Development Policy,4,,"Surveys public policy issues and develops analytic techniques in the areas of housing and urban development. Examines a range of policy topics including housing assistance to low- and moderate-income families, housing finance system, incentives for economic development, and neighborhood preservation.",Recommended: Previous course work in economics.,Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,110,Urban Economic Development Policy,4,,"Theoretical and practical perspectives on local economic development policy.  Integrates economic, planning, and political perspectives. Overview of economic role of cities and metropolitan areas. Specific development issues include: link between taxes, regulation, job growth; redevelopment planning; evaluation economic development policy.",,Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.,,,,,,,
UPPP,111,Climate Solutions,4,,"Focuses on carbon neutrality and climate stability, addressing.",,Upper-division students only.,"ESS 179, MAE 119.",,,,,,
