dept,num
AC ENG,23B
AC ENG,29
AC ENG,20C
AC ENG,20B
AC ENG,23A
AC ENG,139W
AC ENG,22A
AC ENG,20A
AFAM,40A
AFAM,118
AFAM,145
AFAM,198
AFAM,144
AFAM,199
AFAM,162W
AFAM,111A
AFAM,128
AFAM,113
AFAM,399
ANATOMY,500B
ANATOMY,693A
ANATOMY,502A
ANATOMY,699A
ANATOMY,210A
ANATOMY,600L
ANATOMY,200
ANATOMY,227A
ANATOMY,600B
ANATOMY,200R
ANATOMY,201
ANATOMY,292A
ANATOMY,500A
ANATOMY,503B
ANTHRO,2C
ANTHRO,139
ANTHRO,190
ANTHRO,10A
ANTHRO,199
ANTHRO,290
ANTHRO,215A
ANTHRO,202A
ANTHRO,162B
ANTHRO,128B
ANTHRO,169
ANTHRO,100A
ANTHRO,H190B
ANTHRO,2B
ANTHRO,198
ANTHRO,299
ANTHRO,134A
ANTHRO,152A
ANTHRO,25A
ANTHRO,134F
ANTHRO,41A
ANTHRO,163A
ANTHRO,289
ANTHRO,2A
ANTHRO,136D
ANTHRO,197
ANTHRO,148
ANTHRO,180AW
ARABIC,10B
ARABIC,1A
ARABIC,10A
ARABIC,199
ARMN,2A
ARMN,1A
ART,151
ART,109
ART,197
ART,128
ART,210
ART,50A
ART,81A
ART,12A
ART,30B
ART,20B
ART,132A
ART,199
ART,154
ART,255
ART,40
ART,150C
ART,240
ART,101W
ART,9C
ART,11A
ART,230
ART,1A
ART,262
ART,91
ART,100
ART,123B
ART,152A
ART,399
ART,71A
ART,9A
ART,152B
ART HIS,100
ART HIS,164E
ART HIS,151B
ART HIS,199
ART HIS,298
ART HIS,299
ART HIS,399
ART HIS,40A
ART HIS,164A
ART HIS,255B
ART HIS,150
ART HIS,44
ART HIS,198
ART HIS,155B
ARTS,199
ASIANAM,116
ASIANAM,162
ASIANAM,200D
ASIANAM,138
ASIANAM,199
ASIANAM,290
ASIANAM,200A
ASIANAM,54
ASIANAM,399
ASIANAM,291
ASIANAM,151F
ASIANAM,150
BIOCHEM,200A
BIOCHEM,210A
BIOCHEM,291
BIOCHEM,200R
BIOCHEM,202A
BIOCHEM,292A
BIOCHEM,699B
BIOCHEM,225
BIOCHEM,523
BIO SCI,197
BIO SCI,H90
BIO SCI,E127
BIO SCI,M118L
BIO SCI,N123L
BIO SCI,N115A
BIO SCI,E153
BIO SCI,97
BIO SCI,M121
BIO SCI,M131
BIO SCI,2D
BIO SCI,190
BIO SCI,D137
BIO SCI,199
BIO SCI,N129
BIO SCI,E166L
BIO SCI,M114L
BIO SCI,M123
BIO SCI,191A
BIO SCI,3B
BIO SCI,M116L
BIO SCI,E155
BIO SCI,H93
BIO SCI,101
BIO SCI,D111L
BIO SCI,E117A
BIO SCI,17
BIO SCI,E106
BIO SCI,E109
BIO SCI,D130
BIO SCI,N152
BIO SCI,N158
BIO SCI,M143
BIO SCI,E131L
BIO SCI,N174
BIO SCI,N147
BIO SCI,193A
BIO SCI,198
BIO SCI,14
BIO SCI,2B
BIO SCI,100
BIO SCI,45
BIO SCI,H97
BIO SCI,192
BIO SCI,D132
BIO SCI,11
BIO SCI,D103
BIO SCI,E112L
BIO SCI,93
BIO SCI,46
BIO SCI,M122
BIO SCI,M124A
BIO SCI,35
BIO SCI,M114
BIO SCI,36
BIO SCI,E107
BIO SCI,N120A
BIO SCI,2A
BIO SCI,N153
BATS,209A
BATS,280
BATS,299
BATS,253
BATS,295
BATS,255
BME,110A
BME,298
BME,197
BME,195
BME,220
BME,210
BME,132
BME,130
BME,60A
BME,199
BME,290
BME,135
BME,212
BME,60B
BME,296
BME,295
BME,199P
BME,299
BME,160
BME,180A
BME,120
BME,297
BME,201P
BME,232
BME,1
BME,230A
BANA,273
BANA,205
BANA,241
BANA,211
BANA,212
CBE,199
CBE,200
CBE,40A
CBE,264
CBE,240
CBE,276
CBE,295
CBE,296
CBE,288
CBE,120A
CBE,299
CBE,160
CBE,105
CBE,100
CBE,249
CBE,297
CBE,1
CBE,140A
CBE,176
CBE,181
CBE,298
CBE,195
CBE,145
CHEM,213
CHEM,229A
CHEM,128L
CHEM,5
CHEM,132A
CHEM,199
CHEM,290
CHEM,206
CHEM,1C
CHEM,200
CHEM,216
CHEM,291
CHEM,1X
CHEM,H2A
CHEM,152
CHEM,101W
CHEM,H2LA
CHEM,203
CHEM,245C
CHEM,51A
CHEM,280
CHEM,51LD
CHEM,180
CHEM,292
CHEM,H52LA
CHEM,230
CHEM,248
CHEM,M52LC
CHEM,M3LC
CHEM,133L
CHEM,207
CHEM,1A
CHEM,M2LA
CHEM,215
CHEM,M52LA
CHEM,254
CHEM,299
CHEM,232C
CHEM,252
CHEM,138
CHEM,192
CHEM,231A
CHEM,11
CHEM,233
CHEM,107
CHEM,133
CHEM,223
CHEM,399
CHEM,1LC
CHEM,51C
CHEM,M2A
CHEM,1LD
CHEM,208
CHEM,H180A
CHEM,51LC
CHEM,197
CHEM,201
CHC/LAT,101
CHC/LAT,64
CHC/LAT,176
CHC/LAT,139
CHC/LAT,181
CHC/LAT,H190A
CHC/LAT,198
CHC/LAT,210A
CHC/LAT,299
CHC/LAT,61
CHC/LAT,290
CHC/LAT,211A
CHC/LAT,183
CHC/LAT,199
CHC/LAT,151B
CHC/LAT,178A
CHINESE,290
CHINESE,1A
CHINESE,40
CHINESE,1MA
CHINESE,199
CHINESE,2A
CHINESE,299
CHINESE,3A
CHINESE,100A
ENGRCEE,296
ENGRCEE,30
ENGRCEE,262
ENGRCEE,271
ENGRCEE,198
ENGRCEE,299
ENGRCEE,121
ENGRCEE,20
ENGRCEE,297
ENGRCEE,214
ENGRCEE,272
ENGRCEE,170
ENGRCEE,60
ENGRCEE,150
ENGRCEE,176
ENGRCEE,247
ENGRCEE,298
ENGRCEE,220A
ENGRCEE,283
ENGRCEE,195
ENGRCEE,114
ENGRCEE,155
ENGRCEE,221A
ENGRCEE,80
ENGRCEE,150L
ENGRCEE,250
ENGRCEE,199
ENGRCEE,181A
ENGRCEE,152
ENGRCEE,240
ENGRCEE,242
ENGRCEE,172
ENGRCEE,276
ENGRCEE,295
CLASSIC,99
CLASSIC,198
CLASSIC,280
CLASSIC,299
CLASSIC,290
CLASSIC,166
CLASSIC,45A
CLASSIC,199
CLASSIC,399
CLASSIC,37A
CLASSIC,170
CLASSIC,140
COGS,202A
COGS,14P
COGS,203A
COGS,261N
COGS,201A
COGS,299
COGS,205A
COGS,239
COGS,290
COM LIT,60A
COM LIT,299
COM LIT,160
COM LIT,199
COM LIT,290
COM LIT,292
COM LIT,143
COM LIT,210
COM LIT,291
COM LIT,200B
COM LIT,399
COM LIT,101W
CSE,112
COMPSCI,161
COMPSCI,271
COMPSCI,115
COMPSCI,111
COMPSCI,299
COMPSCI,269S
COMPSCI,175
COMPSCI,171
COMPSCI,201P
COMPSCI,121
COMPSCI,244
COMPSCI,113
COMPSCI,268P
COMPSCI,232
COMPSCI,298P
COMPSCI,151
COMPSCI,143A
COMPSCI,200S
COMPSCI,298
COMPSCI,122B
COMPSCI,250P
COMPSCI,253P
COMPSCI,268
COMPSCI,H198
COMPSCI,132
COMPSCI,284A
COMPSCI,201
COMPSCI,141
COMPSCI,178
COMPSCI,112
COMPSCI,206
COMPSCI,199
COMPSCI,290
COMPSCI,274E
COMPSCI,238P
COMPSCI,122A
COMPSCI,273A
COMPSCI,134
COMPSCI,154
COMPSCI,260P
COMPSCI,276
COMPSCI,271P
COMPSCI,177
COMPSCI,143B
COMPSCI,184A
COMPSCI,220P
COMPSCI,295
COMPSCI,211A
COMPSCI,183
COMPSCI,169
CRM/LAW,C226
CRM/LAW,C221
CRM/LAW,C299
CRM/LAW,C182
CRM/LAW,C201
CRM/LAW,C122
CRM/LAW,C275
CRM/LAW,C167
CRM/LAW,C117
CRM/LAW,C240A
CRM/LAW,C190
CRM/LAW,C215
CRM/LAW,C10
CRM/LAW,C260A
CRM/LAW,C296
CRM/LAW,C238
CRM/LAW,C101
CRM/LAW,C144
CRM/LAW,C242
CRM/LAW,C111
CRM/LAW,C212
CRM/LAW,C298
CRM/LAW,C100
CRM/LAW,C7
CRM/LAW,C109
CRM/LAW,C180
CRM/LAW,C239A
CRM/LAW,C174
CRM/LAW,C210
CRM/LAW,C165
CRM/LAW,C107
CRM/LAW,C113
CLT&THY,280
CLT&THY,299
CLT&THY,289
CLT&THY,298
CLT&THY,200C
DANCE,3
DANCE,180C
