department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Chicano-Latino Studies,CHC/LAT,61,Introduction to Chicano/Latino Studies I,4,"III, VII","An introduction to the study of the historical foundations of the Chicano/Latino experience.  Addresses such topics as empire, migration, immigrant settlement, economic integration, race, gender, and the formation of group identities.",,,,,,,,,
Chicano-Latino Studies,CHC/LAT,62,Introduction to Chicano/Latino Studies II,4,"III, VII","Provides an introduction to the arts, literature, and culture of Chicano/Latino communities. Analyzes representations of and cultural production in Chicano/Latino communities through such media as folklore, literature, art, film, architecture, dance theatre, performance, music, poetry, mass media, and language.",,,,,,,,,
Chicano-Latino Studies,CHC/LAT,63,Introduction to Chicano/Latino Studies III,4,III and VII,"Examines contemporary public policy issues in Chicano/Latino communities. Each offering addresses at least three of the following themes: migration, immigrant incorporation, identity construction, language policy, health policy, politics, sexuality, gender, labor, class, and education.",,,,,,,,,
Chicano-Latino Studies,CHC/LAT,64,Introduction to Race and Ethnicity in Political Science,4,III and VII,Examines major theories that attempt to explain the roles of race and ethnicity in U.S. politics.,,,POL SCI 61A.,,,,,,
Chicano-Latino Studies,CHC/LAT,65,Ethnic and Immigrant America,4,VII,"Focusing on Asian, Latino, and Black immigrant groups, examines the second generation's experience of straddling two cultures and growing up American. Covers topics such as assimilation, bilingualism, race relations, education, bicultural conflicts, interracial marriage, and multiracial identities.",,,SOCIOL 68A.,,,,,,
Chicano-Latino Studies,CHC/LAT,H80,Latina/o Childhoods: Comparative Approaches to the Study of Children and Youth,4,III,"Students in this seminar compare the experiences of Latina/o children to other young people in the U.S. and around the world, analyzing the historical, political, economic, and sociocultural factors that have differently structured the life stage we understand as ""childhood."".",,Campuswide Honors Collegium students only.,,,,,,,
Chicano-Latino Studies,CHC/LAT,101,Research in the Latino Community,4,,"Students engage in firsthand research in the local Orange County environment. Students identify a research problem, conduct a literature review, develop questions and/or hypotheses, appropriate methods, and write a proposal.",Two courses from CHC/LAT 61 or CHC/LAT 62 or CHC/LAT 63 and two courses from CHC/LAT 110-189.,Chicano/Latino Studies Majors have first consideration for enrollment.,,,,,,,
Chicano-Latino Studies,CHC/LAT,102W,Chicano/Latino Research Seminar,4,Ib,"Taught as a writing and research seminar in Chicano/Latino Studies.  Student develops own project; engages in peer editing; drafts, writes, and presents paper at Spring research conference.  Prior course work in Chicano/Latino Studies helpful, i.e., CHC/LAT 61, 62, 63.",CHC/LAT 101. Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only. Chicano/Latino Studies Majors only.,,,,,,,
Chicano-Latino Studies,CHC/LAT,110,Topics in Chicano Literature and Culture,4,,Studies in selected areas of Chicano/Latino Studies. Topics addressed vary each quarter. Taught in English.,,,SPANISH 140.,,,,May be taken for credit 4 times as topics vary.,,
Chicano-Latino Studies,CHC/LAT,118,Anthropology of Food,4,,"Examines how food communicates ideas about ethnocentrism, disgust, privilege, gender, race, labor, social identities and hierarchies, globalization, power, and the ""Western diet"" and its health consequences.",,,ANTHRO 134H.,,,,,,
Chicano-Latino Studies,CHC/LAT,120,Peoples and Cultures of Latin America,4,VIII,"Surveys the prehistory of Latin America and its indigenous cultures, emphasizing the impact of colonial rule, capitalism, and 20th-century transformations.  Emphasis on communities from several countries. In some years, emphasis on comparisons between the Latin American and Caribbean experiences.",,,ANTHRO 162A.,,,,,,
Chicano-Latino Studies,CHC/LAT,121,Latina/Latino Pop:  Latina/Latino Popular Culture,4,,"With a focus on the politics of language and space/place, prepares students to critically analyze sites of Latina/Latino popular culture including: music, film, performance, sports, media, and varied subcultures.",,Chicano/Latino Studies Majors have first consideration for enrollment. History Majors have first consideration for enrollment.,HISTORY 151D.,,,,,,
Chicano-Latino Studies,CHC/LAT,123,"Immigration, Nation, and Media",4,,"Examines media shapes and reflects public opinion on immigration and its representation of immigrants, citizens, and ideas about the nation, and who belongs and who is a potential threat; as well as the relationship between scholars and journalists.",,,"ANTHRO 125U, SPPS 101A.",,,,,,
Chicano-Latino Studies,CHC/LAT,124W,Immigrant Emotionality,4,Ib,"Explores the emotional universe created by the Latin American immigrant experience, and guides students in the creation of a literary work based on an investigation into, or reflection on that experience.",Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
Chicano-Latino Studies,CHC/LAT,129,"Special Topics in Literature, Arts, Media, Culture",1-4,,Studies in selected areas of Chicano/Latino Studies. Topics addressed vary each quarter.,Prerequisites vary.,Chicano/Latino Studies Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
Chicano-Latino Studies,CHC/LAT,132B,Chicana/Chicano History: Twentieth Century,4,,"Examines social history of the Southwest with emphasis on Mexican-origin people. Discusses major questions, theory and research methods pertinent to Chicana/Chicano history. Themes explored include: immigration, xenophobia, class struggle, leadership, generational cohorts, unionization, education, barrioization, ethnicity, patriarchy, sexuality.",,,HISTORY 151B.,,,,,,
Chicano-Latino Studies,CHC/LAT,134,U.S,4,,"Focuses on aspects of literature, art, cultural production, and history of the multifaceted Latino cultures that have developed within the United States.  Focuses on one group, such as Caribbean Americans, Chicanos, Central Americans, or a comparative perspective of several groups.",,,SPANISH 110C.,,,,,,
Chicano-Latino Studies,CHC/LAT,135,Latinas in the Twentieth Century U.S.,4,,"Latinas in the U.S. from 1900 to present, offering a diversity of their cultures, regional histories, sexualities, generations, and classes.",,,HISTORY 151C.,,,,,,
Chicano-Latino Studies,CHC/LAT,139,Special Topics in Chicano/Latino History,1-4,,Studies in selected areas of Chicano/Latino History. Topics addressed vary each quarter.,Prerequisites vary.,Chicano/Latino Studies Majors only.,,,,,Unlimited as topics vary.,,
Chicano-Latino Studies,CHC/LAT,146,Latinx Racial Formations,4,,"Students explore the meanings attributed to Latina/o/x racial identities over time; the political, economic, and social structures that have shaped those identities; and their impact on Latinx self-concepts, interpersonal/intra-community relations, and life chances.",,,,,,,,,
Chicano-Latino Studies,CHC/LAT,147,Comparative Minority Politics,4,,"Examines the political experiences of Blacks, Latinos, and Asian Americans in the United States from roughly 1950 to the present. Focuses on how each group has pursued political empowerment via both conventional political channels and social movements.",,,"AFAM 151, ASIANAM 132, POL SCI 124C.",,,,,,
