department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
French,FRENCH,1A,Fundamentals of French,5,,"First quarter of first-year French in a hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",,,,"FRENCH S1AB, FRENCH 1AB, FRENCH 1ABSP.",,,,,
French,FRENCH,1AB,Intensive Fundamentals of French,7.5,,"Intensive first half of first-year French. Students are taught to conceptualize in French as they learn to read, write, and speak. Students develop an awareness of and sensibility to French and Francophone life and culture through reading, viewing, and discussion.",,,,"FRENCH 1A, FRENCH 1B, FRENCH S1AB.",,,,,
French,FRENCH,1ABSP,Accelerated Fundamentals of French for Spanish Speakers,5,,"Accelerated first half of first-year French for Hispanophone students. Teaches conceptualizing in French while learning to read, write, and speak using knowledge of Spanish. Develops awareness of and sensibility to French and Francophone life and culture through reading, viewing, discussing.","Two years of high school Spanish, one semester of college Spanish, or heritage speaker of Spanish.",,,"FRENCH 1A, FRENCH 1AB, FRENCH S1AB, FRENCH 1B.",,,,,
French,FRENCH,1B,Fundamentals of French,5,,"First quarter of first-year French in a hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH 1A. FRENCH 1A with a grade of C or better,,,"FRENCH S1AB, FRENCH S1BC, FRENCH 1AB, FRENCH 1BC, FRENCH 1ABSP, FRENCH 1BCSP.",,,,,
French,FRENCH,1BC,Intensive Fundamentals of French,7.5,VI,"Intensive second half of first-year French. Students are taught to conceptualize in French as they learn to read, write, and speak. Students develop an awareness of and sensibility to French and Francophone life and culture through reading, viewing, and discussion.",FRENCH 1AB or FRENCH 1B or FRENCH S1AB. FRENCH 1AB with a grade of C or better. FRENCH 1B with a grade of C or better. FRENCH S1AB with a grade of C or better. Placement into FRENCH 1BC is also accepted.,,,"FRENCH 1B, FRENCH 1C, FRENCH S1BC.",,,,,
French,FRENCH,1BCSP,Accelerated Fundamentals of French for Spanish Speakers,5,VI,"Accelerated second half of first-year French for Hispanophone students. Teaches conceptualizing in French while learning to read, write, and speak using knowledge of Spanish. Develops awareness of and sensibility to French and Francophone life and culture through reading, viewing, discussing.","FRENCH 1ABSP or FRENCH 1AB or FRENCH S1AB or FRENCH 1B. FRENCH 1ABSP with a grade of C or better. FRENCH 1AB with a grade of C or better. FRENCH S1AB with a grade of C or better. FRENCH 1B with a grade of C or better. Two years of high school Spanish, one semester of college Spanish, or heritage speaker of Spanish.",,,"FRENCH 1B, FRENCH 1BC, FRENCH S1BC, FRENCH 1C.",,,,,
French,FRENCH,1C,Fundamentals of French,5,VI,"First quarter of first-year French in a hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH 1B. FRENCH 1B with a grade of C or better,,,"FRENCH S1BC, FRENCH 1BC, FRENCH 1BCSP.",,,,,
French,FRENCH,S1AB,Intensive Fundamentals of French,7.5,,"First half of first-year French in an intensified form and hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",,,,"FRENCH 1A, FRENCH 1B, FRENCH 1AB, FRENCH 1ABSP.",,,,,
French,FRENCH,S1BC,Intensive Fundamentals of French,7.5,VI,"Second half of first-year French in an intensified form and hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH S1AB or FRENCH 1B or FRENCH 1AB or FRENCH 1ABSP. FRENCH S1AB with a grade of C or better. FRENCH 1B with a grade of C or better. FRENCH 1AB with a grade of C or better. FRENCH 1ABSP with a grade of C or better,,,"FRENCH 1B, FRENCH 1C, FRENCH 1BC, FRENCH 1BCSP.",,,,,
French,FRENCH,2A,Intermediate French,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French.",FRENCH 1C or FRENCH 1BC or FRENCH S1BC or FRENCH 1BCSP. FRENCH 1C with a grade of C or better. FRENCH 1BC with a grade of C or better. FRENCH S1BC with a grade of C or better. FRENCH 1BCSP with a grade of C or better. Placement into FRENCH 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,FRENCH S2AB.,,,,,
French,FRENCH,2AB,Intensive Intermediate French,6,VIII,"Intensive first half of second-year French. Texts and films of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French.",FRENCH 1C or FRENCH 1BC or FRENCH S1BC. FRENCH 1C with a grade of C or better. FRENCH 1BC with a grade of C or better. FRENCH S1BC with a grade of C or better. Prior high school or college French is recommended. Placement into French 2AB is also accepted.,,,"FRENCH 2A, FRENCH 2B, FRENCH S2AB.",,,,,
French,FRENCH,2B,Intermediate French,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French.",FRENCH 2A. FRENCH 2A with a grade of C or better,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment. FRENCH 2B and FRENCH S2AB and FRENCH S2BC may not be taken for full credit.,,"FRENCH S2AB, FRENCH S2BC.",,,,,
French,FRENCH,2BC,Intensive Intermediate French,6,VIII,"Intensive second half of second-year French. Texts and films of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French.",FRENCH S2AB or FRENCH 2AB. FRENCH S2AB with a grade of C or better. FRENCH 2AB with a grade of C or better. Prior high school or college French is recommended. Placement into French 2BC is also accepted.,,,"FRENCH S2BC, FRENCH 2B, FRENCH 2C.",,,,,
French,FRENCH,2C,Intermediate French,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French.",FRENCH 2B or FRENCH S2AB. FRENCH 2B with a grade of C or better. FRENCH S2AB with a grade of C or better,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment. FRENCH 2C and FRENCH S2BC may not be taken for full credit.,,FRENCH S2BC.,,,,,
French,FRENCH,S2AB,Intermediate French,6,VIII,"First half of second-year French in an intensified form. Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in French. Prior high school or college French recommended.",FRENCH 1C or FRENCH 1BC or FRENCH S1BC. FRENCH 1C with a grade of C or better. FRENCH 1BC with a grade of C or better. FRENCH S1BC with a grade of C or better. Placement into FRENCH S2AB is also accepted.,FRENCH S2AB and FRENCH 2A and FRENCH 2B may not be taken for full credit.,,"FRENCH 2A, FRENCH 2B.",,,,,
