department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Mathematics,MATH,1A,Pre-Calculus I,4,,"Basic equations and inequalities, linear and quadratic functions, and systems of simultaneous equations.",,,,,,Workload Credit Letter Grade with P/NP.,,,
Mathematics,MATH,1B,Pre-Calculus II,4,,"Preparation for calculus and other mathematics courses. Exponentials, logarithms, trigonometry, polynomials, and rational functions. Satisfies no requirements other than contribution to the 180 units required for graduation.","MATH 1A. Placement into MATH 1B via the Calculus Placement exam, or a score of 450 or higher on the Mathematics section of the SAT Reasoning Test.",MATH 1B may not be taken for credit if taken after MATH 2A.,,,,,,,
Mathematics,MATH,2A,Single-Variable Calculus I,4,Vb,"Introduction to derivatives, calculation of derivatives of algebraic and trigonometric functions; applications including curve sketching, related rates, and optimization. Exponential and logarithm functions.",MATH 1B or AP Calculus AB or SAT Mathematics or ACT Mathematics. MATH 1B with a grade of C or better. AP Calculus AB with a minimum score of 3. SAT Mathematics with a minimum score of 650. ACT Mathematics with a minimum score of 29. Placement via the Calculus Placement exam (fee required) is also accepted.,School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. School of Info & Computer Sci students have first consideration for enrollment.,,"MATH 5A, MATH 7A.",,,,,
Mathematics,MATH,2B,Single-Variable Calculus II,4,Vb,Definite integrals; the fundamental theorem of calculus. Applications of integration including finding areas and volumes. Techniques of integration. Infinite sequences and series.,MATH 2A or MATH 5A or MATH 7A or AP Calculus AB or AP Calculus BC. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3,School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. School of Info & Computer Sci students have first consideration for enrollment.,,MATH 7B.,,,,,
Mathematics,MATH,2D,Multivariable Calculus I,4,Vb,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",MATH 2B or MATH 5B or MATH 7B or AP Calculus BC. AP Calculus BC with a minimum score of 4,School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. School of Info & Computer Sci students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,MATH H2D.,,,,,
Mathematics,MATH,2E,Multivariable Calculus II,4,,"The differential and integral calculus of vector-valued functions. Implicit and inverse function theorems. Line and surface integrals, divergence and curl, theorems of Greens, Gauss, and Stokes.",MATH 2D or MATH H2D,School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment.,,,,,,,
Mathematics,MATH,H2D,Honors Multivariable Calculus I,4,Vb,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates. Covers the same material as MATH 2D-E, but with a greater emphasis on the theoretical structure of the subject matter.",MATH 2B or MATH 5B or MATH 7B or (AP Calculus BC and (MATH H3A or MATH 3A)). MATH 2B with a grade of A or better. MATH 5B with a grade of A or better. MATH 7B with a grade of A or better. AP Calculus BC with a minimum score of 5. MATH H3A with a grade of B- or better. MATH 3A with a grade of A or better,,,MATH 2D.,,,,,
Mathematics,MATH,H2E,Honors Multivariable Calculus II,4,,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates. Covers the same material as MATH 2D-E, but with a greater emphasis on the theoretical structure of the subject matter.",MATH H2D. MATH H2D with a grade of B- or better,,,MATH 2E.,,,,,
Mathematics,MATH,3A,Introduction to Linear Algebra,4,Vb,"Systems of linear equations, matrix operations, determinants, eigenvalues and eigenvectors, vector spaces, subspaces, and dimension.",MATH 2B or MATH 5B or MATH 7B or AP Calculus BC. AP Calculus BC with a minimum score of 4,School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment. Undeclared Majors have first consideration for enrollment.,,"ICS 6N, MATH H3A.",,,,,
Mathematics,MATH,3D,Elementary Differential Equations,4,,"Linear differential equations, variation of parameters, constant coefficient cookbook, systems of equations, Laplace transforms, series solutions.",(MATH 3A or MATH H3A) and (MATH 2D or MATH H2D),School of Physical Sciences students have first consideration for enrollment. School of Engineering students have first consideration for enrollment.,,,,,,,
