dept,num
AC ENG,20B
AC ENG,23B
AC ENG,139W
AC ENG,23A
AC ENG,22A
AC ENG,20C
AC ENG,20A
AC ENG,29
AFAM,115
AFAM,40C
AFAM,138
AFAM,199
AFAM,143
AFAM,198
AFAM,112B
AFAM,399
ANATOMY,200R
ANATOMY,200
ANATOMY,502A
ANATOMY,600L
ANATOMY,227C
ANATOMY,203B
ANATOMY,693A
ANATOMY,215
ANATOMY,600B
ANATOMY,206C
ANATOMY,201
ANATOMY,230A
ANATOMY,500B
ANATOMY,699A
ANATOMY,202B
ANATOMY,230
ANTHRO,246
ANTHRO,289
ANTHRO,2B
ANTHRO,2C
ANTHRO,197
ANTHRO,180AW
ANTHRO,190
ANTHRO,198
ANTHRO,136A
ANTHRO,121AW
ANTHRO,H190W
ANTHRO,134B
ANTHRO,H190A
ANTHRO,132A
ANTHRO,139
ANTHRO,202C
ANTHRO,256B
ANTHRO,215C
ANTHRO,250A
ANTHRO,10C
ANTHRO,41A
ANTHRO,125
ANTHRO,2A
ANTHRO,100A
ANTHRO,136B
ANTHRO,121D
ANTHRO,2D
ANTHRO,H191W
ANTHRO,199
ANTHRO,30A
ANTHRO,134A
ANTHRO,299
ANTHRO,128A
ANTHRO,136D
ANTHRO,290
ARABIC,2C
ARABIC,199
ARABIC,10B
ARABIC,10A
ARMN,2C
ARMN,1C
ART,250
ART,153
ART,65A
ART,215
ART,151
ART,11A
ART,152A
ART,71B
ART,8
ART,12C
ART,150
ART,262
ART,100
ART,108
ART,20A
ART,170
ART,240
ART,132B
ART,127B
ART,199
ART,261
ART,236
ART,40
ART,190B
ART,197
ART,20B
ART,190
ART,255
ART,1C
ART,154
ART,152C
ART,198
ART,144
ART,399
ART,91
ART HIS,190W
ART HIS,121
ART HIS,145C
ART HIS,198
ART HIS,298
ART HIS,100
ART HIS,255B
ART HIS,299
ART HIS,42C
ART HIS,399
ART HIS,199
ART HIS,155B
ART HIS,181
ART HIS,40C
ART HIS,140A
ARTS,H81
ARTS,199
ASIANAM,290
ASIANAM,168
ASIANAM,200C
ASIANAM,291
ASIANAM,53
ASIANAM,114
ASIANAM,199
ASIANAM,399
ASIANAM,55
ASIANAM,150
ASIANAM,100W
BIOCHEM,210A
BIOCHEM,202C
BIOCHEM,291
BIOCHEM,200C
BIOCHEM,523
BIOCHEM,699B
BIOCHEM,292C
BIOCHEM,207
BIOCHEM,200R
BIO SCI,D111L
BIO SCI,1J
BIO SCI,D170
BIO SCI,N110
BIO SCI,E190
BIO SCI,99
BIO SCI,38
BIO SCI,M133
BIO SCI,3B
BIO SCI,193C
BIO SCI,197
BIO SCI,N131
BIO SCI,2C
BIO SCI,M118L
BIO SCI,D139
BIO SCI,D133
BIO SCI,9K
BIO SCI,101
BIO SCI,E168
BIO SCI,E179L
BIO SCI,N127
BIO SCI,N154
BIO SCI,N170
BIO SCI,D105
BIO SCI,E115L
BIO SCI,E187
BIO SCI,M116
BIO SCI,192
BIO SCI,198
BIO SCI,N113L
BIO SCI,N176
BIO SCI,11
BIO SCI,N164
BIO SCI,E186L
BIO SCI,E118
BIO SCI,N182
BIO SCI,N120C
BIO SCI,H195
BIO SCI,N165
BIO SCI,M121L
BIO SCI,M119
BIO SCI,M137
BIO SCI,E112L
BIO SCI,M122
BIO SCI,191CW
BIO SCI,D114
BIO SCI,37
BIO SCI,N121
BIO SCI,M190
