department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
BIO SCI,1A,Life Sciences,4,II,"Designed to introduce nonmajors to the basic concepts of modern biology. Discussion of evolutionary biology, ecology, molecular biology, and genetics.",,,,,,,,,
BIO SCI,2A,Freshman Seminar,2,,"Weekly meetings consisting of presentations by faculty, professional staff, and Peer Academic Advisors provide information about the School of Biological Sciences, campus resources, learning skills, and special programs/opportunities.",,Freshmen only. School of Biological Sciences students only.,,,,Pass/no pass only.,,,
BIO SCI,2B,Freshman Seminar,1,,"Faculty presentations and readings focused on the structure, function, opportunities, and current issues in the biological sciences.",,Freshmen only. School of Biological Sciences students only.,,,,Pass/no pass only.,,,
BIO SCI,2C,Solutions in Science,1,,Students will be introduced to approaches that can be used to solve scientific problems. These methods can be utilized in introductory to advanced classes and will allow students to become independent thinkers.,,,,,,,,,
BIO SCI,2D,EASE Seminar,1,,Seminars designed to help students achieve success in STEM courses. Provides collaborative learning environment facilitated by undergraduate mentor. Students develop critical thinking and study skills. Also receive guidance to campus resources that assist acclimation to University.,,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
BIO SCI,3A,Career Decision Making,1,,"An introductory course designed to facilitate the career decision-making process. Decision-making processes, values, and standardized tests of aptitudes, interests, and values are utilized with non-test data in appraising biological sciences career options.",,,,,,Workload Credit P/NP Only.,,,
BIO SCI,3B,Non-Health Sciences Career Exploration,1,,A survey course designed to assist students in exploring non-health science career options. Lectures by professionals in various fields.,,,,,,Workload Credit P/NP Only.,,,
BIO SCI,4B,Introduction to Field Biology,1,,Field excursions to introduce students to local field sites and resources.,,Ecology and Evolutionary Biol Majors have first consideration for enrollment.,,,,Pass/no pass only.,May be repeated for credit unlimited times.,,
BIO SCI,6,Tropical Biology: Race to Save the Tropics,4,II,"Population growth combines with tropical resource consumption by industrialized nations to cause high rates of deforestation, pollution, habitat fragmentation, and extinction of species. Discusses tropical biomes, their population, community,  ecosystem processes, and possible means of conservation of biodiversity.",,,,,,,,,
BIO SCI,9A,Nutrition Science,4,II,"An introduction to nutrition science, integrating concepts from biology, biochemistry, microbiology, physiology, and psychology to explain the interaction between nutrients and the human body. Biological basis of nutrient standards is analyzed. Effects of nutrition, behavior, exercises on health/disease.",,,,,,,,,
BIO SCI,9B,Biology and Chemistry of Food and Cooking,4,II,"The kitchen is used as a laboratory to introduce fundamental principles of biology, chemistry, and physics. A molecular/cellular analysis of cooking, including concepts such as protein structure, browning reactions, colloids, emulsions, carbohydrate metabolism, and development of flavor/texture through biochemical transformations.",,,,,,,,,
BIO SCI,9E,Horticulture Science,4,II,"Scientific principles of horticulture at the UCI Arboretum. Taxonomy, plant life history strategies; experiments with seed dormancy; morphological adaptations for specialized sexual and clonal reproduction; basics of plant propagation and ecological restoration.  Materials fee.",,,,,,,,,
BIO SCI,9G,Physiology of Fitness,4,II,"An introduction to the organ systems of the human body, including muscle, cardiovascular, immune, and reproductive systems, with an emphasis on how the body responds to exercise, diet, and disease.",,,,,,,,,
BIO SCI,9J,Biology of Oriental Medicine,4,II,"With lectures, demonstrations, and hands-on learning, the theory and practice of herbal medicine, acupuncture, qigong, and manipulative therapies are explained in Western biomedical terms. The latest basic and clinical research advances in each area are also described.",,,,"BIO SCI 9N, BIO SCI D124.",,,,,
BIO SCI,9K,Global Change Biology,4,II,"Field trips and lectures that address ways in which humans are altering the global environment, with consequences for the ecology of animals, plants, and microbes.",,,,,,,,,
BIO SCI,10,The Biology of Human Diseases,4,II,"Introduction to concepts of diagnosis, treatment, and prevention of major human infectious diseases. Covers some aspects of epidemiology. Scope and impact of infectious diseases in the present and past experiences in controlling infectious disease. Reviews biology of human organ systems.",,,,"BIO SCI 9D, BIO SCI 12D.",,,,,
BIO SCI,11,Topics in Biological Sciences,4,,Studies in selected areas of biological sciences.,,,,,,,May be taken for credit 3 times.,,
BIO SCI,12,Molecular Basis of Human Disease,4,II,"Describes the cause and treatment of human diseases at the cutting edge of modern molecular understanding for non-science majors, including history, interviews, and stories.",,,,,,,,,
BIO SCI,14,California Teach 1: Introduction to Science and Mathematics Teaching,3,,"First in a series for students interested in becoming middle or high school teachers of mathematics or science. Students gain an understanding of effective, research-based teaching strategies. Includes supervised field experience in a K-12 classroom.",,School of Physical Sciences students have first consideration for enrollment. School of Biological Sciences students have first consideration for enrollment. School of Info & Computer Sci students have first consideration for enrollment. School of Engineering students have first consideration for enrollment.,PHY SCI 5.,,,,,,
BIO SCI,17,Evolutionary Psychology,4,II,"Introductory overview of the field of evolutionary psychology. Surveys topics operating at the interface of social sciences, i.e. behavioral psychology and evolutionary biology, while developing select aspects of the history of this developing field.",,,,,,,,,
BIO SCI,23,Sustainable Landscaping: Design and Practices,4,II,"Through lectures and hands-on work, students learn how to design habitats around dwellings, within cities, and in rural environments. These include traditional/sustainable landscaping, restoration, stormwater/wastewater treatment, xeriscaping, and low impact development design. Sustainable landscape plant materials emphasized.",,,,,,,,,
BIO SCI,25,Biology of Cancer,4,,"Biological, clinical, and psychosocial nature of cancer through the perspectives of medical researchers, biologists, physicians, and health educators. For students of all majors, designed so that each can increase personal awareness of the biology of cancer.",,BIO SCI 25 may not be taken for credit if taken after BIO SCI M125.,,,,,,,
