department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
CRM/LAW,C7,"Introduction to Criminology, Law and Society",4,III,"Introduces characteristics of the U.S. criminal justice system, including responses to crime, components of the system, and current challenges to the system. Examines structure and function of police and courts, criminal procedure, and sentencing and incarceration policies.",,"Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C10,"Fundamentals of Criminology, Law and Society",4,III,"Introduces three interdisciplinary literatures: criminology, socio-legal studies, and justice studies. Focuses on theoretical and empirical work addressing law making, law breaking, and legal systems.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,H80,The Properties of Property,4,III,"Develops an understanding and critique of private property. Draws from interdisciplinary sources to explore the foundations of private property, the institutions that support it over time, and possible alternatives to it.",,Campuswide Honors Collegium students only.,,,,,,,
CRM/LAW,C100,"Special Topics in Criminology, Law and Society",4,,Course content varies with interest of the instructor.,,,,,,,Unlimited as topics vary.,,
CRM/LAW,C101,American Law,4,,"Introduction to substantive and procedural law governing private dispute resolution, including common law (tort, property, contracts), lawsuits (civil procedure), and alternative dispute resolution; emphasis on the socio-legal ramifications of private disputes, particularly the modern tort system and tort reform movement.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C102,Introduction to the Comparative Study of Legal Cultures,4,,Traces the anthropological and comparative cultural study of law from the nineteenth century to the present; briefly surveys the diversity of recorded legal cultures and critically examines key concepts which have been used to describe and classify them.,,"Criminology, Law and Society Majors have first consideration for enrollment. SocEcol-Urban & Regional Plan Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.",INTL ST 124A.,,,,,,
CRM/LAW,C103,US Legal Thought,4,,"Evolution of legal thought in socio-historical context from 19th century to present; emphasizes the rise and fall of legal classicism and modern socio-legal critiques, including the law and society movement, critical legal studies, feminist legal theory, and critical race studies.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C104,Sociology of Law,4,,"Examines law creation and law enforcement in their social and political context. Discusses the major theories of law and the modern state, and presents case studies in order to evaluate the strengths and weaknesses of these theoretical perspectives.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C105,Psychology and the Law,4,,"Psychological assumptions of the American legal system and mental health aspects of provision of criminal justice services. Civil commitment, insanity defense, competence to stand trial, jury selection, eyewitness identification. Use of police, courts, correctional institutions in prevention of behavior disorder.",,"Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. SocEcol-Urban & Regional Plan Majors have first consideration for enrollment.",PSCI 193E.,,,,,,
CRM/LAW,C106,Crime and Public Policy,4,,"Explores nature and dimensions of crime in America and uses and limits of various strategies to control it. Topics include growth of imprisonment, the problem of domestic violence, the death penalty, gun control, and the potential of crime prevention programs.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C107,Deviance,4,,"Perspectives on deviance and criminality in behavior, institution, community, and myth. The suitability of contemporary theories of deviant behavior.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.","SOCIOL 156, PSYCH 177D.",,,,,,
CRM/LAW,C108,Criminological Theory,4,,"Explores the question of crime causation from a number of theoretical perspectives in the social sciences. Schools of thought examined include utilitarianism, positivism, human ecology, social structural approaches, social process (learning) theories, labeling, and radical-critical (political) perspectives.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C109,Juvenile Delinquency,4,,"Patterns of delinquent behavior, theories that explain behavior, current research aimed at enhancing exploratory power. Attempts to prevent and control delinquency are put in historical perspective. Development of the current juvenile justice system and evolution of modern juvenile law.",,"Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. SocEcol-Urban & Regional Plan Majors have first consideration for enrollment.",PSCI 193B.,,,,,,
CRM/LAW,C110,Community Context of Crime,4,,"Examines the social context of high-crime communities, with special emphasis on the problems of poverty, joblessness, economic inequality, and racial discrimination. Assesses debates on the causes of these problems, and on the most effective policies to combat them.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C111,Theories of Punishment,4,,"Survey of the various schools of thought regarding formal punishment theory. The purposes of legal sanctions are examined, including those of deterrence, rehabilitation, retribution, and incapacitation. Considers problems in realizing formal goals of punishment in practice.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C112,Legal Sanctions and Social Control,4,,"Examination of criminal sanctions as mechanisms of social control. Includes the nature, function, and organization of courts as sanction generating institutions, and problems associated with punishing white-collar and corporate illegalities.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C113,Gender and Social Control,4,,"Examines the legal system's use of sex as an organizing characteristic, focusing particularly on sameness and difference feminism, and tracing the evolution of equal treatment of men and women in the areas of constitutional rights, employment, education, and military service.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C114,Miscarriages of Justice,4,,"Systematically describes, explains, and analyzes the causes and consequences of the wrongful accusation, prosecution, incarceration, and sometimes even execution, of the innocent in the American criminal justice system.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C115,"Prisons, Punishment, and Corrections",4,,"A review of how the U.S. punishes and rehabilitates convicted law violators. The conflicts among the major purposes of sentencing--rehabilitation, deterrence, incapacitation--are discussed, as well as the effects of different sanctions on public safety, offender rehabilitation, and justice system costs.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C116,"Race, Ethnicity, and Social Control",4,,"Provides a historical and sociological survey of racial and ethnic group relations in contexts of crime control, emphasizing the roles of racial ideology, structural racism, and social movements in shaping these dynamic relations, and their significance to American liberal democracy.",,,CHC/LAT 152A.,,,,,,
CRM/LAW,C117,Imprisonment and Reentry,4,,"Offers an overview of imprisonment and reentry in the contemporary United States. Examines the development of the prison in the United States and explores changes in its composition, structure, and purpose over time.",,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",,,,,,,
CRM/LAW,C118,Domestic Violence,4,,General perspectives about domestic violence and theoretical accounts about what causes such behavior.,,"Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",SOCECOL 118.,,,,,,
CRM/LAW,C119,Violence in Intimate Relationships,4,,"Responses to various forms of domestic violence, such as intimate partner violence and child abuse. Covers barriers to reporting to the police, and prosecutors and courts. Human services, such as safety planning for victims, treatment programs, and restorative justice approaches.",,,SOCECOL 119.,,,,,,
