department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
GDIM,25,Game Design Fundamentals,4,II,Explore the fundamentals of game design through the design and play of simple analog game systems. Students explore the principles and usage of game design elements through hands-on projects emphasizing iteration and playtesting in a creative game design community.,,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration,ICS 61.,,,,,,
GDIM,27,Intermediate Game Design,4,,"More advanced study of game design principles and systems design through the study of complex problems and play experiences. Topics include economies, game balancing, level design, prototyping, stat design, playtesting, and design documentation.",GDIM 25,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
GDIM,31,Introduction to Programming for Games,4,Va,"Learn the fundamentals of programming for games through hands-on exercises in programming languages like C#, Processing, Visual Studio, .NET, and the Unity engine. Students build several small game prototypes. Materials fee.",,Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
GDIM,32,Intermediate Programming for Games,4,Va,"Students advance their skills with game programming, building on existing skills developed in Introduction to Programming for Games. Hands-on projects emphasize general procedural and problem-solving skills, as well as furthering knowledge of C# and the Unity3D/Unreal game engines.",GDIM 31,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors will have second consideration.,,,,,,,
GDIM,33,Coding In Game Engines,4,,"Introduces students to visual scripting tools in game engines in the context of game design, level, design, and experience design. Students gain fluency in one or more visual scripting languages.",GDIM 32. GDIM 32 with a grade of C or better,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
GDIM,41,Games and Society,4,III,"The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context.  Materials fee.",,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,ICS 60.,,,,,,
GDIM,49,Special Topics in Games and Society,4,,Studies in selected areas of games and their relationship to society. Topics addressed vary each quarter.,GDIM 41,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,Unlimited as topics vary.,,
GDIM,51,Visual Design Fundamentals,4,,"The principles, tools, and techniques of visual design for playable media. How do shape, line, color, composition, typography, and time work together to communicate information, emotion, and meaning in interfaces, game worlds, and stories. Materials fee.",,Computer Game Science Majors have first consideration for enrollment. Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
GDIM,53,Roleplaying and Improvisational Play,4,,"How do practices of performance, role-playing, and improvisation overlap with contemporary practices of game design? Connecting these forms of play to their contemporary uses within role-playing games, virtual worlds, and playable media more broadly.",,Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
GDIM,55,Storytelling for Interactive Media,4,,"The history, theory, and practice of interactive storytelling for games and other interactive media. Starting with the emergence of electronic literature and hypertext narratives, students encounter and experience a compressed history of this emergent form through play, analysis, and design. Materials fee.",,Game Design and Interactive Media students have first consideration for enrollment. School of ICS majors have second right of consideration.,,,,,,,
