department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
HISTORY,5,"Truth, Lies, and History: The Uses of the Past",4,IV,"Focuses on how struggles over the meaning of historical events have shaped and continue to shape our understandings of the world. Through guest lectures from history faculty, students explore debates about the meaning of the past.",,,,,,,,,
HISTORY,10,The Holocaust,4,"IV, VIII","Introduction to the history of European Jewish communities before the Holocaust; the origins of Nazi antisemitism; the implementation of the ""Final Solution""; Jewish resistance to the Nazis; and attempts in film and literature to represent the Holocaust since 1945.",,,,,,,,,
HISTORY,11,Genocide and Crimes Against Humanity Since WWII,4,"III, VIII","Investigates instances of genocide since 1945 (including Cambodia, Bosnia, Rwanda, and others); explores the history behind these mass murders; considers why people kill, how victims survive, and questions whether international agreements are enough to prevent crimes against humanity.",,,,,,,,,
HISTORY,12,Introductory Topics in History,4,IV,"Introduces methods and premises of historical study. Topics include introductions to cultural, political, economic, social, and religious history.",,,,,,,Unlimited as topics vary.,,
HISTORY,15A,Native American History,4,"IV, VII",An overview of major developments in Indian-white relations from the American Revolution to the present with an emphasis on political and legal history. How tribal sovereignty has been redefined over time is a central theme of the course.,,,,,,,,,
HISTORY,15C,Asian American Histories,4,(III or IV) and VII,Examines and compares diverse experiences of major Asian American groups since the mid-nineteenth century. Topics include origins of emigration; the formation and transformation of community; gender and family life; changing roles of Asian Americans in American society. Formerly ASIANAM 60A.,,,"ASIANAM 50, SOC SCI 78A.",,,,,,
HISTORY,15D,History of Sexuality in the US,4,"IV, VII","Explores intertwined histories of sexuality, race, and gender in the US. By examining how different cultures and times viewed sexuality, race and gender, it analyzes relationships between regulation of bodies/behaviors and construction of cultural, economic, and political norms.",,,,,,,,,
HISTORY,15F,What to Eat? Immigrants and the Development of American Cuisines,4,(III or IV) and VII,"Relationship between immigration and changing American foodways; impact of several major culinary traditions of immigrants and racial minorities, such as African Americans, Asian Americans, Mexican Americans, Italian Americans, Irish Americans, and Jewish Americans, on America's gastronomical and socioeconomic landscape.",,,,,,,,,
HISTORY,15G,Racial Segregation in Modern U.S.,4,VII,Explores the history of racial segregation in the United States from the late 19th century to the present.,,,,,,,,,
HISTORY,16A,World Religions I,4,IV and VIII,"An introduction to the history, doctrine, culture, and writing of Judaism, Christianity, and Islam.",,,REL STD 5A.,,,,,,
