department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
SOCECOL,1,Introduction to Social Ecology,4,,"Introduction to the ecological paradigm through a consideration of the classic and recent works in human, cultural, and social ecology. Emphasis on the use of the ecological paradigm as an aid in analyzing societal problems and prescribing for their amelioration.",,,,,,,,,
SOCECOL,10,Research Design,4,,"An introduction to the logic behind and methods of designing and conducting research studies in Social Ecology. Topics include how to measure variables of interest, identifying causal relationships, sampling, survey research methods, experiments, quasi-experimental designs, and ethics in research.",,School of Social Ecology students only. Environmental Science and Policy Majors only.,,EDUC 10.,,,,,
SOCECOL,13,Statistical Analysis in Social Ecology,4,Va,"Introduction to the techniques of statistical analysis in Social Ecology. Topics include probability, statistical inference, significance testing, univariate descriptive statistics, and multivariate analysis from an interdisciplinary perspective.",,"School of Social Ecology students have first consideration for enrollment. Environmental Science and Policy Majors have first consideration for enrollment. No credit for SOCECOL 13 if taken concurrently with or after PSYCH 10A, SOCIOL 10A, POL SCI 10A, SOC SCI 10A, STATS 7, STATS 8, STATS 67, EDUC 15",,"PSYCH 10A, SOCIOL 10A, SOC SCI 10A, POL SCI 10A, STATS 7, STATS 8.",,,,,
SOCECOL,H20A,Honors: Critical Issues on the Social Sciences,6,III,"Major themes, methods, and works in the social sciences from an interdisciplinary perspective. Each quarter focuses on a different topic. Weekly seminars emphasizing development of critical thinking skills and quantitative analysis through written work are integral to the course.",,Campuswide Honors Collegium students only.,SOC SCI H1E.,,,,,,
SOCECOL,H20B,Honors: Critical Issues on the Social Sciences,6,III,"Major themes, methods, and works in the social sciences from an interdisciplinary perspective. Each quarter focuses on a different topic. Weekly seminars emphasizing development of critical thinking skills and quantitative analysis through written work are integral to the course.",SOC SCI H1E or SOCECOL H20A,Campuswide Honors Collegium students only.,SOC SCI H1F.,,,,,,
SOCECOL,H20C,Honors: Critical Issues on the Social Sciences,6,III,"Major themes, methods, and works in the social sciences from an interdisciplinary perspective. Each quarter focuses on a different topic. Weekly seminars emphasizing development of critical thinking skills and quantitative analysis through written work are integral to the course.",SOC SCI H1F or SOCECOL H20B,Campuswide Honors Collegium students only.,SOC SCI H1G.,,,,,,
SOCECOL,74A,Moral Development and Just Communities,4,,"A three-quarter sequence exploring interpersonal, personal, and social issues based on principles of fairness and justice. Both the living environment of a University residence hall and selected institutions of society are analyzed in terms of moral development theory.",,,,,,Pass/no pass only.,,,
SOCECOL,74B,Moral Development and Just Communities,4,,"A three-quarter sequence exploring interpersonal, personal, and social issues based on principles of fairness and justice. Both the living environment of a University residence hall and selected institutions of society are analyzed in terms of moral development theory.",SOCECOL 74A,,,,,Pass/no pass only.,,,
SOCECOL,74C,Moral Development and Just Communities,4,,"A three-quarter sequence exploring interpersonal, personal, and social issues based on principles of fairness and justice. Both the living environment of a University residence hall and selected institutions of society are analyzed in terms of moral development theory.",SOCECOL 74B,,,,,Pass/no pass only.,,,
SOCECOL,100,Special Topics in Social Ecology,4,,Special topics courses are offered from time to time. In general they will focus on a topic from interdisciplinary perspectives. Course content varies with the interest of the instructor.,,School of Social Ecology students only.,,,,,Unlimited as topics vary.,,
SOCECOL,104W,Community Archiving in Social Ecology,4,Ib,"Students are trained in community archiving, oral history, and ethnography in order to produce material for submission to a student-initiated Social Ecology community archive housed in the UC Irvine Special Collections section of the UC Irvine libraries.",Satisfactory completion of the Lower-Division Writing requirement. Field Study authorization required for enrollment.,Upper-division students only. School of Social Ecology students only.,,,,,,,
SOCECOL,106W,"Building, Analyzing, and Sustaining a Digital Media Archive",4,Ib,"Students are trained in contributing to and managing a digital media archive. Provided an opportunity to use resources in the archive to develop policy proposals to solve real-world problems at the intersection of crime, law, and society.",Satisfactory completion of the Lower-Division Writing requirement. Authorization for field study.,Upper-division students only. School of Social Ecology students have first consideration for enrollment.,,,,,,,
SOCECOL,111W,Advanced Research Methods,4,Ib,"For students planning to conduct senior research projects or apply to graduate school in social research fields. Topics include reviewing literature, preparing a research proposal, protecting human subjects, citing scholarly work, building measures, estimating sample size, interview and presentation skills.",SOCECOL 10 and SOCECOL 13. Satisfactory completion of the Lower-Division Writing requirement.,,"CRM/LAW C169W, PSCI 111W, UPPP 114W.",,,,,,
