department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Writing,WRITING,30,The Art of Writing: Poetry,4,Ia,"Beginners' workshop in the writing of poetry, evaluation of student manuscripts, and parallel readings.",Satisfaction of the UC Entry Level Writing requirement.,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,31,The Art of Writing: Prose Fiction,4,Ia,"Beginners' workshop in fiction writing, evaluation of student manuscripts, and parallel readings.",Satisfaction of the UC Entry Level Writing requirement.,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,37,Intensive Writing,6,Ia,"Critical reading and analysis conducted through literary, academic, journalistic, and fictional genres with additional instruction in paragraph development and sentence-level mechanics. Students analyze and apply rhetorical principles in a range of writing assignments. Letter Grade with P/NP Option.",Students must have taken the UC Analytical Writing Placement Examination.,,,"WRITING 39A, WRITING 39B.",,,,,
Writing,WRITING,39A,Introduction to Writing and Rhetoric,4,,"Introduction to the principles of rhetoric through readings and writing assignments across a range of genres, including fiction, non-fiction, journalism and academic essays. Rigorous instruction in composition and style, including organization, paragraph development, sentence-level mechanics. Letter Grade with P/NP Option.",Placement via the UC Analytical Writing Placement Examination is required.,,,"WRITING 37, WRITING 39AP.",,,,,
Writing,WRITING,39AP,Introduction to Writing and Rhetoric with Lab,6,,Introduces the principles of rhetoric through readings and writing assignments across a range of genres. Rigorous instruction in composition and style. Designed for students seeking additional English language support. Letter Grade with P/NP Option.,Students must have taken the UC Analytical Writing Placement Examination and the Academic English Placement Test.,,,"WRITING 39A, WRITING 37.",,,,,
Writing,WRITING,39B,Critical Reading and Rhetoric,4,Ia,"Critical reading and analysis conducted through literary, academic, journalistic, and fictional genres. Students analyze and apply rhetorical principles in a range of writing assignments. Letter Grade with P/NP Option.",Satisfaction of the UC Entry Level Writing requirement.,,,WRITING 37.,,,,,
Writing,WRITING,39C,Argument and Research,4,Ia,"Intensive instruction in research methods, argumentation, and rhetorical invention. Readings selected from current nonfiction and materials located by students from the University library's holdings, to include databases across a range of disciplines. Letter Grade with P/NP Option.",WRITING 37 or WRITING 39B or AP36 or AP37. WRITING 37 with a grade of C or better. WRITING 39B with a grade of C or better. AP36 with a minimum score of 4. AP37 with a minimum score of 4,,,,,,,,
Writing,WRITING,90,Intermediate Poetry Writing,4,,"Intermediate workshop in the writing of poetry, evaluation of student manuscripts, and parallel readings.",WRITING 30 or WRITING 31,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,91,Intermediate Fiction Writing,4,,"Intermediate workshop in the writing of fiction, evaluation of student manuscripts, and parallel readings.",WRITING 30 or WRITING 31,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,101W,Undergraduate Seminar: Applications in Literary Theory and Criticism for Creative Writing,4,Ib,"Readings in literature, with discussions and written rhetorical responses on their making.",(WRITING 30 or WRITING 31) and (WRITING 90 or WRITING 91) and (WRITING 30 or WRITING 31 or WRITING 90 or WRITING 91 or ENGLISH 16 or ENGLISH 17). Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
Writing,WRITING,110,Short Story Writing,4,,Three-hour workshop in short fiction; discussion of student writing and of relevant literary texts.,,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,111,Poetry Writing,4,,Three-hour advanced poetry writing workshop; discussion of student writing and of relevant literary texts.,,,,,,,May be taken for credit 2 times.,,
Writing,WRITING,113,Novel Writing,4,,Three-hour advanced workshop in fiction writing; discussion of student writing and of relevant literary texts.,,,,,,,,,
Writing,WRITING,139W,Advanced Expository Writing,4,Ib,"Study of rhetoric, disciplinary genres, and modes of knowledge production; practice in writing effective prose. Essays of varying lengths, totaling at least 4,000 words.",Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only.,,,,,,,
Writing,WRITING,197,Writing Internship,2-4,,"Internships focused on writing. In consultation with a faculty advisor, students create a course from response essays, research essays, and assessment project data. Internships may include editing and publication projects, supervised teaching and tutoring assignments, community literacy projects.",Satisfactory completion of the lower-division writing requirement.,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
Writing,WRITING,250A,Graduate Writers' Workshop (Fiction),4,,Graduate fiction workshop open to students enrolled in the MFA program in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Writing,WRITING,250B,Graduate Writers' Workshop (Fiction),4,,Graduate fiction workshop open to students enrolled in the MFA program in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Writing,WRITING,250C,Graduate Writers' Workshop (Poetry),8,,Graduate poetry workshop open to students enrolled in the M.F.A. Programs in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Writing,WRITING,251A,Writing in Conference (Fiction),4,,Graduate fiction workshop open to students enrolled in the MFA program in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Writing,WRITING,251B,Writing in Conference (Fiction),4,,Graduate fiction workshop open to students enrolled in the MFA program in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Writing,WRITING,251C,Writing in Conference (Poetry),8,,Graduate poetry workshop open to students enrolled in the M.F.A. Programs in Writing.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
