department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Finance,FIN,203A,Financial Reporting for Management,4,,Financial reporting is concerned with the preparation and public dissemination of financial reports designed to reflect corporate performance and financial condition. Provides a base level of knowledge needed by corporate executives to understand and discuss corporate financial statements.,,Master of Finance Degree students only. Graduate students only.,,,,,,,
Finance,FIN,209B,Investments Management,4,,"Introduction to how securities are traded and how their prices are determined. Discussion of different market organizations, including some recently developed online financial markets. Study of pricing models, including Capital Asset, factor models, and Arbitrage Pricing Theory.",,Master of Finance Degree students only. Graduate students only.,,,,,,,
Finance,FIN,210,Foundations of Finance,4,,"Examines foundations of finance. Teaches tools such as time value of money, capital budgeting techniques, cash flow analysis. Examines foundations of investment management and theory/empirical evidence related to portfolio theory, market efficiency, asset pricing models, factor models, option pricing theory.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,211,Master of Finance ProSeminar,Master,,Provides students in the Merage School Master of Finance program with information and practical skills for success in the program and for business career planning.,,Master of Finance Degree students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Finance,FIN,240,Financial Research Methodology,4,,"Provides an introduction into the computational research methods necessary in modern finance, such as optimization, simulation methods, and finite difference and finite element methods. Some applications include quadratic programming for portfolio selection and option pricing.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,241,Risk Management,4,,"Examines modern techniques for managing financial risks, including market, credit, liquidity, and operational risks. Covers measurement techniques for different financial risks and instruments. Discusses how risk measurement tools can be used for management of the risk/return profile of financial institutions.",FIN 249. FIN 249 with a grade of C or better,Master of Finance Degree students only. Graduate students only.,,,,,,,
Finance,FIN,242,Portfolio Management,4,,"Provides a working understanding of the themes and concepts of portfolio management. Covers several disciplines, such as investment valuation, investment decision-making, investing styles, asset allocation, monitoring and re-balancing portfolios, risk management strategies, performance evaluation, and attribution analysis.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,243,Bonds and Fixed Income,4,,"Addresses concepts covering a broad spectrum of debt securities with emphasis on qualitative and quantitative analysis of fixed income securities in many areas, including corporate (credit) debt, MBS/ABS, structured debt, and credit derivatives.",,,,,,,,,
Finance,FIN,244,Multinational Finance,4,,"Examines the history of the world's foreign exchange markets, the macroeconomics of foreign exchange, major parity conditions, hedging of currency exposure and international investment. Gives students a basic understanding of foreign exchange market.",,,,,,,,,
Finance,FIN,246F,Seminar in Management of the Real Estate Enterprise,4,,"Capstone seminar. Looks beyond ""The Deal"" to management of the real estate enterprise itself. Explores aspects of decision-making focused upon strategic objectives: goal setting, legal/tax structures, public vs. closely-held entities, corporate ethics, capital structure, managing growth, diversification, technology. Guest professionals.",,Master of Finance Degree students only. Graduate students only.,,,,,,,
Finance,FIN,246G,Applied Real Estate Security Analysis and Portfolio Management,4,,"Provides an understanding of the public real estate investment trust (REIT) market and its place in modern investment strategies, presents methods for analyzing and valuing companies, and introduces basic concepts for constructing and managing a real estate investment portfolio.",,Master of Finance Degree students only. Graduate students only.,,,,,,,
Finance,FIN,247,Cases in Corporate Financial Management,4,,"Case-based course in corporate finance. Introduces advanced analytical tools and techniques for value-based financial management in a broad range of corporate settings, including financial forecasting, mergers and acquisitions, leveraged buyouts, ownership and control, corporate restructuring, and financial distress.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,248,Corporate Valuation,4,,Expands on concepts covered in introductory finance. Combines lectures and cases designed to confront students with real-world problems to enhance their understanding of the value and limitations of finance theory. Focuses on the value of firms/projects in diverse settings.,FIN 210. FIN 210 with a grade of C or better,Master of Finance Degree students only.,,,,,,,
Finance,FIN,249,Derivatives,4,,"Covers major derivative instruments that are widely used for hedging, including forward, futures, swaps and options, speculation, and arbitrage. Focuses on understanding the instruments, how to use and price them, basic risk management principles, and how to implement investment strategies.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,250,Mergers and Acquisitions,4,,"Focuses on mastering mergers and acquisitions concepts and techniques that will enable participants to practically apply them in related fields such as investment banking, consulting, and corporate development. Studies drivers of success in M&A with heavy attention on transactional review.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,251,Behavioral Finance,4,,"Describes the scientific evidence about where misvaluation comes from, how investors can trade profitably to exploit market inefficiency, how corporate managers should make financing and investment decisions in an inefficient market, and how managers can correct biases to avoid mistakes.",,Master of Finance Degree students only.,,,,,,,
Finance,FIN,252,Wealth Management,4,,"Provides overview of considerations needed to connect singular functional areas that comprise personal and business wealth management, including basic and advanced estate planning, investment management, tax management, life/liability and property/casualty insurance, medical and long-term care coverage, retirement and philanthropy considerations.",,Graduate students only.,,,,,,,
Finance,FIN,253,Venture Capital and Private Equity,4,,"Overview of venture capital and private equity, which constitute the ""alternative"" asset class (as opposed to conventional investments). Many start-up and entrepreneurial firms require substantial capital, and venture capital and private equity organizations finance these high-risk but potentially high-reward companies.",,Master of Finance Degree students only.,,,,,,,
