dept,num
AC ENG,22A
AFAM,40B
ANTHRO,121AW
ANTHRO,2B
ANTHRO,10A
ANTHRO,2A
ANTHRO,125A
ANTHRO,136K
ANTHRO,41A
ANTHRO,25A
ART,81A
ART,30A
ART,100
ART,101W
ART,128
ART,20A
ART,12A
ART,65A
ART,9B
ART HIS,55
ASIANAM,52
ASIANAM,51
ASIANAM,114
BIO SCI,47
BIO SCI,N110
BIO SCI,38
BIO SCI,197
BIO SCI,93
BIO SCI,M118L
BIO SCI,9B
BIO SCI,D103
BIO SCI,E179L
BIO SCI,98
BIO SCI,E179
BIO SCI,17
BIO SCI,E136
BIO SCI,E112L
BIO SCI,37
BIO SCI,97
BIO SCI,94
BIO SCI,E131L
BIO SCI,100
BIO SCI,E106
BIO SCI,D104
BIO SCI,9A
BIO SCI,M116L
BIO SCI,199
BME,199P
BME,299
BME,60B
BME,3
BANA,290
CBE,297
CHEM,51B
CHEM,1C
CHEM,1LD
CHEM,1A
CHEM,51LD
CHEM,51A
CHEM,51LB
CHEM,1LC
CHEM,199
CHC/LAT,151
CHC/LAT,154
CHC/LAT,64
CHC/LAT,162A
CHINESE,115
ENGRCEE,30
ENGRCEE,20
ENGRCEE,299
CLASSIC,45A
CLASSIC,45B
COM LIT,60A
COM LIT,10
COM LIT,291
COMPSCI,133
COMPSCI,298P
COMPSCI,171
COMPSCI,299
CRM/LAW,C7
CRM/LAW,C115
CRM/LAW,C10
CRM/LAW,C176
CRM/LAW,C142
CRM/LAW,C168
CRM/LAW,C106
DANCE,3
DRAMA,20A
DRAMA,130
DRAMA,50E
DRAMA,135
EARTHSS,17
EARTHSS,1
EAS,55
ECO EVO,341
ECON,20A
ECON,122A
ECON,100A
ECON,100C
ECON,299
ECON,15B
ECON,25
ECON,15A
ECON,20B
ECON,137W
ECON,105A
ECON,122B
ECON,152A
ECON,134A
ECON,132A
ECON,13
EDUC,241
EDUC,299
EDUC,108
EDUC,245
EDUC,248
EDUC,338
EDUC,340
EDUC,341
EDUC,298
EDUC,361
EDUC,243
EDUC,230
EDUC,206
EDUC,40
EDUC,30
EDUC,374
EDUC,198
EECS,70A
EECS,12
EECS,31
EECS,299
EECS,70LA
EECS,55
ECPS,299
ENGR,30
ENGR,291
ENGR,191
ENGR,190W
ENGR,290P
ENGLISH,16
ENGLISH,290
ENGLISH,102C
EPIDEM,299
EPIDEM,297
EURO ST,12
EURO ST,S10
FLM&MDA,130
FLM&MDA,101A
FLM&MDA,85B
FLM&MDA,139W
FRENCH,S2AB
FRENCH,S1AB
GEN&SEX,20
GEN&SEX,50A
HISTORY,21B
HISTORY,40C
HISTORY,15D
HISTORY,70A
HISTORY,12
HISTORY,40A
HUMAN,10
IN4MATX,299
IN4MATX,43
I&C SCI,32
I&C SCI,51
I&C SCI,139W
I&C SCI,6B
I&C SCI,192
INTL ST,14
INTL ST,122
INTL ST,183A
INTL ST,17
INTL ST,115
INTL ST,11
INTL ST,140A
INTL ST,151B
INTL ST,13
INTL ST,130
INTL ST,1
JAPANSE,S1AB
JAPANSE,S2AB
KOREAN,S1AB
LSCI,20
LSCI,3
LSCI,43
LPS,30
LPS,29
MGMT,109
MGMT,194
MGMT,132A
MGMT,131A
MGMT,30A
MGMT,124
MGMT,1
MGMT,102
MPAC,200A
MPAC,200D
MSE,296
MSE,299
MATH,173A
MATH,3D
MATH,10
MATH,5A
MATH,140A
MATH,2A
MATH,299A
MATH,110A
MATH,105A
MATH,1B
MATH,2D
MATH,120A
MATH,13
MATH,134A
MATH,1A
MATH,130B
MATH,130A
MATH,3A
MATH,105LA
MATH,147
MATH,2B
MATH,5B
MATH,9
ENGRMAE,30
ENGRMAE,130A
ENGRMAE,199
MUSIC,46
MUSIC,3
MUSIC,78
NEURBIO,200C
PHRMSCI,120
PHILOS,102W
PHILOS,4
PHILOS,30
PHILOS,2
PHILOS,1
PHILOS,29
PHILOS,22
PHILOS,5
PHILOS,298
PHILOS,199
PHYSICS,7D
PHYSICS,7LD
PHYSICS,7LC
