dept,num
AC ENG,29
AC ENG,20A
AC ENG,23A
AC ENG,20B
AC ENG,22A
AC ENG,20C
AC ENG,139W
AC ENG,23B
AFAM,144
AFAM,152
AFAM,199
AFAM,399
AFAM,154
AFAM,128
AFAM,137
AFAM,50
AFAM,156
AFAM,163
AFAM,198
AFAM,111B
AFAM,138
AFAM,40B
AFAM,159
ANATOMY,215
ANATOMY,230
ANATOMY,210B
ANATOMY,206B
ANATOMY,500B
ANATOMY,201
ANATOMY,693A
ANATOMY,600B
ANATOMY,200R
ANATOMY,200
ANATOMY,502A
ANATOMY,227B
ANATOMY,202B
ANATOMY,600L
ANATOMY,203A
ANATOMY,230A
ANATOMY,699A
ANTHRO,20A
ANTHRO,259A
ANTHRO,198
ANTHRO,10B
ANTHRO,199
ANTHRO,138
ANTHRO,2A
ANTHRO,197
ANTHRO,141A
ANTHRO,247A
ANTHRO,204A
ANTHRO,48
ANTHRO,290
ANTHRO,41A
ANTHRO,121J
ANTHRO,128B
ANTHRO,215B
ANTHRO,164P
ANTHRO,299
ANTHRO,136K
ANTHRO,100A
ANTHRO,125B
ANTHRO,147
ANTHRO,289
ANTHRO,2B
ANTHRO,139
ANTHRO,125U
ANTHRO,230F
ANTHRO,180AW
ANTHRO,45A
ANTHRO,128C
ANTHRO,202B
ANTHRO,169
ANTHRO,H190C
ARABIC,10A
ARABIC,51
ARABIC,10B
ARABIC,2B
ARMN,2B
ARMN,1B
ART,154
ART,264
ART,250
ART,81B
ART,199
ART,138
ART,236
ART,197
ART,151
ART,230
ART,220
ART,30A
ART,190
ART,101W
ART,71B
ART,81A
ART,1B
ART,150C
ART,106A
ART,121B
ART,150
ART,11A
ART,40
ART,399
ART,9B
ART,240
ART,262
ART,30B
ART,128
ART,91
ART,95
ART,263
ART,108
ART,20B
ART,152A
ART,141
ART HIS,162C
ART HIS,199
ART HIS,40B
ART HIS,399
ART HIS,164B
ART HIS,198
ART HIS,190W
ART HIS,114
ART HIS,42D
ART HIS,150
ART HIS,145B
ART HIS,298
ART HIS,165D
ART HIS,299
ARTS,199
ASIANAM,399
ASIANAM,52
ASIANAM,151C
ASIANAM,144
ASIANAM,110
ASIANAM,200B
ASIANAM,166
ASIANAM,290
ASIANAM,150
ASIANAM,137
ASIANAM,201
ASIANAM,199
ASIANAM,291
BIOCHEM,292B
BIOCHEM,291
BIOCHEM,200R
BIOCHEM,699B
BIOCHEM,202B
BIOCHEM,200B
BIO SCI,3A
BIO SCI,N115B
BIO SCI,E117B
BIO SCI,9B
BIO SCI,E112L
BIO SCI,3B
BIO SCI,56
BIO SCI,101
BIO SCI,M114L
BIO SCI,E119
BIO SCI,2B
BIO SCI,N170
BIO SCI,M118L
BIO SCI,192
BIO SCI,92
BIO SCI,D113
BIO SCI,M116L
BIO SCI,M124B
