department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
BME,1,Introduction to Biomedical Engineering,3,,"Introduction to the central topics of biomedical engineering. Offers a perspective on bioengineering as a discipline in a seminar format. Principles of problem solving, design, engineering inventiveness, entrepreneurship, information access, communication, ethics, teamwork, and social responsibility are emphasized.",,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,
BME,3,Engineering Innovations in Treating Diabetes,4,II and VA,"Innovations in diabetes treatment from the 1800s until the present: purification of insulin, measuring and control of blood glucose, recombinant DNA, clinical trials, and ethics. Solving optimization problems in engineering with Excel.",,,,,,,,,
BME,50A,Cell and Molecular Engineering,4,,"Molecular, structural, genetic, biophysical, and cellular principles of life and bioengineering. Introduction to molecular bioengineering, genetic engineering, synthetic biology, and cell biology. Applications to genetic and biomolecular design.",CHEM 1C or CHEM H2C,Biomedical Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,,,,BME 1,
BME,50B,Cell and Molecular Engineering,4,,"Physiological function from a cellular, molecular, and biophysical perspective. Introduction to genetics, neuronal signaling, and cell cycle control.",BME 50A,Biomedical Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,60A,Engineering Analysis/Design: Data Acquisition,4,,"Fundamentals of LabVIEW programming, basics of computer-based experimentation, establishing interface between computer and data acquisition instrumentation, signal conditioning basics. Materials fee.",PHYS 7D,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,
BME,60B,Engineering Analysis/Design: Data Analysis,4,,"Overview of MATLAB; numeric, cell, and structure arrays; file management; plotting and model building; solving linear algebraic equations; signal and image processing.  Materials fee.",MATH 3A,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,
BME,60C,Engineering Analysis/Design: Computer-Aided Design,4,,Introduction to SolidWorks and Computer-Aided Design software; design; analysis; rapid prototyping; visualization and presentation; manufacturing planning. Materials fee.,,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,BME 1
BME,60D,Engineering Analysis/Design: Finite-Element Simulation,4,,Introduction to finite-element simulation; fundamentals of Multiphysics simulation;.,BME 60B and BME 60C,,,,,,,,
BME,110A,Biomechanics I,4,,"Introduction to statics and dynamics. Topics include rigid bodies, analysis of structures, forces in beams, moments of inertia, friction, kinetics, work, and energy.",PHYS 7C and MATH 3A and MATH 3D and BME 60B and BME 60C,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,,,,,
BME,110B,Biomechanics II,4,,"Introduction to biomechanics from subcellular to tissue levels. Introduction to stress, strain, and constitutive laws of cells and tissues. Emphasis is placed on biosolids. Introduction to elastic and viscoelastic behaviors with emphasis on the standard linear model of viscoelasticity.",BME 110A,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,,,,,
BME,110C,Biomechanics III,4,,Introduction to human biomechanics with emphasis on cardiovascular biomechanics and biofluid mechanics.,BME 110B,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,111,Design of Biomaterials,4,,"Natural and synthetic polymeric materials. Metal and ceramics implant materials. Mechanical properties, degradation, surface characterization, and design of materials. Wound repair, blood clotting, foreign body response, biocompatibility of material. Artificial organs and medical devices. Government regulations.",CHEM 1C,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,,,,BME 50B or BIO SCI 99.,
BME,114,Genetic Engineering and Synthetic Biology,4,,"Exploring how biological function can be engineered and ""synthesized"" from the DNA level up.",(CHEM 1C or CHEM H2C) and MATH 3D and BME 50A and BME 50B,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,120,Sensory Motor Systems,4,,A quantitative and systems approach to understanding physiological systems. Systems covered include the nervous and musculoskeletal systems.,(BME 60B or EECS 10 or EECS 12 or CEE 20 or MAE 10) and MATH 3D and PHYS 7D,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,BME 220.,,,,
BME,121,Quantitative Physiology:  Organ Transport Systems,4,,"A quantitative and systems approach to understanding physiological systems. Systems covered include the cardiopulmonary, circulatory, and renal systems.",(BME 60B or EECS 10 or EECS 12 or CEE 20 or MAE 10) and MATH 3D,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,130,Biomedical Signals and Systems,4,,Analysis of analog and digital biomedical signals; Fourier Series expansions; difference and differential equations; convolutions.  System models: discrete-time and continuous-time linear time-invariant systems; Laplace and Fourier transforms. Analysis of signals and systems using computer programs.,(MATH 3A or ICS 6N) and MATH 3D. Recommended: STAT 8.,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,BME 60B,
BME,132,Introduction to Computational Biology,4,,"The use of theories and methods based on computer science, mathematics, and physics in molecular biology and biochemistry. Basics in biomolecular modeling. Analysis of sequence and structural data of biomolecules. Analysis of biomolecular functions.",MATH 2D or MATH 3A or STAT 7 or STAT 8,,"BIOL M123, CS 183.",,MBB 223 and BME 232.,,,,
BME,135,Photomedicine,4,,"Studies the use of optical and engineering-based systems (laser-based) for diagnosis, treating diseases, manipulation of cells and cell function. Physical, optical, and electro-optical principles are explored regarding molecular, cellular, organ, and organism applications.",PHYS 3C or PHYS 7D,Biomedical Engineering Majors have first consideration for enrollment.,BIOL D130.,,,,,,
BME,136,Engineering Medical Optics,4,,"Principles of optics and photonics, integration of optical components into systems and devices, and analysis of physiological signals obtained from Biophotonics measurements.",BME 130 and (BME 135 or BIOL D130),Biomedical Engineering Majors have first consideration for enrollment.,,,BME 251.,,,,
BME,137,Introduction to Biomedical Imaging,4,,"Introduction to imaging modalities widely used in medicine and biology, including X-ray, computed tomography (CT), nuclear medicine (PET and SPET), ultrasonic imaging, magnetic resonance imaging (MRI), optical tomography, imaging contrast, imaging processing, and complementary nature of the imaging modalities.",BME 130 or EECS 50 or EECS 150,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,138,Spectroscopy and Imaging of Biological Systems,4,,"Principles of spectroscopy; absorption; molecular orbitals; multiphoton transitions; Jablonski diagram; fluorescence anisotropy; fluorescence decay; quenching; FRET; excited state reactions; solvent relaxations; instruments; microscopy: wide field, LSM, TPE; fluorescent probes, fluctuations spectroscopy; optical resolution and super-resolution; CARS and SHG microscopy.",(MATH 3A or ICS 6N) and MATH 3D. Recommended: STAT 8.,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,BME 238.,,,,
BME,140,Design of Biomedical Electronics,4,,"Analog and digital circuits in bioinstrumentation. AC and DC circuit analysis, design and construction of filter and amplifiers using operational amplifier, digitization of signals and data acquisition, bioelectrical signals, design and construction of ECG instrument, bioelectrical signal measurement and analysis.  Materials fee.",BME 60A and BME 130,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,142,Microfabrication,4,,"Essentials of photolithography, soft-lithography, microfabrication, Microelectromechanical Systems (MEMS), BioMEMS; applications in biomedical engineering.",,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,147,Microfluidics and Lab-on-a-Chip,4,,"Introduction to principles of microfluidics and state-of-the-art micro Total Analysis Systems (uTAS). Lab-on-a-Chip for bimolecular assays with device design principles for microscale sample preparation, flow transport, bimolecular manipulation, separation and detection, and the technologies for integrating these devices into microsystems.",BME 110C,Biomedical Engineering Majors have first consideration for enrollment.,,,BME 260.,,,,
BME,148,Microimplants,4,,"Essential concepts of biomedical implants at the micro scale. Design, fabrication, and applications of several microimplantable devices including cochlear, retinal, neural, and muscular implants.",BME 111,Biomedical Engineering Majors have first consideration for enrollment.,,,BME 262.,,,,
BME,149,Biomedical Microdevices,4,,"In-depth review of microfabricated devices designed for biological and medical applications. Studies of the design, implementation, manufacturing, and marketing of commercial and research bio-medical devices.",,,,,BME 261.,,,,
BME,150,Biotransport Phenomena,4,,"Fundamentals of heat and mass transfer, similarities in the respective rate equations. Emphasis on practical application of fundamental principles.",(BME 60B or CEE 20) and (MATH 3A or ICS 6N) and MATH 3D,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,
BME,160,Tissue Engineering,4,,"Quantitative analysis of cell and tissue functions. Emerging developments in stem cell technology, biodegradable scaffolds, growth factors, and others important in developing clinical products. Applications of bioengineering.",(BME 50B or BIOL 99) and BME 111 and BME 121 and BME 150,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,170,Biomedical Engineering Laboratory,4,,Measurement and analysis of biological systems using engineering tools and techniques. Laboratory experiments involve living systems with the emphasis on measuring physiological parameters. Materials fee.,BME 50B and BME 120 and BME 130,Biomedical Engineering Majors have first consideration for enrollment.,,,,,,,
BME,171,Cell and Tissue Engineering Laboratory,4,,"Techniques in molecular, cellular, and tissue engineering.  Topics include bacterial and mammalian cell culture, DNA cloning and gene transfer, fabrication of biomaterial scaffolds, and immunassays and microscopy techniques for cell-based assays.",BME 160,Biomedical Engineering Majors have first consideration for enrollment. Biomedical Engr: Premedical Majors have first consideration for enrollment.,,,,,,,
BME,180A,Biomedical Engineering Design,3,,"Design strategies, techniques, tools, and protocols commonly encountered in biomedical engineering; industrial design experience in group projects; ethics, economic analysis, and FDA product approval. Materials fee.","(BME 60B or MAE 10 or EECS 10) and (BME 60C or MAE 52 or EECS 31L) and (BME 140 or MAE 106 or EECS 170B). BME 180A, BME 180B, and BME 180C must be taken in the same academic year.",Seniors only. Biomedical Engineering Majors only.,,,,In progress only.,,,
BME,180B,Biomedical Engineering Design,3,,"Design strategies, techniques, tools, and protocols commonly encountered in biomedical engineering; industrial design experience in group projects; ethics, economic analysis, and FDA product approval. Materials fee.","BME 180A. BME 180A, BME 180B, and BME 180C must be taken in the same academic year.",Seniors only. Biomedical Engineering Majors only.,,,,In progress only.,,,
BME,180C,Biomedical Engineering Design,3,,"Design strategies, techniques, tools, and protocols commonly encountered in biomedical engineering; industrial design experience in group projects; ethics, economic analysis, and FDA product approval. Materials fee.","BME 180B. BME 180A, BME 180B, and BME 180C must be taken in the same academic year.",Seniors only. Biomedical Engineering Majors only.,,,,,,,
BME,195,Special Topics in Biomedical Engineering,1-4,,Studies in selected areas of Biomedical Engineering. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
BME,197,Seminars in Biomedical Engineering,2,,Presentation of advanced topics and reports of current research efforts in Biomedical Engineering.,,Seniors only. Biomedical Engineering Majors have first consideration for enrollment.,,,BME 298.,,,,
BME,199,Individual Study,1-4,,Independent research conducted in the lab of a biomedical engineering core faculty member. A formal written report of the research conducted is required at the conclusion of the quarter.,BIOL 194S,,,,,,May be taken for credit for 8 units.,,
