department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
EARTHSS,1,Introduction to Earth System Science,4,II and VA,"Covers the origin and evolution of the Earth, its atmosphere, and oceans, from the perspective of biogeochemical cycles, energy use, and human impacts on the Earth system.",,,,,,,,,
EARTHSS,3,Oceanography,4,"II, Va","Examines circulation of the world oceans and ocean chemistry as it relates to river, hydrothermal vent, and atmospheric inputs. Geological features, the wide variety of biological organisms, and global climate changes, such as greenhouse warming, are also studied.",,,,,,,,,
EARTHSS,5,The Atmosphere,4,II and VA,"The composition and circulation of the atmosphere with a focus on explaining the fundamentals of weather and climate. Topics include solar and terrestrial radiation, clouds, and weather patterns.",,,,,,,,,
EARTHSS,7,Physical Geology,4,II and VA,"Introduction to Earth materials and processes. Topics include rocks and minerals, plate tectonics, volcanoes, earthquakes, Earth surface processes, Earth resources, geologic time, and Earth history. Laboratory work involves hands-on study of geologic materials, maps, and exercises pertaining to geologic processes. Materials fee.",,,,,,,,,
EARTHSS,15,Introduction to Global Climate Change,4,II and (VA or VIII),"Introduction of scientific, technological, environmental, economic, and social aspects underlying the threat and understanding of global climate change. Human and natural drivers of climate. Impacts of climate on natural, managed, and human systems, including their vulnerability and ability to adapt.",,,,,,,,,
EARTHSS,17,"Hurricanes, Tsunamis, and Other Catastrophes",4,II and (VA or VIII),"Introduction to the basic science and state of predictability of various natural catastrophic events including earthquakes, volcanic eruptions, tsunamis, landslides, floods, hurricanes, fires, and asteroid impacts and their interactions and implications with human society in the U.S. and globally.",,,,PUBHLTH 90.,,,,,
EARTHSS,19,Introduction to Modeling the Earth System,4,"II, Vb","Simulate the Earth's system using computer models. Covers the interaction of the air, land, and ocean, and explores how changes to one part of the environment affect the complete Earth system. Utilizes technological tools to understand scientific principles.",,,,,,,,,
EARTHSS,21,On Thin Ice: Climate Change and the Cryosphere,4,II and (VA or VIII),"Introduction of the basic science that governs the cryosphere and its interaction with the climate system. Covers some of the significant economic, sociological, and political consequences of the recent melting of the cryosphere driven by anthropogenic climate change.",,,,,,,,,
EARTHSS,23,Air Pollution: From Urban Smog to Global Change,4,II and (VA or VIII),"Air pollution occurs on regional to global scales. A wide range of air pollution sources and physical, chemical, and meteorological sciences behind air pollution are introduced. The consequences of air pollution to our society are also discussed.",,,,,,,,,
EARTHSS,27,The Sustainable Ocean,4,II and VIII,"An introduction to sustainability as it relates to marine resources and conservation. Topics include the scientific basis of our understanding of marine ecosystems, and the political, social, and cultural principles that govern resource protection.",,,,,,,,,
EARTHSS,H30B,Environmental Issues Affecting the Sustainability of Societies I,4,II and Vb,"Focuses on several environmental challenges facing the world today, and explores the problem, possible solutions, and their scientific, technical, and social constraints. Models for systems, their assumptions, predictive uncertainty, and interpretation, play a large role.",CHEM H30A. CHEM H30A with a grade of C or better,Campuswide Honors Collegium students only.,,EARTHSS 15.,,,,,
EARTHSS,H30C,Environmental Issues Affecting the Sustainability of Societies II,4,III,"Focuses on how we can use Earth's resources, e.g., food and water, in a more sustainable way, exploring their scientific, technical, and social constraints.",EARTHSS H30B. EARTHSS H30B with a grade of C or better,Campuswide Honors Collegium students only.,,,,,,,
EARTHSS,40A,Earth System Chemistry,4,II and VA,"To understand the cycling of matter on Earth, we need to learn about the chemistry of elements and molecules in the environment. Introduces students to the understanding of how chemical principles apply in context to their everyday lives.",,Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment.,,,,,,,
EARTHSS,40B,Earth System Biology,4,II,"Earth System Science is a highly interdisciplinary field that requires knowledge of various components of the Earth as a system, including the biosphere. Students are introduced to several fundamental principles of biology, from the smallest cells to the largest ecosystems.",,Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment.,,,,,,,
EARTHSS,40C,Earth System Physics,4,II and VA,"Covers the fundamental physical forces and laws that affect the Earth system, such as electromagnetic radiation and energy transfer, atmospheric and ocean dynamics. Also covers aspects of physics related to environmental issues, such as electricity generation and transmission.",,Environmental Science and Policy Majors have first consideration for enrollment. Environmental Science Majors have first consideration for enrollment.,,,,,,,
EARTHSS,45,New Student Seminar,1,,"Weekly meetings led by faculty, current students, and staff, to provide information on the Department of Earth System Science, campus resources, and special programs and opportunities. Designed for students who recently joined the Earth System Science and Environmental Science majors.",,"Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment. New students only (freshman, transfer, and change of major).",,,,Pass/no pass only.,,,
EARTHSS,51,Land Interactions,4,,"The role of terrestrial processes in the Earth system. Provides an introduction to ecosystem processes that regulate the cycling of energy, water, carbon, and nutrients. Analysis of the impact of human activities. Materials fee.",,Environmental Science Majors have first consideration for enrollment. Earth System Science Majors have first consideration for enrollment.,,,,,,CHEM 1C,
