department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
EECS,1,Introduction to Electrical Engineering and Computer Engineering,1,,"Introduction to the fields of Electrical Engineering and Computer Engineering, including possible careers in both traditional and new emerging areas. Background on both the Electrical Engineering and the Computer Engineering majors, curriculum requirements, specializations, and faculty research interests.",,Electrical Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,10,Computational Methods in Electrical and Computer Engineering,4,,An introduction to computers and structured programming. Binary Data Representation. Hands-on experience with a high-level structured programming language. Introduction to algorithm efficiency. Applications of structured programming in solving engineering problems. Programming laboratory.,MATH 2A,Electrical Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment.,,"EECS 12, ICS 31.",,,,MATH 2A,
EECS,12,Introduction to Programming,4,,"An introduction to computers and programming. Python programming syntax/style, types. Numbers and sequences. Control flow. I/O and errors/exceptions. Function calling, parameter passing, formal arguments, return values. Variable scoping. Programming laboratory.",,Computer Engineering Majors have first consideration for enrollment.,,"EECS 10, ICS 31.",,,,MATH 2A,
EECS,20,Computer Systems and C Programming,4,,"Introduction to computing systems. Data representation and operations. Simple logic design. Basic computer organization. Instruction set architecture and assembly language programming. Introduction to C. Functions and recursion, data structures, pointers. Programming laboratory.",EECS 12,Electrical Engineering Majors have first consideration for enrollment. Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,22,Advanced C Programming,3,,"C language programming concepts. Control flow, function calls, recursion. Basic and composite data types, static and dynamic data structures. Program modules and compilation units. Preprocessor macros. C standard libraries.",EECS 10 or EECS 20,Electrical Engineering Majors have first consideration for enrollment. Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,22L,Software Engineering Project in C Language,3,,"Hands-on experience with the ANSI-C programming language. Medium-sized programming projects, team work. Software specification, documentation, implementation, testing. Definition of data structures and application programming interface. Creation of program modules, linking with external libraries. Rule-based compilation, version control.",EECS 22,Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,31,Introduction to Digital Systems,4,,"Digital representation of information. Specification, analysis, design and optimization or combinational and sequential logic, register-transfer components and register-transfer systems with datapaths and controllers. Introduction to high-level and algorithmic state-machines and custom processors.",ICS 31 or EECS 10 or EECS 12 or MAE 10,Computer Science Engineering Majors have first consideration for enrollment. Electrical Engineering Majors have first consideration for enrollment. Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,31L,Introduction to Digital Logic Laboratory,3,,"Introduction to common digital integrated circuits: gates, memory circuits, MSI components. Operating characteristics, specifications, applications. Design of simple combinational and sequential digital systems (arithmetic processors game-playing machines). Construction and debugging techniques using hardware description languages and CAD tools.",EECS 31 and (EECS 10 or EECS 12 or ICS 32),Computer Science Engineering Majors have first consideration for enrollment. Electrical Engineering Majors have first consideration for enrollment. Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,40,Object-Oriented Systems and Programming,4,,Primitive types and expressions. The class and method definition. Information hiding and encapsulation. Objects and reference. Overloading. Constructors. Inheritance basics. Programming with inheritance. Dynamic binding and polymorphism. Exception handling. An overview of streams and file input/output. Programming laboratory.,EECS 22L,Computer Engineering Majors have first consideration for enrollment.,,,,,,,
EECS,50,Discrete-Time Signals and Systems,4,,"Analysis of discrete-time linear-time-invariant (DTLTI) systems in the time domain and using z-transforms.  Introduction to techniques based on Discrete-Time, Discrete, and Fast Fourier Transforms. Examples of their application to digital signal processing and digital communications.",EECS 70A,Computer Science Engineering Majors have first consideration for enrollment. Electrical Engineering Majors have first consideration for enrollment. Computer Engineering Majors have first consideration for enrollment.,,,,,,,
