department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
IRAN,231A,History of Zoroastrianism,4,,Reviews major trends in the history of Zoroastrianism.,,Graduate students only.,,,HIST 131A.,,,,
IRAN,231B,Ancient Persia,4,,Survey of the history of Persia in antiquity.,,Graduate students only.,,,HIST 131B.,,,,
IRAN,231C,Medieval Persia,4,,A survey of Persian history in the context of Late Antique and Medieval Islamic history.,,Graduate students only.,,,HIST 131C.,,,,
IRAN,255A,Ancient India,4,,"Examines the visual and religious history of the region defined as ""India"" today, but necessarily encompassing modern Bangladesh and Pakistan. Culminates with the supposed Golden Age of the Gupta empire and its far-reaching legacies.",,Graduate students only.,AHIS 255A.,,AHIS 155A.,,,,
IRAN,255B,Medieval India,4,,"Begins with the Gupta period's aesthetic legacies in South Asia's architecture, sculpture, and painting. Explores the dispersal of Islam throughout South Asia, including the Muslim communities of southern India.",,Graduate students only.,AHIS 255B.,,AHIS 155B.,,,,
IRAN,280,Studies in Old Iranian,4,,Studies in grammars and texts of Old Persian and Avestan.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,281,Studies in Middle Iranian,4,,"Studies in grammars and texts of Middle Iranian languages (e.g., Middle Persian, Parthian, Sogdian, Bactrian).",,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,282,Studies in Classical Persian,4,,Studies in the premodern literatures and historical texts of medieval and early modern Persian.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,290,Special Topics in Premodern Iranian Studies,4,,Studies in selected areas of premodern Iranian Studies. Topics addressed vary each quarter.,,Graduate students only.,,,,,Unlimited as topics vary.,,
IRAN,292,Seminar in Premodern Iranian Studies,4,,Seminar in selected areas of premodern Iranian Studies. Topics addressed vary each quarter.,,Graduate students only.,,,,,Unlimited as topics vary.,,
IRAN,293,Directed Readings in Premodern Iranian Studies,4,,Directed reading on a specific topic agreed upon by student and instructor.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,294,Curatorial Methods,4,,Development of curatorial methodologies with an instructor in conjunction with curatorial internship or practicum.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,295,Special Methods,4,,"Reading course focused on the development of particular research skills (e.g. archaeological field methods, numismatics, digital humanities) often in conjunction with a practicum.",,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
IRAN,296,"Ethics, Law, and Art",4,,"Addresses a broad range of ethical and legal issues pertaining to art, ownership, looting and theft, museum policies, and cultural heritage.",Background in Art History or Legal Studies.,,AHIS 296.,,AHIS 196.,,,,
