department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
KOREAN,1A,Fundamental Korean,5,,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with no previous background in Korean. Conducted in both English and Korean.",Placement into KOREAN 1A.,KOREAN 1A and KOREAN 1KA and KOREAN S1AB may not be taken for full credit.,,"KOREAN 1KA, KOREAN S1AB.",,,,,
KOREAN,1B,Fundamental Korean,5,,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with no previous background in Korean. Conducted in both English and Korean.",KOREAN 1A. KOREAN 1A with a grade of C or better. Placement into KOREAN 1B is also accepted.,KOREAN 1B and KOREAN 1KB and KOREAN S1AB and KOREAN S1BC may not be taken for full credit.,,"KOREAN S1BC, KOREAN 1KB, KOREAN S1AB.",,,,,
KOREAN,1C,Fundamental Korean,5,VI,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with no previous background in Korean. Conducted in both English and Korean.",KOREAN 1B or KOREAN S1AB. KOREAN 1B with a grade of C or better. KOREAN S1AB with a grade of C or better. Placement into KOREAN 1C is also accepted.,KOREAN 1C and KOREAN 1KC and KOREAN S1BC may not be taken for full credit.,,"KOREAN 1KC, KOREAN S1BC.",,,,,
KOREAN,1KA,Fundamental Korean for Students with a Previous Background in Korean,5,,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with a previous background in Korean. Conducted in both English and Korean.",Placement into KOREAN 1KA.,KOREAN 1KA and KOREAN 1A and KOREAN S1AB may not be taken for full credit.,,"KOREAN 1A, KOREAN S1AB.",,,,,
KOREAN,1KB,Fundamental Korean for Students with a Previous Background in Korean,5,,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with a previous background in Korean. Conducted in both English and Korean.",KOREAN 1KA. KOREAN 1KA with a grade of C or better. Placement into KOREAN 1KB is also accepted.,KOREAN 1KB and KOREAN 1B and KOREAN S1AB and KOREAN S1BC may not be taken for full credit.,,"KOREAN 1B, KOREAN S1AB, KOREAN S1BC.",,,,,
KOREAN,1KC,Fundamental Korean for Students with a Previous Background in Korean,5,VI,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with a previous background in Korean. Conducted in both English and Korean.",KOREAN 1KB. KOREAN 1KB with a grade of C or better. Placement into KOREAN 1KC is also accepted.,KOREAN 1KC and KOREAN 1C and KOREAN S1BC may not be taken for full credit.,,"KOREAN 1C, KOREAN S1BC.",,,,,
KOREAN,S1AB,Fundamentals of Korean,5,,First half of first-year Korean in an intensified form.,Placement into KOREAN 1A or KOREAN 1KA or KOREAN 1B or KOREAN 1KB.,KOREAN S1AB and KOREAN 1A and KOREAN 1KA and KOREAN 1B and KOREAN 1KB may not be taken for full credit.,,"KOREAN 1A, KOREAN 1B, KOREAN 1KA, KOREAN 1KB.",,,,,
KOREAN,S1BC,Fundamentals of Korean,5,VI,Second half of first-year Korean in an intensified form.,KOREAN S1AB or KOREAN 1B or KOREAN 1KB. KOREAN S1AB with a grade of C or better. KOREAN 1B with a grade of C or better. KOREAN 1KB with a grade of C or better. Pacement into KOREAN 1C or KOREAN 1KC is also accepted.,KOREAN S1BC and KOREAN 1B and KOREAN 1KB and KOREAN 1C and KOREAN 1KC may not be taken for full credit.,,"KOREAN 1C, KOREAN 1KB, KOREAN 1KC, KOREAN 1B.",,,,,
KOREAN,2A,Intermediate Korean,5,VIII,Designed to develop writing and reading skills as well as communicative skills in authentic situations for students without previous initial background in Korean. Students also introduced to aspects of Korean culture as related to lesson topics and basic Chinese characters.,KOREAN 1C or KOREAN S1BC. KOREAN 1C with a grade of C or better. KOREAN S1BC with a grade of C or better. Placement into KOREAN 2A is also accepted.,,,KOREAN 2KA.,,,,,
KOREAN,2B,Intermediate Korean,5,VIII,Designed to develop writing and reading skills as well as communicative skills in authentic situations for students without previous initial background in Korean. Students also introduced to aspects of Korean culture as related to lesson topics and basic Chinese characters.,KOREAN 2A. KOREAN 2A with a grade of C or better. Placement into KOREAN 2B is also accepted.,,,KOREAN 2KB.,,,,,
KOREAN,2C,Intermediate Korean,5,VIII,Designed to develop writing and reading skills as well as communicative skills in authentic situations for students without previous initial background in Korean. Students also introduced to aspects of Korean culture as related to lesson topics and basic Chinese characters.,KOREAN 2B. KOREAN 2B with a grade of C or better. Placement into KOREAN 2C is also accepted.,,,KOREAN 2KC.,,,,,
KOREAN,2KA,Intermediate Korean for Students with a Previous Background in Korean,5,VIII,Designed to develop writing and reading skills as well as communicative skills in authentic situations for students with previous background in Korean. Students also introduced to aspects of Korean culture as related to lesson topics and basic Chinese characters.,KOREAN 1KC or KOREAN S1BC. KOREAN 1KC with a grade of C or better. KOREAN S1BC with a grade of C or better. Placement into KOREAN 2KA is also accepted.,,,KOREAN 2A.,,,,,
