department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
LSCI,1,Languages of the World,4,VIII,"The world has over 6,000 languages, with an exuberant variety of sounds, words, grammars. Introduction to a representative (about eight), drawn from every continent. Students not expected to learn these languages, but to explore and study their structure and complexity.",,,,,,,,,
LSCI,2,Discovering Language,4,VII,"Explores language's pervasiveness and diversity; demonstrates ways linguistics illuminates language's crucial--albeit hidden--societal role. Issues: self-and group-identification, language death, language in legal and educational settings. Illustrations: spoken and signed languages, varieties of English, Native American languages.",,,,,,,,,
LSCI,3,Introduction to Linguistics,4,III and V.B,Emphasis on the notion that language is a remarkable achievement of the human mind.  Current insights into the nature of language.  Survey of various subfields of linguistics. Introduction to linguistic analysis.,,,,,,,,,
LSCI,10,Introduction to Phonology,4,III and V.B,Basic concepts in phonetic description and phonological analysis.,,,,,,,,,
LSCI,20,Introduction to Syntax,4,III and V.B,Basic concepts in syntactic description and grammatical analysis.,LSCI 3,,,,,,,,
LSCI,43,Introduction to Symbolic Logic,4,Vb,"An introduction to the symbolism and methods of the logic of statements, including evaluation of arguments by truth tables, the techniques of natural deduction, and semantic tableaux.",,,"LPS 30, PHIL 30.",,,,,,
LSCI,51,Acquisition of Language,4,III,"What children say, what they mean, and what they understand. Theories about the learning of language by one-, two-, and three-year-olds. Comparison of kinds of data on which these theories are based.",,,PSYC 56L.,,,,,,
LSCI,51B,Foundations of Bilingual Education and Bilingualism,4,,"Provides a comprehensive overview of current issues in bilingual education and bilingualism. Topics include dimensions of bilingualism, the effects of bilingualism on children's linguistic and cognitive development, bilingual education programs, literacy, special needs, and assessment.",,,"EDUC 52, HUM 52.",,,,,,
LSCI,68,Introduction to Language and Culture,4,III,"Explores what the study of language can reveal about ourselves as bearers of culture. After introducing some basic concepts, examines how cultural knowledge is linguistically organized and how language might shape our perception of the world.",,,ANTH 2D.,,,,,,
LSCI,99,Special Topics in Language Science,4,,Special Topics at lower-division level.,,,,,,,Unlimited as topics vary.,,
LSCI,102,Formal Languages and Automata,4,,"Formal aspects of describing and recognizing languages by grammars and automata.  Parsing regular and context-free languages. Ambiguity, nondeterminism. Elements of computability; Turning machines, random access machines, undecidable problems, NP-completeness.",(ICS 46 or CSE 46) and MATH 2B and ICS 6B and ICS 6D. ICS 46 with a grade of C or better. CSE 46 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Cognitive Sciences Majors have first consideration for enrollment. Language Science Majors have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,CS 162.,,,,,,
