department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MGMTMBA,200,Thinking Strategically in the Digital Age,4,,"Focuses on the strategic and organizational challenges that a rapidly changing environment poses to the firm's management and frames them according to Merage's strategic emphasis on analytical decision making, innovation, and information technology.",,Graduate students only. Business Administration Majors only.,,,,Satisfactory/unsatisfactory only.,,,
MGMTMBA,201A,Business Analytics: Decision-Making,4,,"Methods of statistical inference, emphasizing applications to administrative and management decision problems. Topics include classical estimation and hypothesis testing, regression, correlation, analysis of variance, decision analysis, and forecasting.",Courses in basic statistics with probability.,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,201B,Management Science,4,,"An introduction to computer-based models for decision making. Topics include optimization (linear programming, integer programming, network flow models) and computer simulation. Uses spreadsheets extensively, including Excel built-in and add-in packages.",,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,202,Organizational Leadership for Management,4,,"Develops a better understanding of the causes and consequences of individual and group behavior, and the frameworks by which to analyze and understand complex organizations; and enhances the skills required to manage and lead an organization.",,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,203A,Financial Reporting,4,,"Involves the development, analysis, and interpretation of financial accounting information for external reporting purposes.",,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,203B,Driving Profitability Through Management Accounting,4,,"Teaches core skills for making vital strategic and tactical decisions (e.g., outsourcing; adding/dropping product lines), to maximize profitability while managing risk. Also covers operational and managerial tools (e.g., budgeting, planning, cost-volume-profit analysis) to drive strategy implementation and incentivize employees.",MGMTMBA 203A or MGMT FE 203A,Graduate students only. Master of Business Admin Degree students only.,,,,,,,
MGMTMBA,204A,Microeconomics for Management in the Digital Age,4,,"Provides basic tools for analyzing economic decisions of consumers and firms. Topics include demand and supply analysis, production and cost theory, perfect competition, monopoly, market failures, and introductory game theory.",,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,204B,Macroeconomics for Management,4,,"Introduces use of macroeconomic analysis to manage the business cycle for competitive advantage. Such ""business cycle-sensitive"" management is explored within the context of marketing, operations management, HRM, merger and acquisition activity, and capital financing and expenditures.",MGMTMBA 204A or MGMT FE 204A,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,205,Marketing Principles,4,,"Introduction to the field of marketing. Objectives  include developing familiarity with fundamental concepts, theories, and techniques in marketing, and acquainting students with the type of decisions made by marketing managers including customer targeting, product, pricing, distribution, promotion, and research.",,Graduate students only. Business Administration Majors only.,,,,,,,
MGMTMBA,207,"Competing with Digital: Technology, Analytics, and Platforms",4,,"Focuses on the technological and managerial issues surrounding the development and use of IT in organizations. Examines role of technology in organizations, how technology can be used to execute an organization's business strategy and to enable new, innovative business strategies.",,Graduate students only. Business Administration Majors only.,,,,,,,
