department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
M&MG,200A,Research in Microbiology and Molecular Genetics,2-12,,Individual research supervised by a particular professor.,,Graduate students only.,,,,,Unlimited as topics vary.,,
M&MG,200B,Research in Microbiology and Molecular Genetics,2-12,,Individual research supervised by a particular professor.,M&MG 200A,Graduate students only.,,,,,Unlimited as topics vary.,,
M&MG,200C,Research in Microbiology and Molecular Genetics,2-12,,Individual research supervised by a particular professor.,M&MG 200B,Graduate students only.,,,,,Unlimited as topics vary.,,
M&MG,200R,Research in Microbiology and Molecular Genetics for First-Year Students,2-12,,Independent research within the laboratories of graduate training faculty in the Department of Microbiology and Molecular Genetics for first-year Ph.D. students.,,,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
M&MG,201A,Research topics in Microbiology and Molecular Genetics,1,,"Seminars presented by graduate students and faculty of the Department which explore research topics in specialized areas of microbiology and molecular genetics. Opportunity for students to gain experience in the organization, critical evaluation, and oral presentation of current research developments.",,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
M&MG,201B,Research topics in Microbiology and Molecular Genetics,1,,"Seminars presented by graduate students and faculty of the Department which explore research topics in specialized areas of microbiology and molecular genetics. Oppurtunity for students to gain experience in the organization, critical evaluation, and oral presentation of current research developments.",M&MG 201A,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
M&MG,201C,Research topics in Microbiology and Molecular Genetics,1,,"Seminars presented by graduate students and faculty of the Department which explore research topics in specialized areas of microbiology and molecular genetics. Oppurtunity for students to gain experience in the organization, critical evaluation, and oral presentation of current research developments.",M&MG 201B,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
M&MG,203A,Advanced Studies in Microbiology and Molecular Genetics,1,,"Organized within each laboratory group, one to four hours. Advanced study in areas related to faculty research interests. Involves small group study based on readings, discussions, and guest speakers. May be conducted as journal clubs.",,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
M&MG,203B,Advanced Studies in Microbiology and Molecular Genetics,1,,"Organized within each laboratory group, one to four hours. Advanced study in areas related to faculty research interests. Involves small group study based on readings, discussions, and guest speakers. May be conducted as journal clubs.",M&MG 203B,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
M&MG,203C,Advanced Studies in Microbiology and Molecular Genetics,1,,"Organized within each laboratory group, one to four hours. Advanced study in areas related to faculty research interests. Involves small group study based on readings, discussions, and guest speakers. May be conducted as journal clubs.",M&MG 203B,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
M&MG,205A,Basic Immunology Core Lectures,1,,"Basic concepts in human immunology including development of the immune system, innate immunity, immunoglobulin structure and genetics, antigen-antibody reactions, the major histocompatibility complex and antigen presentation, T cell and B cell development, initiation of the immune response, effector mechanisms.",,,,,,Satisfactory/unsatisfactory only.,,,
M&MG,205B,Basic Immunology Core Lectures,1,,"Basic concepts in human immunology incluing development of the immune system, innate immunity, immunoglobulin structure and genetics, antigen-antibody reactions, the major histocompatibility complex and antigen presentation, T cell and B cell development, initiation of the immune response, effector mechanisms.",M&MG 205A,,,,,Satisfactory/unsatisfactory only.,,,
