department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PHYSIO,200,Research in Physiology and Biophysics,2-12,,Individual research directed toward doctoral dissertation and supervised by a particular professor.,,,,,,,May be repeated for credit unlimited times.,,
PHYSIO,200R,Research in Physiology and Biophysics for First-Year Students,2-12,,Independent research within the laboratories of graduate training faculty in the Department of Physiology and Biophysics for first-year Ph.D. students.,,,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
PHYSIO,201,Introduction to Physiology Research,1-4,,Introduction to research in physiology and related sciences. Concentrates on techniques emphasized in the various laboratories of the Department of Physiology and Biophysics.,,,,,,,May be repeated for credit unlimited times.,,
PHYSIO,204,Concepts of Biophysics,3,,Principles of crystallography; introduction to time-resolved absorption and fluorescence spectroscopy; the concepts of kinetic order and kinetic rate theory.,,Graduate students only.,,,,,,,
PHYSIO,205,Electronics for Biologists,4,,Basic principles of electricity; properties and use of discrete components and integrated circuits; circuit analysis and design. Intended for advanced students in the life sciences.,,,NEURBIO 249.,,,,,,
PHYSIO,206A,Introduction to Medical Physiology,5,,Vertebrate physiology with emphasis on humans and on the relationship between the function of normal tissues and the processes of disease. Fundamental principles of physiology and the interrelationships which control organ function.,A biochemistry course.,Graduate students only.,,,,,,,
PHYSIO,206B,Introduction to Medical Physiology,6,,Vertebrate physiology with emphasis on humans and on the relationship between the function of normal tissues and the processes of disease. Fundamental principles of physiology and the interrelationships which control organ function.,PHYSIO 206A,Graduate students only.,,,,,,,
PHYSIO,212,Medical Immunology,5,,"One of the cornerstones of the MS1 Molecular Basis of Medicine block. Includes temporal coordination of lecture material, regular course director meetings, and combined exams with PHYSIO 544: Medical Immunology.",,Graduate students only.,,,,,,,
PHYSIO,215,Integrative Immunology,4,,"Provides an introduction to immunology, but focuses on providing in-depth analysis of selected topics within the broader field of immunology, including relevant research techniques, while improving critical thinking skills.",,Graduate students only.,,,,,,,
PHYSIO,232,The Physiology of Ion Channels,4,,Discusses how ion channels work (molecular/structural biophysics level) and what ion channels do in diverse cell types (cell physiology level).,,Graduate students only.,,,,,,,
PHYSIO,252,Introduction to Proteomics,4,,"Introduces students to concepts and methods of proteomics including protein identification, expression proteomics, and protein-protein interactions.",,,,,,,May be taken for credit 2 times.,,
PHYSIO,272,Eye: Health and Disease,3,,Introduces the anatomic and physiological basis of vertebrate vision and disease states in which the structure and function of the eye is disrupted with emphasis on current and developing research areas.,,Graduate students only.,,,,,,,
PHYSIO,290,Topics in Physiology,3,,"Contemporary research problems in physiology. Students review research articles in current literature and present ideas contained therein, focusing on groundbreaking discoveries and methodologies. Students present results of their own research and attend presentations given by other students and departmental researchers.",,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
PHYSIO,292A,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
PHYSIO,292B,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
PHYSIO,292C,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
PHYSIO,299,Dissertation in Physiology and Biophysics,2-12,,Preparation and completion of the dissertation required for the Ph.D.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
