department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
POL SCI,10A,Probability and Statistics in Political Science I,4,Va,Introduction to the variety of statistical applications in the social sciences.  Descriptive statistics.  Measures of central tendency and dispersion.  Percentile ranks.  Standardization and normal approximation.  Basic probability theory focuses on application to statistical inference and binomial distribution.  Laboratory required.,SOC SCI 3A,Lower-division students only.,,"ANTHRO 10A, ECON 15A, PSYCH 10A, SOCECOL 13, SOC SCI 9A, SOCIOL 10A.",,,,,
POL SCI,10B,Probability and Statistics in Political Science II,4,Va,"Introduction to statistical inference, sampling distribution, standard error.  Hypothesis tests for proportions and means. Inferential techniques for nominal variables including chi-square, study measures of strengths, significance of relationships between variables, assumptions, data requirements, and types of error in significance tests.",POL SCI 10A,,,"ANTHRO 10B, ECON 15B, PSYCH 10B, SOCECOL 13, SOC SCI 9B, SOC SCI 10B.",,,,,
POL SCI,10C,Probability and Statistics in Political Science III,4,Vb,"Focus on correlation, regression, and control for effects of variables.  One-way and two-way factorial analysis of variance.  A priori and a posteriori comparisons.  Introduction to repeated measures design and non-parametric statistics. Discusses use of statistics in newspapers and popular magazines.",POL SCI 10B,,,"ANTHRO 10C, PSYCH 10C, SOCECOL 13, SOC SCI 9C, SOC SCI 10C, SOCIOL 10C.",,,,,
POL SCI,11A,Introduction to Political Science: Political Analysis,4,III and VIII,"Presents various modes of understanding politics. Emphasis on basic approaches to political analysis, their uses in constructing theories, and their application to particular national political systems.",,,,,,,,,
POL SCI,11C,Introduction to Political Science: Micropolitics,4,III,Introduction to political behavior of individuals and groups within national systems. Three questions addressed: How do individuals come to understand the political world? How do individuals behave within this world? How do groups and individuals engage in the political process.,,,,,,,,,
POL SCI,21A,Introduction to American Government,4,III,"Introduction to American political processes and institutions. Topics include elections, political participation, parties, interest groups, the Presidency, Congress, the bureaucracy, and the judiciary.",,,,,,,,,
POL SCI,31A,Introduction to Political Theory,4,III,"Types of questions:  What is politics?  What are the theoretical and philosophical bases for different types of political arrangements?  How do these perspectives get translated into reality?  Among others, the works of Rousseau, Locke, Mill, and Marx are read.",,,,,,,,,
POL SCI,32A,Dilemmas of Diversity,4,VII,"Focuses on racial, ethnic, and gender diversity, multiculturalism, and their impact on our social and political ideals. Traces the sources of ideas about difference, equality, and toleration, and examines tensions that occur when forms of identity conflict with one another.",,,INTL ST 32A.,,,,,,
POL SCI,41A,Introduction to International Relations,4,III and VIII,Analysis of political relations between and among nations with emphasis on explanations of conflict and cooperation. The role of ideologies and their relation to international problems are also examined.,,Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,INTL ST 14.,,,,,,
POL SCI,44B,Global Political Ideologies,4,III and VIII,"An overview of the major political ideologies shaping the current world order and global conflict. Topics include liberalism, democracy, nationalism, capitalism, communism, socialism, fascism, neoliberalism, clash of civilizations, sectarian violence, populist nationalism, and de-globalization.",,International Studies Majors have first consideration for enrollment.,"INTL ST 12, SOC SCI 12.",,,,,,
POL SCI,45A,Human Rights and Global Governance,4,III and VIII,"Historical development of civil, political rights and the rise of human rights in international law. Explores role, and limitations, of the UN, ICJ, and ICC in global governance. Reconceptualizing democracy and political representation in a postnational 21st century.",,International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment.,"INTL ST 16, SOC SCI 16.",,,,,,
POL SCI,49,Lower-Division Special Topics in International Relations,4,,Studies in selected areas of international relations. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
POL SCI,51A,Introduction to Politics Around the World,4,"III, VIII","Introduces comparative politics. Compares political systems in a variety of countries. Includes elections, parties, parliaments, presidents, protest movements, and other aspects of national politics. Addresses how to make meaningful comparisons across countries.",,,,,,,,,
POL SCI,61A,Introduction to Race and Ethnicity in Political Science,4,III and VII,Examines major theories that attempt to explain the roles of race and ethnicity in U.S. politics.,,,CHC/LAT 64.,,,,,,
POL SCI,71A,Introduction to Law,4,III,An introduction to the study of judicial politics.  Questions include:  what is law?; what is a court?; who are the judges? Analysis of a wide range of judicial decisions illustrates the political importance of courts in the U.S. and elsewhere.,,,,,,,,,
POL SCI,79,Lower-Division Special Topics in Law,4,,Studies in selected areas of law. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
POL SCI,H80,Globalization and Human Security,4,"III, VIII","Emerging issues of human security in the globalized world, including personal human security, physical integrity, human trafficking, global climate change, food. Challenges of these complex human security problems for a multi-scalar system (international, national, local).",,Campuswide Honors Collegium students only.,,,,,,,
POL SCI,120,Public Opinion,4,,"Theories concerning sources of public opinion, processes by which it is altered, organization of citizens' belief systems, and role of public opinion in government policy. Students analyze survey data as a research project.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,121A,The American Presidency,4,,Presents a comprehensive survey of the American presidency and considers the question of political power.,,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,121C,U,4,,"Examines how voters evaluate political parties, candidates, and issues in electoral campaigns to reach their decisions. Numerous controversies concerning the degree of issue voting, sophistication of candidate evaluations, and the decline of political parties are discussed.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,121F,Presidents Since World War II,4,,Reviews the actions and character of presidents from Harry Truman through Bill Clinton.  Each week a different president is examined from a variety of perspectives.  Students are expected to write a substantial original research paper.,POL SCI 21A,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,121G,American Public Policy,4,,Focuses on the development and implementation of public policy in the United States. Lectures cover theoretical models of the policy process as well as significant problems facing contemporary American decision-makers.,,,"PUBHLTH 132, SOC SCI 152C, UPPP 129.",,,,,,
POL SCI,121HW,Writing for the President of the United States,4,Ib,"Imagines how White House staffers can help presidents with clear, focused, and effective writing. Through a variety of formats, students study, hone, and practice writing skills that will prove useful- in and out of the White House.",POL SCI 21A,,,,,,,,
POL SCI,122A,American Metropolitan Politics,4,,"Explores the politics of urban and suburban America, including the policy making process; the exercise of political power; local politics, federalism and the problems of metropolitanism; and major policy problems facing urban areas.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,122B,California Politics,4,,"Examines the structure and function of California government, traces historical development of political power, with constantly changing casts of power-brokers and seekers. Explores California exceptionalism and the roles played by the electorate, legislature, executive, and organized interests in policy making.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,122BW,California Politics,4,Ib,"Examines the structure and function of California government, traces historical development of political power, with constantly changing casts of power-brokers and seekers. Explores California exceptionalism and the roles played by the electorate, legislature, executive, and organized interests in policy making.",Satisfactory completion of the Lower-Division writing requirement.,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,123B,Representation,4,,Deals with classical theories of representation: issues of racial and political representation in U.S. legislatures and city councils; proportional representation models; and comparative election systems.,SOC SCI 3A or SOC SCI 10A or SOC SCI 10B,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,124A,The Politics of Protest,4,VII,"Examines the Civil Rights, Black Power, and women's movements in relationship to the Asian American movement. Uses social movement theories to illuminate the cases, and the cases to critique and revise the theories.",,,ASIANAM 144.,,,,,,
POL SCI,124B,Latinos in U,4,VII,"Comparing the political issues facing Latino groups by examining their migration histories, voting behavior, nonelectoral participation, and policy issues.  Latino issues are examined on the national, state, and local levels, including formal representation, immigration, affirmative action, and language policy.",,,CHC/LAT 151.,,,,,,
POL SCI,124C,Comparative Minority Politics,4,,"Examines the political experiences of Blacks, Latinos, and Asian Americans in the United States from roughly 1950 to the present. Focuses on how each group has pursued political empowerment via both conventional political channels and social movements.",,,"AFAM 151, CHC/LAT 147, ASIANAM 132.",,,,,,
POL SCI,124E,African American Politics,4,,"Examines politics of African Americans in order to gain a broader perspective of the American political process. Major developments in African American politics (including the civil rights movement, Black presidential bids), continuing problem of racism, responsiveness of key governing institutions.",,,AFAM 152.,,,,,,
POL SCI,125A,The United States Congress,4,,"Does the Congress do a good job of representing the American citizenry? Is it the most appropriate mechanism for the creation, resolution, and implementation of public policy.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,125CW,Constitutional Convention,4,Ib,"Analyzes the Constitution, its amendments, and periods of Constitutional reform as a foundation for a critical evaluation of the Constitution with an eye both to necessary reforms and to elements of the Constitution that should be maintained.",POL SCI 21A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
POL SCI,126C,U,4,VII,"Examines selected immigration policy debates since the nineteenth century, rationale and consequences of immigration law since 1965, problems of administration, implementation and enforcement, impact of immigration policy on foreign relations, and contemporary debate regarding the future of U.S. policy.",,,CHC/LAT 163.,,,,,,
POL SCI,126D,Urban Politics and Policy,4,,Examines economic limits of cities and welfare policy. Addresses such issues as why are the poor concentrated in the central cities? Which anti-poverty programs will work best in cities? Which level of government can best combat poverty in the U.S.,,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,126F,Politics of Animal Rights,4,,"Examines animal rights/welfare movement's efforts to transform moral, practical, and legal standing of nonhuman animals in contemporary U.S. Explores intersection of racism, sexism, and speciesism informed by theories of race and ethnicity, including Asian American Studies.",,Political Science Majors have first consideration for enrollment. Asian American Studies Majors have first consideration for enrollment.,ASIANAM 168.,,,,,,
POL SCI,128BW,Political Ideologies: The Way We View Our World,4,Ib,"Politics has become divisive and ideological. But ideologies are poorly understood and have become mere labels for identifying friends and enemies. Course analyzes the nature of ideology, focusing on liberalism, conservatism, fascism, socialism, and contemporary ""liberation"" ideologies.",Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
POL SCI,128C,Political Psychology,4,,"Examination of how psychological theory and research may be used to better understand political thought and behavior. Drawing on theories of learning, cognition, and personality, discusses such topics as the formation of political attitudes, and the process of political decision-making.",,Majors only. POL SCI 128C may not be taken for credit if taken after POL SCI 137C.,PSYCH 176A.,,,,,,
POL SCI,129,Special Topics in American Politics and Society,4,,Studies in selected areas of American politics and society. Topics addressed vary each quarter.,,Political Science Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
POL SCI,130A,Game Theory and Politics I,4,,"Introduction to game theory and a survey of its political applications. Examples of topics covered include voting in small committees, legislatures, and mass elections; interest group activities and environmental issues; institutional design, and the evolution of cooperative behavior.",,Social Policy/Public Service Majors have first consideration for enrollment. Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,"SOCIOL 134, SOC SCI 103A.",,,,,,
POL SCI,130B,Game Theory and Politics II,4,,"More advanced game theory and its political applications, beginning where Game Theory and Politics I ends.  Examples of topics covered include revolutions; arms race; spatial models of party competition; political manipulation; political coalitions and their power.",POL SCI 130A or ECON 116A,Social Policy/Public Service Majors have first consideration for enrollment. Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,SOC SCI 103B.,,,,,,
POL SCI,131C,Modern Political Theory,4,,Examines major thinkers and intellectual movements in the political thought of the 17th and 18th centuries.,,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,131F,Twentieth Century Political Theory,4,,Examines major thinkers and intellectual movements in the political thought of the 20th Century.,POL SCI 31A,,,,,,,,
POL SCI,134F,Social and Political Theory,4,,"Focus is on recent major work in social and political theory. An in-depth analysis of a relatively small body of writing. Authors discussed include Jurgen Habermas, Anthony Giddens, and Richard Rorty.",,Political Science Majors have first consideration for enrollment.,,,,,,,
POL SCI,135A,Origins of Liberalism,4,,"Examines the ideals, social forces, and historical events that gave rise to liberal political theory. Topics include patriarchal authority, the divine right of kings, religious toleration, slavery, colonialism, political economy, the evolution of law, and tensions between liberty and equality.",POL SCI 31A,Political Science Majors have first consideration for enrollment.,,,,,,,
