department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PSCI,9,Introduction to Psychology,4,III,"Introduction to field of psychology, addressing the application of scientific methods to the study of human development, learning, memory, problem solving, perception, biological mechanisms, emotions and motivation, personality, psychopathology, and effects of diverse social and cultural contexts on human behavior.",,"Criminology, Law and Society Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment. PSCI 9 and PSYCH 7A may not be taken for credit if taken concurrently with or after PSCI 11A, PSCI 11B, PSCI 11C, PSYCH 9A, PSYCH 9B, or PSYCH 9C.",PSYC 7A.,"PSYC 9A, PSYC 9B, PSYC 9C, PSCI 11A, PSCI 11B.",,,,,
PSCI,11A,Psychology Fundamentals,4,III,"Designed to provide freshman with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. PSCI 9 and PSYCH 7A may not be taken for credit if taken after PSCI 11A, PSCI 11B, PSCI 11C, PSYCH 9A, PSYCH 9B, or PSYCH 9C.",PSYC 9A.,,,,,,
PSCI,11B,Psychology Fundamentals,4,III,"Designed to provide freshmen with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",PSYC 9B.,,,,,,
PSCI,11C,Psychology Fundamentals,4,III,"Designed to provide freshman with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",PSYC 9C.,,,,,,
PSCI,100,Special Topics in Social Behavior,4,,Course content varies with interest of instructor.,PSCI 9 or PSCI 11C or PSYC 7A or PSYC 9C,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
PSCI,101D,Life Span Developmental Psychology,4,,"Addresses the major issues, concepts, and methods of life span developmental psychology. The fundamental theories, distinctive methods, and the physical, perceptual, cognitive, social, motivational, and emotional development for each developmental phase of the life course are considered.",PSCI 9 or PSCI 11B or PSYC 7A or PSYC 9B,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment.,,,,,,,
PSCI,102C,Abnormal Psychology,4,,"Survey of disorders organized by the diagnostic categories of the American Psychiatric Association. Interdisciplinary orientation combines environmental, psychological, and organic perspectives on etiology and treatment.",(PSCI 9 or PSCI 11C or PSYC 7A or PSYC 9C) and SE 10,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment.,,PSYC 120A.,,,,,
PSCI,103H,Health Psychology,4,,"Theory and research are considered as they contribute to an understanding of the role of psychological processes in health and illness. The distinction between prevention and treatment of illness is established, and a variety of psychosocial interventions are elaborated.",PSCI 9 or PSCI 11C or PSYC 7A or PSYC 9C,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment.,,,,,,,
PSCI,104S,Social Animal: An Introduction to Social Psychology,4,,"Theories and research exploring social behavior and social influences on behavior. Topics include methods of social research, attitude formation and change, social perception, the social self, stereotypes and prejudice, conformity, obedience, altruism, aggression, interpersonal relationships and love, and group behavior.",PSCI 9 or PSCI 11C or PSYC 7A or PSYC 9C,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment.,,,,,,,
PSCI,110D,Infant Development,4,,"Study of human development from conception through the first two years of life, covering processes and events in the domains of physical, social, and cognitive development.",PSCI 9 or PSCI 11B or PSYC 7A or PSYC 9B,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.,,,,,,,
PSCI,111D,Child Development,4,,"Examines social, emotional, and intellectual growth and development between the ages of 2 and 12 years.",PSCI 9 or PSCI 11B or PSYC 7A or PSYC 9B,Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.,,PSYC 120D.,,,,,
PSCI,111W,Advanced Research Methods,4,Ib,"For students planning to conduct senior research projects or apply to graduate school in social research fields. Topics include reviewing literature, preparing a research proposal, protecting human subjects, citing scholarly work, building measures, estimating sample size, interview and presentation skills.",SE 10 and SE 13. Satisfactory completion of the Lower-Division Writing requirement.,,"CLS C169W, SE 111W, UPPP 114W.",,,,,,
