department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PSYCH,7A,Introduction to Psychology,4,III,"Introduction to field of psychology, addressing the application of scientific methods to the study of human development, learning, memory, problem solving, perception, biological mechanisms, emotions and motivation, personality, psychopathology, and effects of diverse social and cultural contexts on human behavior.",,"Criminology, Law and Society Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment. PSCI 9 and PSYCH 7A may not be taken for credit if taken concurrently with or after PSCI 11A, PSCI 11B, PSCI 11C, PSYCH 9A, PSYCH 9B, or PSYCH 9C.",PSCI 9.,"PSYCH 9A, PSYCH 9B, PSYCH 9C, PSCI 11A, PSCI 11B.",,,,,
PSYCH,9A,Psychology Fundamentals,4,III,"Designed to provide freshman with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. PSCI 9 and PSYCH 7A may not be taken for credit if taken after PSCI 11A, PSCI 11B, PSCI 11C, PSYCH 9A, PSYCH 9B, or PSYCH 9C.",PSCI 11A.,,,,,,
PSYCH,9B,Psychology Fundamentals,4,III,"Designed to provide freshmen with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",PSCI 11B.,,,,,,
PSYCH,9C,Psychology Fundamentals,4,III,"Designed to provide freshman with an in-depth survey of general psychology. Topics include biological bases of behavior, sensation, perception, cognition, development, personality, psychopathology, and social psychology.",,"Lower-division students only. Cognitive Sciences Majors have first consideration for enrollment. Psychological Science Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Psychology and Social Behavior Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment. Public Health Sciences Majors have first consideration for enrollment. Public Health Policy Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment. Urban Studies Majors have first consideration for enrollment.",PSCI 11C.,,,,,,
PSYCH,10A,Probability and Statistics in Psychology I,4,Va,An introduction to probability and statistics. Emphasis on thorough understanding of the probabilistic basis of statistical inference. Examples drawn primarily from psychology.,,Psychology Majors have first consideration for enrollment.,,,,,,,
PSYCH,10B,Probability and Statistics in Psychology II,4,Va,An introduction to probability and statistics. Emphasis on thorough understanding of the probabilistic basis of statistical inference. Examples drawn primarily from psychology.,PSYCH 10A,Psychology Majors have first consideration for enrollment.,,,,,,,
PSYCH,10C,Probability and Statistics in Psychology III,4,Vb,An introduction to probability and statistics. Emphasis on thorough understanding of the probabilistic basis of statistical inference. Examples drawn primarily from psychology.,PSYCH 10B,Psychology Majors have first consideration for enrollment.,,,,,,,
PSYCH,21A,Adolescent Psychology,4,III,"Focuses on psychosocial dynamics of today's adolescents in America emphasizing the quest for identity, independence, values, and sexual orientation. The influence of society, family, school, and peers is analyzed. Strategies for helping troubled adolescents are discussed.",,,,PSCI 112D.,,,,,
PSYCH,46A,Introduction to Human Memory,4,III,"Covers the core concepts of modern research and theorizing about human memory, including structural subdivisions (e.g., perceptual memory, short-term memory, long-term memory), different measures of memory (e.g., recall, reorganization), and some practical applications of memory research (e.g., mnemonics).",,,,,,,,,
PSYCH,56L,Acquisition of Language,4,III,"What children say, what they mean, and what they understand. Theories about the learning of language by one-, two-, and three-year-olds. Comparison of kinds of data on which these theories are based.",,,LSCI 51.,,,,,,
PSYCH,78A,Self-Identity and Society,4,III,"Studies sociological contributions to theory and research in social psychology, with focus on the social influences on personality, attitudes, beliefs, and behavior; socialization, human groups, and social interaction.",,,SOCIOL 31.,,,,,,
PSYCH,89,Special Topics in Lower-Division Psychology,4,,Studies in selected areas of psychology at the lower-division level. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
PSYCH,H101A,Honors Seminar in Psychology I,4,,Focuses on the research activities and honors thesis research projects of each student and the research of various Cognitive Sciences faculty. Students discuss their research interests in the early and later stages of their projects. Research projects and write-ups required.,,Psychology Majors only. Cognitive Sciences Majors only. Social Science Honors students only.,,,,Pass/no pass only.,May be taken for credit 2 times.,,
