department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ROTC,10L,Military Science-Basic Leadership Laboratory,1,,Provides hands-on and practical military science material covered in the corresponding military science courses.,,,,,,Workload Credit P/NP Only.,May be repeated for credit unlimited times.,,
ROTC,11,Military Science-Personal Development,1,,"Focuses on life skills such as physical fitness, nutrition, and time management while providing an introduction to military knowledge, customs, and skills.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,12,Military Science-Leadership I,1,,"Focuses on the fundamentals of leadership, Army leadership values, ethics, and counseling techniques.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,13,Military Science-Tactical Leadership I,1,,"Focuses on leadership at the tactical level and includes instruction in fundamental military skills such as map reading, land navigation, squad and platoon operations, and resource planning techniques.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,21,Military Science-Team Leadership I,2,,Explores the dimensions of creative and innovative tactical leadership strategies and styles by examining team dynamics and two historical leadership theories that form the basis of the Army leadership requirements model.,,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,22,Military Science-Team Leadership II,2,,Explores team dynamics and two historical leadership theories that form the basis of the Army leadership requirements model.,,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,23,Military Science-Tactical Leadership II,2,,"Examines the challenges of leading tactical teams in the OE. Highlights dimensions of terrain analysis, patrolling, and operation orders.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,100L,Military Science-Advanced Leadership Laboratory,1,,Provides hands-on and practical exercises for the military science material covered in the corresponding military science courses as well as leader training through practical application of the Leadership Development Program.,,,,,,Workload Credit P/NP Only.,May be repeated for credit unlimited times.,ROTC 131 or ROTC 132 or ROTC 133 or ROTC 141 or ROTC 142 or ROTC 143 or ROTC 197.,
ROTC,131,Military Science-Leadership II,3,,"Challenges cadets to study, practice, and evaluate adaptive leadership skills as they are presented with challenging scenarios related to squad tactical operations. Cadets receive systematic and specified feedback on their leadership attributes and core leader competencies.",ROTC 11 and ROTC 12 and ROTC 13 and ROTC 21 and ROTC 22 and ROTC 23,,,,,Workload Credit Letter Grade with P/NP.,,ROTC 100L,
ROTC,132,Military Science-Team Leadership III,3,,"Provides cadets systematic and specific feedback on their leadership attributes and core leader competencies. Based on such feedback, as well as their own self-evaluations, cadets continue to develop their leadership and critical thinking abilities.",ROTC 11 and ROTC 12 and ROTC 13 and ROTC 21 and ROTC 22 and ROTC 23,,,,,Workload Credit Letter Grade with P/NP.,,ROTC 100L,
ROTC,133,Military Science-Tactical Leadership III,3,,"Uses increasingly intense situational leadership challenges to build cadet awareness and skills in leading small units. Skills in decision-making, persuading, and motivating team members when ""under fire"" are explored, evaluated, and developed.",ROTC 11 and ROTC 12 and ROTC 13 and ROTC 21 and ROTC 22 and ROTC 23,,,,,Workload Credit Letter Grade with P/NP.,,ROTC 100L,
ROTC,141,Military Science-Leadership III,3,,"Transitions the focus of student learning from being trained, mentored, and evaluated as a cadet to learning how to train, mentor, and evaluate cadets. Cadets begin to learn the duties and responsibilities of an Army staff officer.",ROTC 131 and ROTC 132 and ROTC 133,,,,,Workload Credit Letter Grade with P/NP.,,ROTC 100L,
ROTC,142,Military Science-Leadership IV,3,,"Requires students to continue to train, mentor, and evaluate underclass cadets. Cadets learn to safely conduct training by understanding and employing the Composite Risk Management Process and the Comprehensive Soldier Fitness (CSF) program.",ROTC 131 and ROTC 132 and ROTC 133 and ROTC 141,,,,,Workload Credit Letter Grade with P/NP.,,ROTC 100L,
ROTC,143,Military Science-Officership,3,,"Explores the dynamics of leading in the complex situations of current military operations in the OE. Cadets examine differences in customs and courtesies, military law, principles of war, and rules of engagement in the face of international terrorism.",ROTC 131 and ROTC 132 and ROTC 133 and ROTC 141 and ROTC 142,,,,,,,ROTC 100L,
ROTC,151,United States Military History-1607 to 1865,3,,"Examines the creation of the American military establishment and traces its evolution in the context of the changing nature of warfare, the progression of military professionalism, and social, political, economic, and technological developments through the Civil War.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,152,United States Military History-1865 to 1945,3,,"Examines the evolution of the American military establishment and the progression of military professionalism in terms of social, political, economic, military, and technological developments from the end of the Civil War through World War II.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,153,United States Military History-1945 to 2001,3,,"Examines the evolution of the American military establishment and the progression of military professionalism in terms of social, political, economic, military, and technological developments from the Cold War to the War on Terrorism.",,,,,,Workload Credit Letter Grade with P/NP.,,,
ROTC,197,Military Science Independent Studies,2-4,,"Provides intensive, individual study with scheduled meetings to be arranged between Cadre and student. Assigned reading and tangible evidence of mastery of subject matter required.",,,,,,Workload Credit Letter Grade with P/NP.,May be taken for credit for 12 units.,,
