department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
AC ENG,20A,Academic Writing,5,,"Grammar, sentence structure, paragraph and essay organization of formal written English.",Placement into AC ENG 20A.,,,,,Pass/no pass only.,,,
AC ENG,20B,Academic Writing,5,,"Grammar, sentence structure, paragraph and essay organization of formal written English.",AC ENG 20A. Placement into AC ENG 20B is also accepted.,,,,,Pass/no pass only.,,,
AC ENG,20C,Essentials of Academic Writing,5,,"Grammar, sentence structure, paragraph and essay organization of formal written English.",AC ENG 20B. Placement into AC ENG 20C is also accepted.,,,,,Pass/no pass only.,,,
AC ENG,20D,Academic Writing,5,,"Grammar, sentence structure, paragraph and essay organization of formal written English.",AC ENG 20C,,,,,Pass/no pass only.,,,
AC ENG,22A,Academic English Reading and Vocabulary,2,,"Intensive reading exercises with occasional practice in extensive reading, focusing on comprehension, development of vocabulary, syntax, rhetorical features, reading strategies, and study skills.",Placement into AC ENG 22A is required.,,,,,,,,
AC ENG,22B,ESL Reading and Vocabulary,2,,"Extensive reading and discussion with emphasis on journal articles, textbook chapters, notetaking, and the interpretation of charts, diagrams, tables, and figures.",,,,,,Pass/no pass only.,,,
AC ENG,23A,ESL Pronunciation I,2,,"Designed for international graduate students. Provides an emphasis on pronunciation. Development of listening and speaking skills in five fundamental areas: pronunciation, intonation, word stress, listening comprehension, and informal campus communication. Presentations of personal experiences and reports on graphs.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
AC ENG,23B,ESL Conversation II,2,,"Designed for international graduate students. Provides an emphasis on conversational fluency. Further development of listening and speaking skills: review of English sounds, sentence stress, and rhythm. Oral reports, debates, and reports on graphs and surveys.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
AC ENG,23C,ESL Advanced Communication III,2,,"Designed for international graduate students with advanced communication skills. Further development of listening and speaking skills: review of minimal pairs, consonant blends, intonation, stress and rhythm. Oral presentations emphasized utilizing graphs, syllabi, academic terms, and video presentations on academic work.",AC ENG 23A or AC ENG 23B,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
AC ENG,24,ESL International TA Workshop,2,,Designed for advanced-level international students preparing to be teaching assistants. Provides extensive practice in oral and written communication skills associated with teaching introductory-level college courses and participating in academic presentations and discussions. Review and analysis of language problems.,AC ENG 23A or AC ENG 23B or AC ENG 23C,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
AC ENG,28,Grammar,2-4,,"A full review of English grammar covering the following areas: grammar terms, verb tenses, verb forms, conditionals, passive and word forms, punctuation, sentence structure. The concepts are applied in targeted sentence and paragraph writing practice.",,,,,,Pass/no pass only.,May be taken for credit 3 times.,,
AC ENG,29,Special Topics in ESL,2,,"Directed and individualized work in English as a second language not covered in the AC ENG 20, 21, 22 sequence.",,,,,,Pass/no pass only.,Unlimited as topics vary.,,
AC ENG,139W,Advanced Academic Writing Across the Curriculum,4,Ib,"Designed for transfer students who speak English as a second language. Focuses on developing academic reading and writing skills including essay content, organization, vocabulary, and grammar. Academic content also covered.",Satisfactory completion of the Lower-Division Writing requirement.,Restricted to students whose first language is not English.,,,,,,,
