department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ART,1A,"Art in Context: History, Theory, and Practice",4,IV,"First in a three-quarter foundation sequence introducing students to a broad range of contemporary art, media, and practices in relation to their twentieth-century cultural and historical antecedents. ART 1A deals specifically with contemporary painting and photography.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,1B,"Art in Context: History, Theory, and Practice",4,IV,"Deals with film/video/performance. Concerned with the development of modern/contemporary film, video, and performance, with a focus on experimental and avant-garde production from the early twentieth-century to today.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,1C,"Art in Context: History, Theory, and Practice",4,IV,"Third in a three-quarter foundation sequence introducing students to a broad range of contemporary art, media, and practice in relation to their twentieth-century cultural and historical antecedents. Deals specifically with space and cyberspace.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,8,Changing Creativity,4,IV,"Explores creativity as a changing concept in historical and contemporary terms from the perspectives of producers, consumers, and institutions. Encompasses international perspectives and the role of new technologies in considering creativity as a resource for innovation and social change.",,,,,,,,,
ART,9A,"Visual Culture: Media, Art, and Technology",4,IV,"Examines creative activities in all spheres of life, including the ""artistic"" impulses that dwell in the individual. Culture is addressed in broad terms of the many institutions and cultural forces that shape everyday activities of listening, seeing, doing.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,9B,Visual Culture: A Culture Divided,4,IV,"Throughout the 1980s and 1990s, controversies flourished in the mainstream media over purportedly obscene art, anti-American writing, and moral decay, among other issues. Examines these new conflicts as they manifest themselves in public life and everyday experience.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,9C,Visual Culture: Thematic Investigations,4,IV,"Considers a broad range of concerns and questions raised by various acts of appropriation in contemporary art and visual culture, such as originality, authenticity, authorship, translation, audience and aesthetics, temporal dimensions of a work, and context.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,11A,Topics in History of Contemporary Art,4,,"Surveys mid-nineteenth and twentieth-century art production, from modernity through post-modernity, in a historical and cultural context.",ART 9A,Art Majors only.,,,,,May be taken for credit 2 times as topics vary.,,
ART,12A,"Art, Design, and Electronic Culture",4,IV,"Introduction to historical and theoretical foundations of digital media art, tracing how information technologies seeded growth of new expressive medium. Considers how today's pervasive digital culture evolved through interdisciplinary collaborations between artists, engineers, scientists, scholars.",,,,,,,,,
ART,12B,"Technology, Culture, and Society: Steam to Steampunk",4,IV,"A survey of the ongoing interactions between technological and social change through the 19th century and 20th century, with special attention to the history of computing, changing arts and cultural practices, and the idea of the Anthropocene.",,,,,,,,,
ART,12C,Intelligences of Arts,4,III,"Introduces contemporary neuroscience and new approaches to cognition - embodied, enactive, extended, situated, distributed. Reviews the history of related  ethological, biological, psychological, technological, and philosophical traditions. Considers arts and cultural practices from these and other perspectives, and considers case studies.",,,,,,,,,
ART,20A,Basic Drawing I,4,,"Encourages an investigation of the premises and limits of drawing, primarily, but not inevitably, as a two-dimensional medium. Includes slide presentations and discussions of the historical uses of a wide range of drawing. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,20B,Basic Drawing II,4,,"Continuation of the investigation initiated in ART 20A, with an emphasis on experimentation, personal investigation, and development of conceptual working premises, as well as the acquisition of necessary skills. Group discussion and critique are emphasized. Materials fee.",ART 20A,Art Majors have first consideration for enrollment.,,,,,,,
ART,30A,Basic Painting I,4,,"Examination of the fundamental components of painting: color, form, space, surface, scale, and content. Studio work, slide presentations, and critiques of student work. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,30B,Basic Painting II,4,,"Further examinations of the essential qualities of painting: color, form, space, surface, scale, and content. Studio work, slide presentations, and critiques of student work. Materials fee.",ART 30A,Art Majors have first consideration for enrollment.,,,,,,,
ART,40,Basic Sculpture,4,,"The practice of sculpture in the contemporary arts; inclusion of spatial interventions, site-specific and environmental design, appropriation of found materials; techniques in cutting joining, and assembly of wood, metals, and plastics. May include casting, welding, and ceramics. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,50A,Matter and Media,4,,"A project-based introduction to tools and approaches for creating and sharing digital media content within Internet-mediated social environments, with a particular emphasis on art-making and personal expression.  Includes an overview of basic user experience and interaction design principles.",,,,,,,,,
ART,50B,Interaction and Experience,4,,"An overview of digital video and audio production for the Web, emphasizing art-making and personal expression. Includes digital media aesthetics and conceptual design, basic audio and video recording, and fundamentals of desktop video, audio, and Web authoring software applications.",ART 50A,,,,,,,,
ART,50C,Digital Media: Interaction Design,4,,"Principles and practices of interaction design for interactive digital media systems that provide for active involvement of the participant. Students gain experience with interaction design issues through a series of media art projects, emphasizing art-making and personal expression.",ART 12A and ART 12B and ART 50A and ART 50B,,,,,,,,
ART,51,Basic Ceramic Sculpture,4,,"Exploration of use of clay as sculptural basis with an emphasis on development of an idea and its relation to contemporary and experimental art practice. Hand-building, glazing, finishing processes, and use of other structural materials. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,65A,Foundations in Media Design,4,,"Provides an overview of media design in the digital age, covering principles of design for different media (2D, time-based, interactive); history of relationship between art and design; and practice in working with different design approaches. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,65B,Foundations in Internet Art and Design,4,,"Introduction to creating art for the Internet, covering history and structure of networks; key types of net-based interactivity; basics of Web design and scripting.  Materials fee.",ART 65A. Recommended: ART 11B.,Art Majors have first consideration for enrollment.,,,,,,,
ART,65C,Gizmology and Kinetics,4,,"Provides students with basic skills in materials, construction and design applicable to making machines, musical instruments and things with moving parts enabling work in kinetic sculpture, custom interactive systems, Mechatronics, Robotics, and Maker/DIY culture. Materials fee.",,,,,,,,,
ART,71A,Introduction to Photography I,4,,"Introduction to technical underpinnings emphasizing photography as a contemporary art practice. Topics include 35mm non-automatic camera operation, exposure and lighting, black and white printing, introduction to digital photography, discussion of critical and historical issues. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,71B,Introduction to Photography II,4,,"Techniques covered include medium and large format cameras, digital photography, studio lighting, digital and analog color printing, mural room. Conceptual direction is developed through critiques, critical readings, discussions, slide lectures.  Materials fee.",ART 71A,Art Majors have first consideration for enrollment.,,,,,,,
ART,81A,Digital Filmmaking Production I,4,,"Introduction to three production stages of video making.  Study of the narrative structure of cinema and acquisition of video production skills in camera, lighting, sound, and editing. Production work, readings, and screenings outside of class are assigned. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,81B,Digital Filmmaking Production II,4,,"Focuses on video stage production, technical skills including camera operation, stage lighting, sound recording, and construction of basic scenic elements.  Emphasis is placed on the function and responsibilities of the production crew and proper working and safety procedures. Materials fee.",ART 81A,Art Majors have first consideration for enrollment.,,,,,,,
ART,91,Basic Performance Art,4,,"Exploration of objects, gesture, action, text, image, and media to create narrative or non-narrative works. Elements of theory and history of performance art are discussed to illustrate techniques and styles to understand, identify, and articulate artistic vision and voice.",,Art Majors have first consideration for enrollment.,,,,,May be taken for credit 2 times.,,
ART,95,SPECIAL TOPICS IN BASIC MEDIA,4,,Basic instruction in media or disciplines not otherwise represented in the regular curriculum. Topics vary according to the instructor.,,Art Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
ART,100,Special Topics in Art,4,,"Materials fee, topic dependent.",ART 9A. Lower-division writing strongly recommended.,Art Majors only.,,,,,May be taken for credit 6 times as topics vary.,,
ART,101W,Artists as Writers,4,Ib,"Contemporary art practice involves text, as final form or an integral element. Many contemporary artists consider writing as essential to their practice. Covers historical and contemporary uses of text and image as well as artists' writing.",ART 9A and ART 11A. Satisfactory completion of the lower-division writing requirement.,Art Majors only.,,,,,,,
ART,106A,Programming for Artists,4,,"Programming as a means to create interactive artworks with an emphasis on the integration of video, sound, text, and stills. Topics include basic concepts in programming, understanding the limits of code, working with video and audio files, interface design. Materials fee.",ART 65A. Recommended: ART 11B.,Art Majors only.,,,,,May be taken for credit 2 times.,,
ART,106C,Design for Print,4,,Investigates the use of print for communication as an artist. Covers the fundamentals of print design and output using digital media.  Materials fee.,ART 65A. Recommended: ART 11B.,Art Majors only.,,,,,May be taken for credit 2 times.,,
ART,108,Digital Filmmaking Project I,4,,"Students learn to conceive, develop, and produce original video works building directly upon previously learned skills. Use of video stage and post-production editing facilities. Lectures on video/film subjects, production strategies, readings, screening, field trips, and group critiques. Materials fee.",ART 81A and ART 81B,Art Majors only.,,,,,,,
ART,109,Performance and the Camera,4,,"Surveys the development of contemporary artists who use performance strategies in the making of videos and films. Students analyze the artist's conceptual approach to performative gestures, actions, and landscapes created for their video or film art.",ART 1B or ART 81A or ART 91 or ART 128,Art Majors only.,,,,,,,
ART,110A,Mechatronic Art I,4,,"Introduces the practice and theory of analog electronics, emphasizing the design and development of simple interactive systems and the integration of such systems into real-world contexts of performance, installation, sculpture, and automated artifacts. Materials fee.",,,,,,,,,
ART,110B,Mechatronic Art II,4,,"Introduces the practice and theory of embedded microcontrollers, digital electronics, coding, sensor interfacing, motor control, and output stages along with mechanical and electromechanical design and construction, emphasizing the integration of such systems into real-world contexts of performance, installation, and art-making.  Materials fee.",ART 110A,,,,,,,,
ART,110C,Mechatronic Art III,4,,"As the capstone to the Mechatronic Art series, students develop major projects utilizing electronics, microcontrollers, sensors, and electromechanical devices, in a methodical and supervised context, with technical, design, and aesthetic advice and critique. Materials fee.",ART 110A,,,,,,,,
ART,113,How to be Clever with Stuff,4,,"How to Be Clever with Stuff is an introduction to the skilled embodied practices of arts and crafts, working with hand tools, wood, and steel. Class includes technical lecture/demos, short technical assignments, a self-initiated final project, and design drawing. Materials fee.",,Art Majors have first consideration for enrollment.,,,,,,,
ART,115W,Writing Nearby,4,Ib,Art writing is increasingly an area of scholarship unto itself as well as a discursive arm of contemporary art practice. Investigates the politics of art writing as well as training students in its various writing practices.,ART 9A and ART 11A. Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only.,,,,,,,
ART,119,Issues in Contemporary Painting,4,,"Investigation of issues in modern and contemporary art work and criticism, wherein an assessment of Modernist influences is followed by the examination of contemporary painting as a cross-disciplinary practice employing popular culture, ""high art,"" theory, and new technology.",ART 9A. Recommended: Satisfactory completion of the upper-division writing requirement.,Art Majors only.,,,,,May be taken for credit 2 times.,,
ART,119A,Issues in Contemporary Drawing,4,,"Investigation of drawing as a primary practice rather than a developmental tool. Explores the relationship between Conceptualism, process and content, and considers the historical changes in method, presentation, and theory, from past to present.",ART 9A,,,,,,,,
