department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
DANCE,2,Dance Health and Injury Prevention,4,,An overview of factors that affect the health of dancers. Includes evaluation of general health measures and prevention and management of common dance injuries.,,Dance Majors only. Dance - Choreography Majors only. Dance - Performance Majors only.,,,,,,,
DANCE,3,Scientific Concepts of Health,4,II,"Introduction to the scientific foundations of health, emphasizing those pertaining to success in college and lifetime wellness. Includes principles of cardiorespiratory, musculoskeletal, flexibility, and nutritional fitness. A variety of learning experiences are offered to apply science to real life.",,,,,,,,,
DANCE,14,Social Dance,2,,"Contemporary and historical forms.  Current ballroom, disco, and Western square dance forms; Latin ballroom dances; dances from the 20s, 30s, and 40s.",,,,,,Pass/no pass only.,,,
DANCE,21A,Music for Dancers,4,,"Emphasis on the development of musical skills most pertinent to the dancer: vocabulary, notational literacy, rhythmic and melodic acuity, score reading, and fundamental analysis; working with live accompaniment.",,Dance Majors only. Dance - Choreography Majors only. Dance - Performance Majors only.,,,,,,,
DANCE,30A,Studio Workshop in Ballet I,2,,Beginning ballet: fundamentals and principles of classical ballet with an emphasis on technique.,,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,30B,Studio Workshop in Ballet I,2,,Beginning ballet: fundamentals and principles of classical ballet with an emphasis on technique.,DANCE 30A,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,30C,Studio Workshop in Ballet I,2,,Beginning ballet: fundamentals and principles of classical ballet with an emphasis on technique.,DANCE 30A and DANCE 30B,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,34,Men's Studio Workshop in Ballet,2,,"Emphasis on men's traditional ballet, techniques, and movements.",DANCE 30A and DANCE 30B and DANCE 30C,,,,,,May be repeated for credit unlimited times.,,
DANCE,40A,Studio Workshop in Modern I,2,,"Fundamentals of modern dance:  principles of modern tradition developed from Graham, Humphrey, and Wigman.",,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,40B,Studio Workshop in Modern I,2,,"Fundamentals of modern dance:  principles of modern tradition developed from Graham, Humphrey, and Wigman.",,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,40C,Studio Workshop in Modern I,2,,"Fundamentals of modern dance:  principles of modern tradition developed from Graham, Humphrey, and Wigman.",,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,50A,Studio Workshop on Jazz I,2,,Fundamentals of jazz:  principles of jazz dance and contemporary forms incorporating the personal point of view of the instructor.,,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,50B,Studio Workshop on Jazz I,2,,Fundamentals of jazz:  principles of jazz dance and contemporary forms incorporating the personal point of view of the instructor.,DANCE 50A,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
DANCE,50C,Studio Workshop on Jazz I,2,,Fundamentals of jazz:  principles of jazz dance and contemporary forms incorporating the personal point of view of the instructor.,DANCE 50B,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
