department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
DRAMA,10,Introduction to Theatre,4,IV,"An interactive introduction to the world of theatre that serves to develop an appreciation of theatrical arts, to establish an awareness of landmarks within the performance history, and to create an understanding of the collaborative roles and departments that exist.",,,,,,,,,
DRAMA,11,The Rock and Roll Spectacle Show,4,IV,"A thorough overview to the development and cultural significance of the Rock 'n' Roll Spectacle show. Focus on historical and recent developments of the spectacle show, trends in the aesthetics of the field, and various sub-genres.",,,,,,,,,
DRAMA,14,Performing Rock 'N' Roll,4,,"Explores major movements in the history of rock 'n' roll in terms of performance, not virtuosity necessarily of the performers as musicians, rather as performances of aesthetics in modes of embodied ideology, iconoclastic spectacle, mixed media fashion, and subcultural formation.",,,,,,,,,
DRAMA,15,Performance Now,4,IV,"Exposes students to what is most current in the world of performance and theatre.  Begins with a series of lectures on the idea of performance, and the various theories that frame it.",,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,,,
DRAMA,16,Performing Culture,4,IV,"Culture, aesthetics, and ideology (combined in the concept ""subculture"") work to fashion social identities. Using theories and methodologies of performance studies, with an emphasis on American culture, this course explores why and how culture is reinforced through performance.",,,,,,,,,
DRAMA,20A,Culture in Performance,4,IV,"A three-quarter foundation series exploring the rich depth of theatre, drama, and other genres of performance across a wide variety of worldwide forms, for performer and audience.",,,,,,,,,
DRAMA,20B,Culture in Performance,4,IV,"A three-quarter foundation series exploring the rich depth of theatre, drama, and other genres of performance across a wide variety of worldwide forms, for performer and audience.",,,,,,,,,
DRAMA,20C,Culture in Performance,4,IV,"A three-quarter foundation series exploring the rich depth of theatre, drama, and other genres of performance across a wide variety of worldwide forms, for performer and audience.",,,,,,,,,
DRAMA,30A,Acting,4,,Focuses on Stanislavski-based terminology and technique through theatre exercises and improvisation. The first part of a one-year series in basic acting technique and discipline.,,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,May be taken for credit 2 times.,,
DRAMA,30B,Acting,4,,Focuses on scene work and character development. The second part of a one-year series in basic acting technique and discipline.,DRAMA 30A,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,May be taken for credit 2 times.,,
DRAMA,30C,Acting,4,,"Focuses on monologues, auditions, callbacks, and the profession of acting. The third part of a one-year series in basic acting technique and discipline.",DRAMA 30A and DRAMA 30B,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,May be taken for credit 2 times.,,
DRAMA,34,Movement for Actors,4,,"A studio course in fundamentals of stretch, strength, and alignment; exploring spatial awareness and physical control through mime isolations, techniques, and related improvisation.",,,,,,,May be taken for credit 3 times.,,
DRAMA,35,Speech for the Theatre,4,,"An introductory course in voice and speech for actors, combining the body-based approach to voice developed by Fitzmaurice, and speech work of Knight and Thompson. Designed for the needs of actors and is not a public speaking course.",,Music Theatre Majors only. Drama Majors only.,,,,,May be repeated for credit unlimited times.,,
DRAMA,40A,Development of Drama,4,IV and VIII,"The development of Western Drama, concentrating on the drama's intellectual, social, and artistic foundations. About 10 plays and supplementary critical material are read each quarter. Greek Drama through Shakespeare.",,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,,,DRAMA 10
DRAMA,40B,Development of Drama,4,IV and VIII,"The development of Western Drama, concentrating on the drama's intellectual, social, and artistic foundations. About 10 plays and supplementary critical material are read each quarter. Restoration Drama through Ibsen.",,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,,,DRAMA 10
DRAMA,40C,Development of Drama,4,IV and VIII,"The development of Western Drama, concentrating on the drama's intellectual, social, and artistic foundations. About 10 plays and supplementary material are read each quarter. Contemporary Drama. Post Naturalistic theatre.",,Music Theatre Majors have first consideration for enrollment. Drama Majors have first consideration for enrollment.,,,,,,,DRAMA 10
DRAMA,50A,Introduction to Costume Design,4,,"Introduction to the process and procedures employed by the costume designer for the theatre. The elements of design are discussed in the context of character development, historical period, and style. Exercises extend to drawing, rendering, and investigation of human proportions.",,Music Theatre Majors only. Drama Majors only.,,,,,,,DRAMA 10
DRAMA,50B,Introduction to Scenic Design,4,,"Introduction to the principles and practice of scenic design. Weekly problems include research into various periods and styles of production with an emphasis on the conceptual idea. Perspective drawing, rendering, and model building are covered in studio exercises and assignments.",,Music Theatre Majors only. Drama Majors only.,,,,,,,DRAMA 10
