department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
EAS,15C,Introductory Topics in Chinese Literature,4,,"Introduces students to major themes in Chinese literature and culture through the close reading, discussion, and analysis of selected texts in English translation.",,Korean Literature and Culture Majors only. Chinese Studies Majors only. Japanese Language Literature Majors only. East Asian Cultures Majors only.,,,,,Unlimited as topics vary.,,
EAS,15J,Introductory Topics in Japanese Literature,4,,"Introduces students to major themes in Japanese literature and culture through the close reading, discussion, and analysis of selected texts in English translation.",,Korean Literature and Culture Majors only. Chinese Studies Majors only. Japanese Language Literature Majors only. East Asian Cultures Majors only.,,,,,Unlimited as topics vary.,,
EAS,15K,Introductory Topics in Korean Literature,4,,"Introduces students to major themes in Korean literature and culture through the close reading, discussion, and analysis of selected texts in English translation.",,Korean Literature and Culture Majors only. Chinese Studies Majors only. Japanese Language Literature Majors only. East Asian Cultures Majors only.,,,,,Unlimited as topics vary.,,
EAS,20,Topics in Asian Religions,4,IV and VIII,"An introduction to Asian religions (Hinduism, Buddhism, Confucianism, Taoism, Shamanism) including both elite doctrinal aspects and forms of more popular religiosity.",,,,,,,May be taken for credit 3 times as topics vary.,,
EAS,40,Topics in East Asian Popular Culture,4,IV and VIII,Selected topics in the popular cultural traditions of East Asia designed to introduce students both to problems in situating culture in a specific time and place and to contemporary theories of popular culture and their application to East Asian contexts.,,,,,,,Unlimited as topics vary.,,
EAS,55,Introduction to East Asian Cultures,4,IV and VIII,Interdisciplinary courses organized each year around a broad theme designed to introduce students to the cultures of East Asia. Topical organization of courses addresses issues that have been of importance historically and are reshaping East Asia today.,,,,,,,May be taken for credit 3 times as topics vary.,,
EAS,H84,Traveling East/West,4,IV,"Traveling East/West presents a wide range of travel writings by Chinese, Indian, and Euro-American authors in which they contemplate the complexities of cross-cultural encounters and how knowledge about others and knowledge of ourselves are closely intertwined.",,Campuswide Honors Collegium students only.,HUM H84.,,,,,,
EAS,110,Topics in Chinese Literature and Society,4,,Studies in Chinese texts in their social and cultural context(s). Conducted in English.,,,,,,,May be taken for credit 3 times as topics vary.,,
EAS,116,Topics in East Asian Religions,4,,"Selected topics in the religions of East Asia, e.g., Buddhism, Daoism, Shinto, Christianity, popular religions.",,,,,,,May be taken for credit 3 times as topics vary.,,
EAS,117,Topics in East Asian Philosophy,4,,"Selected topics in the philosophies of East Asia, e.g., Yoga, Buddhism, Vedanta, Confucianism, Taoism, and Shinto.",,,,,,,Unlimited as topics vary.,,
