department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ECON,1,Introduction to Economics,4,III,"An analysis of the problems society faces in organizing itself to provide goods and services. How decisions of government, business, and the individual relate to current economic problems such as unemployment, inflation, poverty, and environmental pollution.",,No Economics Majors. ECON 1 may not be taken for credit if taken concurrently or after ECON 20A or ECON 20B.,,,,,,,
ECON,11,The Internet and Public Policy,4,II or III,"How the Internet works. Current public policy issues concerning the Internet. Introductory economics. Communications law. Interactions between information technology, economics, and law. Case studies about Internet and communications policy.",,,ICS 11.,,,,,,
ECON,12,"Federal Reserve: Past, Present, and Future",4,,"Studies central banking in the United States from colonial times to the present. Focuses on the past, present, and future of the Federal Reserve and precursors to that system, which was established in 1913.",,,,,,,,,
ECON,13,Global Economy,4,"III, VIII",Acquaints students with the fundamental patterns of the global economy. Emphasizes the historical roots and political implications of economic choices.,,International Studies Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,IS 13.,,,,,,
ECON,15A,Probability and Statistics in Economics I,4,Va,"An introduction to probability, statistics, and econometrics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Examples from economics.",MATH 2A and MATH 2B,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,MGMT 7.,,,,,
ECON,15B,Probability and Statistics in Economics II,4,Va,"An introduction to probability, statistics, and econometrics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Examples from economics.",ECON 15A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,
ECON,17,An Economic Approach to Religion,4,III,"Introduction to how basic economic concepts such as demand, supply, consumption, production, competition, free-riding, innovation, regulation, and rent-seeking can be applied to understand observed religious behavior.",,,RLGN 17.,,,,,,
ECON,20A,Basic Economics I,4,III,"The fundamentals of microeconomics. The behavior of firms and consumers: markets, supply/demand, utility maximization, resource allocation, and efficiency.",,"Economics, Quantitative Economics, Business Economics, and Business Info Management majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4A may not be used as a substitute for ECON 20A.",,"MGMT 4A, ECON 23.",,,,,
ECON,20B,Basic Economics II,4,III,"The fundamentals of macroeconomics. Government behavior: monetary and fiscal policy, inflation, and unemployment. Effective fall 2006, the content of Economics 20B is macroeconomics. This course cannot be taken to repeat Economics 20B taken prior to fall 2006.",ECON 20A or ECON 13 or ECON 23,"Business Information Mgmt Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4B may not be used as a substitute for ECON 20B.",,MGMT 4B.,,,,,
ECON,23,Basic Economics for Engineers,4,III,"The fundamentals of microeconomics. The behavior of firms and of consumers: markets, supply/demand, utility maximization, resource allocation, and efficiency.",,Engineering Majors only. Mechanical Engineering Majors only. Aerospace Engineering Majors only. Civil Engineering Majors only. Environmental Engineering Majors only.,,ECON 20A.,,,,,
ECON,25,The Economics of Accounting Decisions,4,,"Introduction to accounting concepts and principles, including the accounting model and accounting style, transaction analysis, and preparation of financial statements. An analysis of the similarities and differences between accounting and economic concepts (e.g., value, profits).",ECON 20A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,MGMT 30A.,,,,,
ECON,100A,Intermediate Economics I,4,,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems.",ECON 20A and ECON 20B and MATH 2A and MATH 2B,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,ECON 105A.,,,,,
ECON,100B,Intermediate Economic II,4,,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems.",ECON 100A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,ECON 105B.,,,,,
ECON,100C,Intermediate Economic III,4,,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems.",ECON 100B,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,ECON 105C.,,,,,
ECON,105A,Intermediate Quantitative Economics I,4,,An advanced and mathematical version of ECON 100A for students in the Quantitative Economics major.,ECON 20A and ECON 20B and MATH 2A and MATH 2B and MATH 3A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,ECON 100A.,,,,,
ECON,105B,Intermediate Quantitative Economics II,4,,An advanced and mathematical version of ECON 100B for students in the Quantitative Economics major.,ECON 105A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,ECON 100B.,,,,,
ECON,105C,Intermediate Quantitative Economics III,4,,An advanced and mathematical version of ECON 100C for students in the Quantitative Economics major.,ECON 105B,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,ECON 100C.,,,,,
ECON,107,Economics of Asymmetric Information,4,,"Focuses on the effects of asymmetric information in the markets for traditional economic goods and resources, such as labor, insurance, used cars, credit, and in auctions and bargaining problems. Prerequisite:.",ECON 100A or ECON 105A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,109,Special Topics in Economic Theory,4,,Studies in selected areas of Economics. Topics addressed vary each quarter.,Prerequisites vary.,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,May be repeated for credit unlimited times.,,
ECON,115,Behaviorial Economics,4,,Studies the behavioral and psychological biases in economics settings. Both individual decisions and games are discussed.,ECON 20A and ECON 20B,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,116A,Game Theory I,4,,"Extensive form games with perfect information, and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",(ECON 15B or STAT 120B) and (ECON 100A or ECON 105A),Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,116B,Game Theory II,4,,"Two-quarter sequence on game theory. Bayesian games, extensive form games with imperfect information, zero-sum games.",ECON 116A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,122A,Applied Econometrics I,4,,Introduction to econometrics emphasizing practical applications in microeconomics and macroeconomics.,,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,"ECON 123A, ECON 123B.",,,,,ECON 100A or ECON 105A and (ECON 15B or MATH 130B or MATH 133A or STAT 120C)
ECON,122B,Applied Econometrics II,4,,Introduction to econometrics emphasizing practical applications in microeconomics and macroeconomics.,ECON 122A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,ECON 123B.,,,,,
ECON,122CW,Data Analysis Writing,4,Ib,Research writing course in econometrics focusing on individual research projects. Students employ econometric analysis to address an economic question in a 20-page paper and present their findings to the class in a short presentation.,ECON 15A and ECON 15B and ECON 122A and ECON 122B. Satisfactory completion of the Lower-Division Writing requirement.,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,
ECON,123A,Econometrics I,4,,"Specification, estimation, and testing of econometric models. Applications in various areas of microeconomics and macroeconomics.",MATH 2A and MATH 2B and MATH 3A and STAT 120A and STAT 120B and (STAT 120C or MATH 131C) and (ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C),Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,"ECON 122A, ECON 122B.",,,,,
ECON,123B,Econometrics II,4,,"Specification, estimation, and testing of econometric models. Applications in various areas of microeconomics and macroeconomics.",ECON 123A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,
ECON,123CW,Econometrics III,4,Ib,Seminar course in which students do an original econometric research project.,ECON 123B. Satisfactory completion of the Lower-Division Writing requirement.,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,
ECON,125,Business Forecasting,4,,"Students learn how to produce forecasts of the behavior of economic (and other) variables. The techniques examined are linear regression, nonlinear regression, and nonparametric kernel regression; AR, MA, ARMA, ARIMA, and Box-Jenkins.",ECON 122A,Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,MGMT 180.,,,,,
ECON,126,Computational Macroeconomics,4,,"Introduction to the computational methods for studying economic growth and the business cycle. Students learn how to write computer programs to simulate macroeconomic models, download and manage data from internet resources, and to do basic statistics.",,Business Economics Majors only. Economics Majors only. Quantitative Economics Majors only.,,,,,,,(ECON 100C or ECON 105C) and (ECON 122A or ECON 123A)
ECON,127A,Experimental Economics,4,,"Students will learn what constitutes proper experimental design and what laboratory experiments teach us about human behavior and the economy. Students will participate in a sample experiment, evaluate the results, and discuss experiment design and larger issues. Formerly ECON 117.",ECON 15B and ECON 100B,,,,,,,,
ECON,128,Machine Learning for Economists,4,,"Develops the theory and computation of recent methods at the intersection of econometrics and machine learning as used in economics and business. Building on intermediate econometrics, it introduces causal random forests, double machine learning, and neural networks.",ECON 123A,Business Economics Majors only. Economics Majors only. Quantitative Economics Majors only.,,,,,,,
ECON,129,Special Topics in Quantitative Methods,4,,Studies in selected areas of Quantitative Methods. Topics addressed vary each quarter.,Prerequisites vary.,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
ECON,131A,The Economics of Risk and Uncertainty,4,,The theory of insurance and joint-ownership of risky enterprises; optimal procedures for the allocation of uncertain payoffs.,,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,(ECON 15B or ECON 105A or MATH 130B) and (ECON 100B or ECON 105B or STAT 120B or MATH 133A) and (ECON 100C or STAT 120C)
ECON,132A,Introduction to Financial Investments,4,,"Modern theories of investment and their application to the study of financial markets. The relation between risk and return, diversification, asset pricing, efficient markets hypothesis, and the market valuation of stocks, bonds, options, and futures.",,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,MGMT 141.,,,,,ECON 15A and ECON 15B and (ECON 122A or ECON 123A) and (ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C) or (MATH 130A and STAT 120A and STAT 120B and STAT 120C) or MATH 130B or MATH 133A
ECON,134A,Corporate Finance,4,,"Provides an overview of the modern theory and practice of corporate finance and focuses on two fundamental financial decisions; investment as well as financing. Beginning with discounted cash flow analysis, basic theory will be applied to the valuation of stocks.",(ECON 100A and ECON 100B and ECON 100C) or (ECON 105A and ECON 105B and ECON 105C) and (ECON 15A or MATH 130A or STAT 120A) and (ECON 15B or STAT 120B),Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,MGMT 109.,,,,,
ECON,135,Mathematics of Finance,4,,"After reviewing tools from probability, statistics, and elementary differential and partial differential equations, concepts such as hedging, arbitrage, Puts, Calls, the design of portfolios, the derivation and solution of the Blac-Scholes, and other equations are discussed.",MATH 3A or MATH H3A,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Mathematics Majors have first consideration for enrollment.,MATH 176.,,,,,,
ECON,137W,Financial Markets and the Macroeconomy,4,Ib,Students are required to write a paper on a research question related to.,ECON 122A or ECON 123A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
ECON,139,Special Topics in Financial Economics,4,,Studies in selected areas of Financial Economics. Topics addressed vary each quarter.,Prerequisites vary.,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
ECON,140,Managerial Economics,4,,"A collection of concepts and methods for effective decision making. Explores how the tools of microeconomics, including game theory and industrial organization theory, can be used to make better managerial decisions, particularly those involving allocation of resources within firms.",(ECON 100A and ECON 100B) or (ECON 105A and ECON 105B),Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,141A,Public Economics I,4,,Examines the role of the government in the economy and its impact on individuals and firms.,(ECON 100A and ECON 100B) or (ECON 105A and ECON 105B),,,,,,,,
ECON,141B,Public Economics II,4,,"Theory of public goods, externalities, voting models, analysis of bureaucracy, the Tiebout model, income redistribution, intergovernmental grants.",(ECON 100A and ECON 100B) or (ECON 105A and ECON 105B),Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,142A,Industrial Organization I,4,,"The theory of market structure. Imperfect markets, government policies, and industry performance.",(ECON 15A and ECON 15B) and (ECON 100A and ECON 100B) or (ECON 105A and ECON 105B),Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
ECON,142CW,Industrial Organization III,4,Ib,Research in industrial organization.  Satisfies the honors research requirement.,(ECON 100A and ECON 100B) or (ECON 105A and ECON 105B). Satisfactory completion of the Lower-Division Writing requirement.,Business Economics Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment.,,,,,,,
ECON,143,Energy Economics,4,,"The economics of markets for oil, natural gas, electricity, and renewable energy, and their interactions with each other and the rest of the economy. Effects of government intervention, policy measures, economic policy issues arising between energy use and the environment.",ECON 15A and (ECON 100A or ECON 105A),Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,,,,,,,
