department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
EDUC,10,Educational Research Design,4,III,"Designed to help students become intelligent consumers of research and independent researchers, and provides an introduction to the basic principles of educational research. Topics include research questions, literature reviews, and qualitative and quantitative research designs.",,Education Sciences Majors have first consideration for enrollment.,,SE 10.,,,,,
EDUC,15,Statistics for Education Research,4,Va,"Provides an introduction to the use of statistics in educational research. Focuses on testing and measurement, and provides basic tools to read, interpret, and draw conclusions from quantitative educational research.",EDUC 10,Education Sciences Majors have first consideration for enrollment.,,SE 13.,,,,,
EDUC,25,Introduction to Education: Disciplinary Perspectives,4,III,"Provides insights into educational organizations and processes by developing understanding of concepts used by four different disciplines (economics, history, psychology, and sociology) to analyze key issues and phenomenon in the field of education that profoundly influence individual life course outcomes.",,Education Sciences Majors have first consideration for enrollment.,,,,,,,
EDUC,30,21st Century Literacies,4,III,"Provides an overview of literacies required for academic and career success in the 21st century. Issues addressed include reading, writing, academic language, research skills, media and technology skills, scientific literacy, critical thinking, communication, collaboration, and creativity.",,Education Sciences Majors have first consideration for enrollment.,,,,,,,
EDUC,40,Theories of Development and Learning Applied to Education,4,III,Provides an introductory examination of central theories of human development and learning in their application to contemporary educational settings.,,Education Sciences Majors have first consideration for enrollment.,,,,,,,
EDUC,50,"Origins, Purposes, and Central Issues in K-12 Education",4,,"An introduction to the role of education in U.S. society and to central issues in K-12 education. Education is studied from four different perspectives: social, historical, philosophical, and political.",,Education Sciences Majors have first consideration for enrollment.,,,,,,,
EDUC,52,Foundations of Bilingual Education and Bilingualism,4,,"Provides a comprehensive overview of current issues in bilingual education and bilingualism. Topics include dimensions of bilingualism, the effects of bilingualism on children's linguistic and cognitive development, bilingual education programs, literacy, special needs, and assessment.",,,"LSCI 51B, HUM 52.",,,,,,
EDUC,55,Knowing and Learning in Mathematics and Science,5,III,"Multidisciplinary study of knowing and learning in secondary school mathematics and science. Topics include standards for knowing, scientific epistemologies, mental representations, problem solving, expert-novice studies, assessment, and domain-specific thinking, learning, and teaching. Applied analysis of learning through clinical interviews.",PS 5 or BIOL 14,,,,,,,,
EDUC,100,Educational Strategies for Tutoring and Teacher Aiding,4,,Placement in a public elementary or secondary school to gain experience as a tutor or teacher aide. Emphasis on cognitive learning and the development of instructional strategies and resources which can be used in effective cross-age and cross-cultural experiences.,,Education Sciences Majors have first consideration for enrollment.,,,,Pass/no pass only.,May be taken for credit 3 times.,,
EDUC,101,Strategies for Tutoring and Teacher Aiding in a Bilingual Classroom,4,,Placement in a dual immersion school setting to gain experience as a bilingual (Spanish) tutor or teacher aide. Emphasis on cognitive learning and the development of instructional strategies and resources which can be used in effective cross-age and cross-cultural experiences.,Must be able to communicate in Spanish.,Education Sciences Majors have first consideration for enrollment.,,,,Pass/no pass only.,,,
