department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
FLM&MDA,H80,Honors Seminar: Race Sport Media,4,IV and VII,"Honors seminar examining the intersection of race, sports, and media in everyday U.S. popular culture (film, TV, advertising, gaming, social media) and political culture. Materials fee.",,Campuswide Honors Collegium students only.,,,,,,,
FLM&MDA,85A,Introduction to Film and Visual Analysis,4,IV,"Introduces the language and techniques of visual and film analysis. Teaches students to analyze the moving image; emphasize framing, camera movement, and sound; and conveys how editing produces meaning, reproduces historical ideologies, fosters or disrupts narrative, and cues spectators.",Satisfaction of the UC Entry Level Writing requirement.,,,,,,,,
FLM&MDA,85B,Broadcast Media History and Analysis,4,IV,"History of broadcast media from the radio era to the present day, including social, political, institutional, and audience analysis as well as methods of visual and aural analysis of these media.",Satisfaction of the UC Entry Level Writing requirement.,,,,,,,,
FLM&MDA,85C,New Media and Digital Technologies,4,IV,"The study of digital media, computer-mediated communication, and Internet cultures, from historical and theoretical perspectives.",Satisfaction of the UC Entry Level Writing requirement.,,,,,,,,
FLM&MDA,101A,History of Film I: The Silent Era,4,,"The aesthetic, industrial, and socio-historical developments of cinema in the U.S. and internationally from its invention to the adoption of synchronous sound. Includes early exhibition, developments in narrative and editing, the formation of the studio system, and avant-garde film movements. Materials fee.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
FLM&MDA,101B,History of Film II: The Studio Era,4,,"The aesthetic, industrial, and socio-historical developments of cinema in the U.S. and internationally from the 1930s through the 1960s. Includes the Hollywood studio system, propaganda films, Italian neorealism, post-war Japanese cinema, and the French New Wave. Materials fee.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
FLM&MDA,101C,History of Film III: The Contemporary Era,4,,"The aesthetic, industrial, and socio-historical developments of cinema in the U.S. and internationally from the late 1960s to the present. Includes New Hollywood and independent U.S. films, ethnic cinemas, postcolonial cinemas, East-Asian new waves, and digital filmmaking. Materials fee.",FLM&MDA 85A and FLM&MDA 101B. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
FLM&MDA,110,Film and Media Theory,4,,"Survey of major directions in film and media theory. Various theories of mass culture, realism, auteurism, semiotics, feminism, cultural studies, and theories of other media, with an emphasis on developing the student's ability to analyze and articulate a theoretical argument. Materials fee.",FLM&MDA 85A and FLM&MDA 85B and FLM&MDA 85C and (FLM&MDA 101A or FLM&MDA 101B or FLM&MDA 101C). Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
FLM&MDA,111,Film and Media Theory and Practice,4,,"Seminar focusing on issues in film and media production and editing. Reading and exercises to understand aspects of film and media production (montage, sound, film movement, directing, and mise en scene), and how ideology works in tandem with style.",FLM&MDA 85A and FLM&MDA 85B and FLM&MDA 85C and FLM&MDA 120A and (FLM&MDA 101A or FLM&MDA 101B or FLM&MDA 101C). Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
FLM&MDA,112,Genre Study,4,,"Critical approaches to the serial productions we call ""genre"" films such as westerns, weepies, musicals, horror films, and others; televisual genres, such as sitcoms, drama, comedy, news, docudrama, police; Internet categories, such as chat-rooms, listservs, Web pages.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
FLM&MDA,113,Narrative/Image,4,,"What relations do sound, image, and story assume in film, television, video, and Internet narratives? In what ways do these media interact with and borrow from each other and traditional story-telling media? How have the new media explored non-narrative strategies.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
FLM&MDA,114,"Film, Media, and the Arts",4,,"A synthetic entity, film draws on both established and popular arts. Looks at visual media's exchanges with ""high"" and ""low"" culture, exploring its relation to areas such as photography, music, painting, and architecture.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
FLM&MDA,115,Authorship,4,,"Theoretical and analytical discussions of visual media authorship, focusing on case studies of directors, producers, scriptwriters, and film, video, and digital artists.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,Unlimited as topics vary.,,
FLM&MDA,117A,Introduction to Screenwriting,4,,"Introduction to the technique and format of the screenplay, with a particular focus on its three act structural elements: coverage, treatment, and 60 beat outline. Materials fee.",FLM&MDA 85A. Satisfactory completion of the Lower-Division Writing requirement.,,,,,,,,
