department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MGMT FE,200,Thinking Strategically in the Digital Age for Managers,6,,"Focuses on the strategic and organizational challenges that a rapidly changing environment poses to the firm's management and frames them according to Merage's strategic emphasis on analytical decision making, innovation, and information technology.",,Graduate students only. Admin - Fully Employed Majors only.,,,,Satisfactory/unsatisfactory only.,,,
MGMT FE,201A,Business Analytics: Decision-Making for Managers,4,,"Methods of statistical inference, emphasizing applications to administrative and management decision problems. Topics include classical estimation, hypothesis testing, regression, correlation, analysis of variance, decision analysis, and forecasting. Evening or weekend course format.",,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
MGMT FE,201B,Management Science for Managers,4,,"Uses both prescriptive analysis and risk analysis to explore linear programming models, network problems, and simulation. The goal is to introduce and help students acquire some skills of logical thinking with formal models and improve students' decision making capability.",,Master of Business Admin Degree students only. Graduate students only.,,,,,,,
MGMT FE,202,Organizational Leadership for Managers,4,,Develops a better understanding of individual and group behavior in and across organizations; the frameworks by which to analyze and understand behavior in complex organizations; and enhances the skills required to manage collaboration and lead. Evening or weekend course format.,,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
MGMT FE,203A,Financial Reporting for Managers,4,,"Involves the development, analysis, and interpretation of financial accounting information for external reporting purposes. Emphasis on measurement and valuation issues in decision-making problems and cases. Evening or weekend course format.",,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
MGMT FE,203B,Driving Profitability Through Managerial Accounting,4,,"Teaches skills for making vital strategic and tactical decisions (e.g., outsourcing; adding/dropping product lines), to maximize profitability while managing risk. Also covers managerial tools (e.g., budgeting, cost-volume-profit analysis) to drive strategy implementation and incentivize employees. Taught in an evening/weekend format.",MGMT FE 203A or MGMTMBA 203A. MGMT FE 203A with a grade of C or better. MGMTMBA 203A with a grade of C or better,Master of Business Admin Degree students only. Graduate students only.,,,,,,,
MGMT FE,204A,Microeconomics for Managers in the Digital Age,4,,"Provides basic tools for analyzing economic decisions, the determinants and consequences of market structure and market failure. Topics include demand and supply analysis, production and cost theory, perfect competition, monopoly, and introductory game theory. Evening and weekend course format.",,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
MGMT FE,204B,Macroeconomics for Managers,4,,"Introduces use of macroeconomic analysis to manage the business cycle for competitive advantage. ""Business cycle-sensitive"" management is explored within the context of marketing, operations management, HRM, merger and acquisition activity, and capital financing and expenditures. Evening and weekend course format.",MGMT FE 204A or MGMTMBA 204A,Graduate students only. Business Administration Majors only.,,,,,,,
MGMT FE,205,Marketing Management,4,,"Introduction to marketing. Develops familiarity with fundamental concepts, theories, and techniques in marketing and acquaints students with the type of decisions made by marketing managers including customer targeting, product, pricing, placement, promotion, and research. Evening or weekend course format.",,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
MGMT FE,206,Business and Government for Managers,4,,"Introduces students to the many non-market issues that affect today's managers, such as environment protection, health and safety, intellectual property protection, antitrust, and lobbying. Takes an interdisciplinary approach using economics, political science, public policy, and law. Evening and weekend course.",,Graduate students only. Admin - Fully Employed Majors only.,,,,,,,
