department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
I&C SCI,3,Internet Technologies and their Social Impact,4,III,"Examines current Internet technologies and social implications at the individual, group, and societal level. Blogs, wikis, sharing of video, photos, and music, e-commerce, social networking, gaming, and virtual environments. Issues include privacy, trust, identity, reputation, governance, copyright, and malicious behavior.",,,,,,,,,
I&C SCI,4,Human Factors for the Web,4,II,"Principles of human-computer interaction in evaluating, designing, and developing information presented on the World Wide Web. User characteristics, usability analysis, navigation and organization. Color, typography, multimedia, information visualization, prototyping, user studies, evaluation strategies. Web accessibility.",,May not be taken for credit after IN4MATX 131.,,,,,,,
I&C SCI,5,Global Disruption and Information Technology,4,II,"Explores how new forms of information technology may support transition to a sustainable civilization. Topics include design and implementation of IT systems, science of global change, online community building, and ""green IT"". Activities involve reading, writing, discussion, and final project.",,,,,,,,,
I&C SCI,6B,Boolean Logic and Discrete Structures,4,Vb,"Relations and their properties; Boolean algebras, formal languages; finite automata.",High school mathematics through trigonometry.,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,6D,Discrete Mathematics for Computer Science,4,Vb,"Covers essential tools from discrete mathematics used in computer science with an emphasis on the process of abstracting computational problems and analyzing them mathematically. Topics include mathematical induction, combinatorics, and recurrence relations.",Recommended: I&C SCI 6B,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment. Computer Engineering majors have second consideration.,,,,,,,
I&C SCI,6N,Computational Linear Algebra,4,II and V.B,"Matrices and linear transformations, systems of linear equations, determinants, linear vector spaces, eigenvalues and eigenvectors, orthogonal matrices, diagonalization, and least squares. Topics taught primarily from an algorithmic perspective, including computational solutions, applications, and numerical error analysis.",,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,"MATH 6G, MATH 3A.",,,,,
I&C SCI,7,Introducing Modern Computational Tools,4,Va,"A unified look at a spectrum of modern tools for building, solving, and analyzing simple computational models (deterministic and random) in diverse subject areas. Tools include those for numeric/symbolic computation, and those for acquiring, organizing, translating, processing, and displaying information.",,,,,,,,,
I&C SCI,10,How Computers Work,4,II,"Introduction to digital computer and communication systems. Capabilities and limitations of information technology. Representing information in digital form. Overview of computer organization, internet, operating systems, software. Human-computer interaction and social impact.",,"May not be taken for credit after I&C SCI 31, I&C SCI 32, I&C SCI 32A, I&C SCI 51, I&C SCI 105, or IN4MATX 43.",,,,,,,
I&C SCI,11,The Internet and Public Policy,4,II or III,"How the Internet works. Current public policy issues concerning the Internet. Introductory economics. Communications law. Interactions between information technology, economics, and law. Case studies about Internet and communications policy.",,,ECON 11.,,,,,,
I&C SCI,20,Invitation to Computing,4,,"Foundational principles of computer science for students with no computing background that are interested in a related career. Big ideas of computing explored, including programming through use of sequential, conditional, iterative logic. Good computational practices, problem solving, and organization discussed.",,,,,,,,,
I&C SCI,31,Introduction to Programming,4,II and VB,"Introduction to fundamental concepts and techniques for writing software in a high-level programming language. Covers the syntax and semantics of data types, expressions, exceptions, control structures, input/output, methods, classes, and pragmatics of programming.",,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,"EECS 10, EECS 12, ENGRMAE 10.",,,,,
I&C SCI,32,Programming with Software Libraries,4,II and (VA or VB),"Construction of programs for problems and computing environments more varied than in I&C SCI 31. Using library modules for applications such as graphics, sound, GUI, database, Web, and network programming. Language features beyond those in I&C SCI 31 are introduced as needed.",I&C SCI 31 or CSE 41. I&C SCI 31 with a grade of C or better. CSE 41 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,32A,Python Programming and Libraries (Accelerated),4,II and (VA or VB),"Introduces Python syntax and semantics for fundamental programming concepts.  Constructing programs for varied problems and environments. Using library modules for applications such as graphics, sound, GUI, database, Web, and network programming. Accelerated course for students with previous programming background.",AP Computer Science A. AP Computer Science A with a minimum score of 3. Placement via a transfer course in computer programming or equivalent experience may also be accepted upon review.,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,33,Intermediate Programming,4,II and VB,"Intermediate-level language features and programming concepts for larger, more complex, higher-quality software. Functional programming, name spaces, modules, class protocols, inheritance, iterators, generators, operator overloading, reflection. Analysis of time and space efficiency.",I&C SCI 32 or CSE 42 or I&C SCI 32A. I&C SCI 32 with a grade of C or better. CSE 42 with a grade of C or better. I&C SCI 32A with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,45C,Programming in C/C++ as a Second Language,4,,"An introduction to the lexical, syntactic, semantic, and pragmatic characteristics of the C/C++ languages for experienced programmers. Emphasis on object-oriented programming, using standard libraries, and programming with manual garbage collection.",I&C SCI 33 or CSE 43 or EECS 40. I&C SCI 33 with a grade of C or better. CSE 43 with a grade of C or better. EECS 40 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,45J,Programming in Java as a Second Language,4,,"An introduction to the lexical, syntactic, semantic, and pragmatic characteristics of the Java language for experienced programmers. Emphasis on object-oriented programming, using standard libraries, and programming with automatic garbage collection.",I&C SCI 33 or CSE 43. I&C SCI 33 with a grade of C or better. CSE 43 with a grade of C or better,"School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment. I&C SCI 45J may not be taken for credit after I&C SCI 22, I&C SCI 23, or CSE 23.",,"I&C SCI 22, I&C SCI 23, CSE 23.",,,,,
I&C SCI,46,Data Structure Implementation and Analysis,4,Vb,Focuses on implementation and mathematical analysis of fundamental data structures and algorithms. Covers storage allocation and memory management techniques.,CSE 45C or I&C SCI 45C. CSE 45C with a grade of C or better. I&C SCI 45C with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,51,Introductory Computer Organization,6,II,Multilevel view of system hardware and software. Operation and interconnection of hardware elements. Instruction sets and addressing modes. Virtual memory and operating systems. Laboratory work using low-level programming languages.,(I&C SCI 31 or CSE 41 or I&C SCI 32A) and I&C SCI 6B,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,,
I&C SCI,53,Principles in System Design,4,,"Introduces basic principles of system software: operating systems, compilers, and networking. Exposure to the following topics through theoretical and practical programming experiences: linking and loading, process and memory management, concurrency and synchronization, network communication, programming for performance, etc.",I&C SCI 46 and I&C SCI 51. I&C SCI 46 with a grade of C or better. I&C SCI 51 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,,,I&C SCI 53L,
I&C SCI,53L,Principles in System Design Library,2,,Required laboratory section and co-requisite for I&C SCI 53.,I&C SCI 51,,,,,,,I&C SCI 53,
I&C SCI,60,Computer Games and Society,4,III,"The study and critical analysis of computer games as art objects, cultural artifacts, gateways to virtual worlds, educational aids, and tools for persuasion and social change. Emphasis on understanding games in their historical and cultural context.",Satisfaction of the UC Entry Level Writing Requirement.,School of Info & Computer Sci students have first consideration for enrollment. Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,61,Game Systems and Design,4,II,"Principles and usage of game design elements. Introduction to technologies that support modern computer games. Students design, implement, and critique several small games.",,Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,62,Game Technologies and Interactive Media,4,,"Technologies for interactive media and game design. Web-based software systems, virtual world platforms, and game engines. Emphasis is on conceptual and architectural aspects of these technologies.",I&C SCI 31 or I&C SCI 32A,,,,,,,,
I&C SCI,90,New Students Seminar,1,,"Introduces students to the Donald Bren School of Information and Computer Sciences. Focuses on advising students making the transition to UCI, community building, and mostly surveying the technical areas within departments in ICS, via talks by faculty on their research.",,School of Info & Computer Sci students have first consideration for enrollment.,,,,Pass/no pass only.,,,
I&C SCI,105,Digital Information Systems,4,,"Design and analysis of digital information systems. Covers underlying database and network technology, and software engineering principles used to build these systems. Evaluating digital information systems, and recognizing common flaws and vulnerabilities.",I&C SCI 10 or I&C SCI 21 or CSE 21 or I&C SCI H21 or IN4MATX 41. I&C SCI 10 with a grade of C or better. I&C SCI 21 with a grade of C or better. CSE 21 with a grade of C or better. I&C SCI H21 with a grade of C or better. IN4MATX 41 with a grade of C or better,,,"I&C SCI 52, IN4MATX 43.",,,,,
I&C SCI,139W,Critical Writing on Information Technology,4,Ib,"Study and practice of critical writing and oral communication as it applies to information technology. Each student writes assignments of varying lengths, totaling at least 4,000 words.",Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only. School of Info & Computer Sci students have first consideration for enrollment.,,,,,,,
I&C SCI,161,Game Engine Lab,4,,"The use of an open source game or graphics engine in the design and implementation of a computer game. Principles of game engine design. Students work on teams to design, implement, and evaluate new computer games based on an engine.",I&C SCI 45C or CSE 45C,School of Info & Computer Sci students have first consideration for enrollment.,,,,,,,
I&C SCI,162,Modeling and World Building,4,,"Use of 3D modeling software and related tools to design and create animated, textured models, and expansive virtual worlds incorporating objects, scenes, and venues for activity within game worlds and online environments.",,School of Info & Computer Sci students have first consideration for enrollment.,,,,,,,I&C SCI 33 and (I&C SCI 6N or MATH 3A) and I&C SCI 61
I&C SCI,163,Mobile and Ubiquitous Games,4,,"Design and technology of mobile games, including mixed reality gaming, urban games, and locative media. Case studies of significant systems. Uses and limitations of location-based technologies. Infrastructures and their relationships to gameplay and design.",I&C SCI 61 and (I&C SCI 10 or I&C SCI 31 or I&C SCI 32A),,,,,,,,
I&C SCI,166,Game Design,4,,"Game design takes into consideration psychology, narrative, platform features and limitations, marketing, computer science capabilities, human-computer interface principles, industry trends, aesthetic judgment, and other factors. Students focus on video game design through lectures, readings, presentations, implementation, and play testing.",I&C SCI 61 and IN4MATX 43,School of Info & Computer Sci students have first consideration for enrollment. Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,167,Multiplayer Game Systems,4,,"Foundations and technologies that enable multiuser, networked, and persistent virtual environments. Emphasis on database design and management, network protocols, and concurrency control to accommodate large numbers of simultaneous users.",I&C SCI 51,School of Info & Computer Sci students have first consideration for enrollment. Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,168,Multiplayer Game Project,4,,"Designing and implementing a multiuser, networked, and persistent virtual environment or game. Emphasis on cultural aspects, community building, user interface issues and design, security, privacy, and economics.",IN4MATX 43 and I&C SCI 167. IN4MATX 43 with a grade of C or better,School of Info & Computer Sci students have first consideration for enrollment. Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,169A,Capstone Game Project I,4,,"Students work in teams to design and implement a new computer game or virtual world. Emphasis on sound, art, and level design, building a community, cut scenes, production values, full utilization of hardware and software platform, and current industry trends.",I&C SCI 168,Computer Game Science Majors have first consideration for enrollment.,,,,In Progress (Letter Grade with P/NP).,,,
I&C SCI,169B,Capstone Game Project II,4,,"Students work in teams to design and implement a new computer game or virtual world. Emphasis on sound, art, and level design, building a community, cut scenes, production values, full utilization of hardware and software platform, and current industry trends.",I&C SCI 169A. I&C SCI 169A with a grade of D- or better. In Progress grade for I&C SCI 169A also accepted.,Computer Game Science Majors have first consideration for enrollment.,,,,,,,
I&C SCI,192,Industrial or Public Sector Field Study,2-4,,"Students participate in an off-campus, supervised internship for a minimum of 60 hours. Students apply classroom knowledge through internship projects in the private sector or nonprofit agencies.",,School of Info & Computer Sci students have first consideration for enrollment. Computer Science Engineering Majors have first consideration for enrollment.,,,,Pass/no pass only.,May be taken for credit 4 times.,,
I&C SCI,193,Tutoring in ICS,2,,Principles and practice of providing technical assistance to novice learners in information and computer sciences.,,ICS Peer Tutoring Program students only.,,,,,May be taken for credit for 18 units.,,
I&C SCI,H197,Honors Seminar,2,,"An overview of computer science and selected recent trends in research. Students attend talks on current faculty research, with opportunities for discussion.",,Bren School of ICS Honors students only. Campuswide Honors Collegium students only.,,,,Pass/no pass only.,,,
I&C SCI,398A,Teaching Assistant Training Seminar,2,,"Theories, methods, and resources for teaching computer science at the university level, particularly by teaching assistants. Classroom presentations, working with individuals, grading, motivating students. Participants will give and critique presentations and may be videotaped while teaching.",,,,,,Satisfactory/unsatisfactory only.,,,
I&C SCI,398B,Advanced Teaching Assistant Seminar,4,,"Teaching computer science at the university level, emphasizing issues in teaching an entire course. Course organization, designing examinations and projects, grading, motivating students. Participants will begin to assemble teaching portfolios.",I&C SCI 398A,,,,,Satisfactory/unsatisfactory only.,,,
I&C SCI,399,University Teaching,4,,Involves on-the-job experience for Teaching Assistants.,,Teaching assistants only.,,,,,May be repeated for credit unlimited times.,,
