department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ITALIAN,1A,Fundamentals of Italian,5,,"First quarter of first-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",,,,"ITALIAN S1AB, ITALIAN 1AB.",,,,,
ITALIAN,1AB,Intensive Italian Fundamentals,7.5,,"First half of first-year Italian in a time-intensive form. Development of meaningful communicative skills for the purposes of interaction with Italian speakers and beginning study of Italian. Learner-centered approach develops speaking, listening, reading, writing, and cultural skills and knowledge.",,ITALIAN 1AB and ITALIAN 1A and ITALIAN 1B and ITALIAN S1AB may not be taken for full credit.,,"ITALIAN 1A, ITALIAN 1B, ITALIAN S1AB.",,,,,
ITALIAN,1B,Fundamentals of Italian,5,,"Second quarter of first-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 1A. ITALIAN 1A with a grade of C or better. Placement into ITALIAN 1B is also accepted.,,,"ITALIAN S1AB, ITALIAN S1BC, ITALIAN 1AB, ITALIAN 1BC.",,,,,
ITALIAN,1BC,Intensive Italian Fundamentals,7.5,VI,"Second half of first-year Italian in a time-intensive form. Development of meaningful communicative skills for the purposes of interaction with Italian speakers and beginning study of Italian. Learner-centered approach develops speaking, listening, reading, writing, and cultural skills and knowledge.",ITALIAN 1AB or ITALIAN S1AB or ITALIAN 1B. ITALIAN 1AB with a grade of C or better. ITALIAN S1AB with a grade of C or better. ITALIAN 1B with a grade of C or better. Placement into ITALIAN 1BC is also accepted.,ITALIAN 1AB and ITALIAN 1A and ITALIAN 1B and ITALIAN S1AB may not be taken for full credit.,,"ITALIAN 1B, ITALIAN 1C, ITALIAN S1BC.",,,,,
ITALIAN,1C,Fundamentals of Italian,5,VI,"Third quarter of first-year Italian in a hybrid format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN 1B or ITALIAN 1AB or ITALIAN S1AB. ITALIAN 1B with a grade of C or better. ITALIAN 1AB with a grade of C or better. ITALIAN S1AB with a grade of C or better. Placement into ITALIAN 1C is also accepted.,,,"ITALIAN S1BC, ITALIAN 1BC.",,,,,
ITALIAN,S1AB,Italian Fundamentals,7.5,,"First-year Italian in an intensified form.  Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak.  Classes are conducted entirely in Italian and meet daily three hours for five weeks each session.",,ITALIAN S1AB and ITALIAN 1A and ITALIAN 1B and ITALIAN 1AB may not be taken for full credit.,,"ITALIAN 1A, ITALIAN 1B, ITALIAN 1AB.",,,,,
ITALIAN,S1BC,Italian Fundamentals,7.5,VI,"First-year Italian in an intensified form.  Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak.  Classes are conducted entirely in Italian and meet daily three hours for five weeks each session.",ITALIAN S1AB or ITALIAN 1B or ITALIAN 1AB. ITALIAN S1AB with a grade of C or better. ITALIAN 1B with a grade of C or better. ITALIAN 1AB with a grade of C or better,ITALIAN S1BC and ITALIAN 1B and ITALIAN 1C and ITALIAN 1BC may not be taken for full credit.,,"ITALIAN 1B, ITALIAN 1C, ITALIAN 1BC.",,,,,
ITALIAN,2A,Intermediate Italian,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in Italian.",ITALIAN 1C or ITALIAN 1BC or ITALIAN S1BC. ITALIAN 1C with a grade of C or better. ITALIAN 1BC with a grade of C or better. ITALIAN S1BC with a grade of C or better. Placement into ITALIAN 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
ITALIAN,2B,Intermediate Italian,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in Italian.",ITALIAN 2A. ITALIAN 2A with a grade of C or better. Placement into ITALIAN 2B is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
ITALIAN,2C,Intermediate Italian,4,VIII,"Texts of contemporary literary or social interest provide the focus for more advanced conversation, reading, and composition. Classes are conducted entirely in Italian.",ITALIAN 2B. ITALIAN 2B with a grade of C or better. Placement into 2C is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,,,,,,
ITALIAN,50,Topics in Italian Culture,4,IV and VIII,"Examines Italian culture at home and from abroad, in cinema, literature, and popular culture.",,,,,,,Unlimited as topics vary.,,
ITALIAN,99,Special Studies in Italian,4,,Both student and instructor arrive at the theme of the course and the critical approach to be followed in consultation. Intended to offer courses in Italian otherwise unavailable.,,,,,,,May be repeated for credit unlimited times.,,
ITALIAN,150,Topics in Italian Literature and Culture,4,,"Major themes, periods, and/or movements in Italian literature and culture. Taught in English.",,,,,,,Unlimited as topics vary.,,
ITALIAN,199,Tutorial in Italian Literature and Culture,4,,The student must submit a written description of the proposed course to the instructor and the Chair prior to the beginning of the course.,,,,,,,Unlimited as topics vary.,,
