department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MGMT,1,Introduction to Business and Management,4,,"Rigorous overview of major business functions and management topics. Addresses the global and fast-changing environment in which modern business enterprises operate as well as the challenges posed by concerns about sustainable growth, ethics, and social responsibility.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,4A,Basic Economics for Managers I,4,III,Microeconomic principles for managers. Useful applications of basic economic principles to situations in business as well as in various professions. Materials fee.,,"Business Administration Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4A may not be used as a substitute for ECON 20A.",,"ECON 23, ECON 20A.",,,,,
MGMT,4B,Basic Economics for Managers II,4,III,Macroeconomic principles for managers. Useful applications of basic economic principles to situations in business as well as in various professions.,MGMT 4A or ECON 20A,"Business Administration Majors have first consideration for enrollment. For School of Social Sciences majors, MGMT 4B may not be used as a substitute for ECON 20B.",,ECON 20B.,,,,,
MGMT,5,Management of Contemporary Organizations,4,,"Equips students with working knowledge of several major subject areas within the context of business and society studies. Topics include:  role of management in organizations, corporate social responsibility and responsiveness, ethics and values in business, government regulation, and international business.",,,,,,,,,
MGMT,7,Statistics for Business Decision Making,4,Va,"Basics of data analysis and the fundamental notion of statistical inference emphasizing applications to administrative and management decision problems. Classical estimation and hypotheses testing, regression, correlation, analysis of variance, nonparametric methods, and statistical probability.",,Business Administration Majors have first consideration for enrollment.,,"STAT 7, STAT 8, ECON 15A, ECON 15B.",,,,,
MGMT,10,Business Management in the World Today,4,,"Accounting scandals, e-commerce, and globalization are only a few examples that show the profound impact of business practices on individuals and on society at large. Provides students with a broad overview of business functions and management practices.",,,,,,,,,
MGMT,30A,Principles of Accounting I,4,,"First in a two course introductory series. Emphasis on financial accounting concepts and practices essential to the administration of business enterprises; including recording and valuation of financial transactions, and preparation, analysis, and interpretation of financial statements.",,Business Administration Majors have first consideration for enrollment.,,ECON 25.,,,,,
MGMT,30B,Principles of Accounting II,4,,"Second in a two-course introductory series. Emphasis is on the introduction of managerial accounting concepts and techniques as tools to aid management in carrying out the primary internal functions of planning, control, and decision-making.",MGMT 30A,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,90,Special Topics in Management,1,,Studies in selected areas of management. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
MGMT,101,Management Science,4,,"Concepts and methods of management science, which applies mathematical modeling and analysis to management problems. Topics include linear and integer programming, project scheduling, inventory management, queuing analysis, decision analysis, and simulation.",MGMT 7,Upper-division students only. Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,102,Managing Organizational Behavior,4,,"Basic theory and concepts which provide the manager with tools for understanding behavior of people in organizations. Areas such as individual, group, and organizational determinants of attitudes, turnover, and job performance.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,105,Introduction to Marketing,4,,"Basic marketing concepts; discussion of the role marketing plays in modern society. Topics include industrial and consumer marketing, promotion, distribution, and pricing theory.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,107,Introduction to Management Information Systems,4,,"Information Technology (IT) continues to drive rapid productivity growth and structural changes in the economy. Topics include what IT is, and how companies can use IT to improve business processes, enhance customer services, and gain competitive advantage over rivals.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,109,Introduction to Managerial Finance,4,,"Basics of financial administration. Capital budgeting, cost of capital, cash budgeting, working capital management, and long-term sources of funds. Provides a basic understanding of issues and techniques involved in financial decision making.",MATH 2B and MGMT 30A,Upper-division students only. Business Administration Majors have first consideration for enrollment.,,ECON 134A.,,,,,
MGMT,110,Strategic Management,4,,"Addresses management of the entire business.  Role of the general manager in organizations, industry analysis, core competencies, growth through vertical integration, innovation, acquisition and diversification, globalization, strategy implementation, and the ethical and moral responsibility of a manager.",MGMT 102 and MGMT 105 and MGMT 109,Business Administration Majors have first consideration for enrollment.,,ECON 147B.,,,,,
MGMT,111,China and the Global Order,4,VIII,"Introduces students to China's economic and military relations with the world, assessment of likelihood for conflict, and how to strategically manage business risk from regional conflict. Includes an original documentary series and engaging discussion.",,,,,,,,,
MGMT,113,New Ventures: A Course in Entrepreneurship,4,,"Introduction to the survival and growth of new ventures. Methods include analysis of live cases, guest speakers, discussion, and field projects with contemporary new ventures to learn about new venture management and surviving the liabilities of newness.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,115,Lean Startup,4,,"Based on the well-known Lean Launchpad course currently used by a growing segment of the startup world. Students work in teams to ideate, develop a Business Model Canvas, and gather customer/market feedback.",,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,123,Learning to Think Creatively and Innovate,4,,Learn about your own thinking process; develop the ability to think both logically and creatively and to understand how emotions affect your thinking. Class sessions involve discussion and experiential exercises. Business problems and issues are used for discussion and exercises.,,Business Administration Majors have first consideration for enrollment.,,,,,,,
MGMT,124,Human Resources Management,4,,"Theory and practice of managing human resources. Students will identify and analyze HR dilemmas, apply labor law, and design systems and processes to develop the human resources needed to help organizations achieve their goals.",,Business Administration Majors have first consideration for enrollment. Business Information Mgmt Majors have first consideration for enrollment.,,,,,,,
