department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
ENGRMAE,10,Introduction to Engineering Computations,4,,"Introduction to the solution of engineering problems through the use of the computer. Elementary programming, numerical analysis, and data visualization with a high-level programming language such as MATLAB.",MATH 2A or MATH 5A,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,"EECS 10, EECS 12, BME 60B.",,,,MATH 2A,
ENGRMAE,30,Statics,4,,"Addition and resolution of forces, distributed forces, equivalent system of forces centroids, first moments, moments and products on inertia, equilibrium of rigid bodies, trusses, beams, cables.  Course may be offered online.",MATH 2D and PHYSICS 7C,School of Engineering students have first consideration for enrollment.,"ENGRCEE 30, ENGR 30.",,,,,MATH 2D,
ENGRMAE,52,Computer-Aided Design,4,,"Develops skills for interpretation and presentation of mechanical design drawings and the use of CAD in engineering design. An integrated approach to drafting based on sketching, manual drawing, and three-dimensional CAD techniques is presented.",,Mechanical Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,57,Manufacturing Processes in Engineering,2,,"With laboratory. Machines and processes of mechanical manufacturing. Safety and professional procedures emphasized.  Use of measuring instruments, hand tools, lathe, mill, drill press, bandsaw, grinder, welding equipment.",,School of Engineering students have first consideration for enrollment.,,,,Pass/no pass only.,,,
ENGRMAE,60,Electric Circuits,4,,"Design and analysis of analog circuits based on lumped circuit elements with emphasis on the use of operational amplifiers. Sinusoidal and transient response. Constructional and laboratory testing of analog circuits, and introduction to data acquisition. Materials fee.",PHYSICS 7D and PHYSICS 7LD,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Materials Science Engineering Majors have first consideration for enrollment.,,EECS 70A.,,,,MATH 3D,
ENGRMAE,80,Dynamics,4,,"Introduction to the kinematics and dynamics of particles and rigid bodies. The Newton-Euler, Work/Energy, and Impulse/Momentum methods are explored for ascertaining the dynamics of particles and rigid bodies. An engineering design problem using these fundamental principles is also undertaken.",MATH 2D and PHYSICS 7C,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,"ENGRCEE 80, ENGR 80.",,,,,,
ENGRMAE,91,Introduction to Thermodynamics,4,,Thermodynamic principles; open and closed systems representative of engineering problems. First and second law of thermodynamics with applications to engineering systems and design.,PHYSICS 7C and MATH 2D,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,CBE 40B.,,,,,
ENGRMAE,93,Topics in Design Project,1-4,,"Early-stage design/hands-on experience for students, and allows them to participate alongside seniors in the design project.",,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
ENGRMAE,106,Mechanical Systems Laboratory,4,,"Experiments in linear systems, including op-amp circuits, vibrations, and control systems. Emphasis on demonstrating that mathematical models can be useful tools for the analysis and design of electro-mechanical systems.  Materials fee.",ENGRMAE 60 or EECS 70A,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Civil Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,107,Fluid Thermal Science Laboratory,4,,"Fluid and thermal engineering laboratory. Experimental analysis of fluid flow, heat transfer, and thermodynamic systems. Probability, statistics, and uncertainly analysis. Report writing is emphasized and a design project is required. Materials fee.",,Mechanical Engineering Majors have first consideration for enrollment.,,,,,,ENGRMAE 120,
ENGRMAE,108,Aerospace Laboratory,4,,"Analytical and experimental investigation in aerodynamics, fluid dynamics, and heat transfer. Emphasis on study of flow over objects and lift and drag on airfoils. Introduction to basic diagnostic techniques. Report writing is emphasized. Design project is required.",ENGRMAE 130B,Aerospace Engineering Majors have first consideration for enrollment. Mechanical Engineering majors have second consideration for enrollment.,,,,,,,
ENGRMAE,110,Combustion and Fuel Cell Systems,4,,"Fundamentals of gaseous, liquid, and coal-fired combustion and fuel cell systems. Fuels, fuel-air mixing, aerodynamics, and combustion and fuel cell thermodynamics. Operating and design aspects of practical systems including engines, power generators, boilers, furnaces, and incinerators.",ENGRMAE 115,Mechanical Engineering Majors have first consideration for enrollment. Chemical Engineering Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,112,Propulsion,4,,"Application of thermodynamics and fluid mechanics to basic flow processes and cycle performance in propulsion systems: gas turbines, ramjets, scramjets, and rockets.",ENGRMAE 135,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,113,Electric Propulsion,4,,"Space propulsion requirements and maneuvers, stressing those best suited to electric propulsion. An introduction to plasma physics. Electrothermal, electromagnetic, and electrostatis accelerators, with emphasis in technologies (ion engines, Hall thrusters, and colloidal thrusters) belonging to the latter family.",ENGRMAE 112,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,ENGRMAE 213.,,,,
ENGRMAE,114,Fuel Cell Fundamentals and Technology,4,,"Introduction to electrochemistry and electrocatalysis; nature of fuel-cell electrodes and electrolytes; charge transfer reactions at interfaces; charge transport and mass transport processes; fuel processing reactions; determination of fuel cell efficiency, fuel flexibility, emissions, and other characteristics.",ENGRMAE 115,Seniors only. Mechanical Engineering Majors have first consideration for enrollment. Chemical Engineering majors have second consideration for enrollment.,,,ENGRMAE 214A.,,,,
ENGRMAE,115,Applied Engineering Thermodynamics,4,,"Application of thermodynamic principles to compressible and incompressible processes representative of practical engineering problems; power cycles, refrigeration cycles, multicomponent mixtures, air conditioning systems, combustion, and compressible flow. Design of a thermodynamic process.",ENGRMAE 91 or CBE 40B or ENGRMSE 65A,Mechanical Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment. Environmental Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,117,Solar and Renewable Energy Systems,4,,"Basic principles, design, and operation of solar and other renewable energy systems including solar photo-voltaic, solar thermal, wind, and PEM fuel cell. Includes power generation and storage, and renewable fuels for transportation and stationary power generation.",(ENGRMAE 91 or CBE 40B),Mechanical Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,118,Sustainable Energy Systems,4,,"Basic principles, design, and operation of sustainable energy systems including wind, solar photo-voltaic and thermal, hydroelectric, geothermal, oceanic, biomass combustion, advanced coal, and next generation nuclear. Includes power generation, storage, and transmission for stationary power generation.",ENGRMAE 115,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,ENGRMAE 218.,,,,
ENGRMAE,119,Climate Solutions,4,,"Focuses on carbon neutrality and climate stability, addressing.",,Upper-division students only.,"EARTHSS 179, UPPP 111.",,,,,,
ENGRMAE,120,Heat and Mass Transfer,4,,"Fundamentals of heat and mass transfer. Conduction, heat and mass transfer by convection in laminar and turbulent flows, radiation heat transfer, and combined modes of heat and mass transfer. Practical engineering applications.",ENGRMAE 130B,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment. Materials Science and Engr Majors have first consideration for enrollment.,,CBE 120B.,,,,,
ENGRMAE,130A,Introduction to Fluid Mechanics,4,,"Fundamental concepts; fluid statics; fluid dynamics; Bernoulli's equation; control-volume analysis; basic flow equations of conservation of mass, momentum, and energy; differential analysis; potential flow; viscous incompressible flow.",PHYSICS 7C and MATH 2D and MATH 2E and MATH 3D and (ENGRMAE 30 or ENGRCEE 30 or ENGR 30) and (ENGRMAE 80 or ENGRCEE 80 or ENGR 80). PHYSICS 7C with a grade of C- or better. MATH 2D with a grade of C- or better. MATH 2E with a grade of C- or better. MATH 3D with a grade of C- or better. ENGRMAE 30 with a grade of C- or better. ENGRCEE 30 with a grade of C- or better. ENGR 30 with a grade of C- or better. ENGRMAE 80 with a grade of C- or better. ENGRCEE 80 with a grade of C- or better. ENGR 80 with a grade of C- or better,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,,,,ENGRMAE 91,
ENGRMAE,130B,Introduction to Viscous and Compressible Flows,4,,"Introduction to the analysis of viscous flows including fully developed laminar and turbulent flow in a pipe, viscous flow over immersed bodies, evaluation of boundary layer characteristics, lift and drag, compressible flow in a duct and normal shock waves.",ENGRMAE 130A,Mechanical Engineering Majors have first consideration for enrollment. Aerospace Engineering Majors have first consideration for enrollment.,,,,,,,
ENGRMAE,132,Computational Fluid Dynamics,4,,"Introduction to computational fluid dynamics in simple engineering devices. The numerical simulations will be performed via the widely-used software ANSYS-Fluent. While Fluent is the choice of software, all major CFD packages are based on a similar numerical method.",ENGRMAE 130B. ENGRMAE 130B with a grade of C- or better,Aerospace Engineering Majors only. Mechanical Engineering Majors only.,,,,,,,
