department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
MUSIC,3,Introduction to Music,4,IV,"Introduction to musical concepts and active listening skills. Students develop musical understanding through critical readings, selected repertoire, fundamental concepts related to rhythm, pitch, and genre.  Students apply those concepts to music from a wide range of historical and cultural origins.",,,,,,,,,
MUSIC,4,Introduction to Opera,4,IV,"Introduces students with no musical background to the dramatic and performance conventions of opera, and suggests ways of developing a critical stance vis-a-vis the social, political, gender-related and moral conflicts that are presented by composers and librettists.",,,,,,,,,
MUSIC,5,Popular Music in the United States,4,IV,"Examines the cultural, social, political, and economic dimensions of popular music in the United States over the last century and a half, with an emphasis on matters related to class, race, ethnicity, and gender.",,,,,,,,,
MUSIC,8,The Beatles and the Sixties,4,IV,"Through a study of the music of the Beatles, students are introduced to selected broader historical and cultural themes (e.g., race and music, gender and music, music and the counterculture) while developing an understanding of the basic elements of music.",,,,,,,,,
MUSIC,9,Rock: The Early Years,4,IV,Surveys the social and cultural fabric of the post-World War II United States (from the late 1940s through the early 1970s) as seen through the prism of music - rock and roll music.,,,,,,,,,
MUSIC,10,Piano for Majors,1,,"For Music majors with little or no piano experience. Provides the necessary background for realizing keyboard exercises required in the theory and harmony courses, and develops skills to play and sight-read simple music from different periods.",,Music Majors only. Music - Performance Majors only.,,,,,May be taken for credit 3 times.,,
MUSIC,15A,Musicianship I,2,,"Interval and chord quality identification, melodic and harmonic dictation, tonal and chromatic sight-singing, and rhythmic reading and dictation.",,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 16A,
MUSIC,15B,Musicianship II,2,,"Interval and chord quality identification, melodic and harmonic dictation, tonal and chromatic sight-singing, and rhythmic reading and dictation.",MUSIC 15A and MUSIC 16A. MUSIC 15A with a grade of C- or better. MUSIC 16A with a grade of C- or better,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 16B,
MUSIC,15C,Musicianship III,2,,"Interval and chord quality identification, melodic and harmonic dictation, tonal and chromatic sight-singing, and rhythmic reading and dictation.",MUSIC 15B and MUSIC 16B. MUSIC 15B with a grade of C- or better. MUSIC 16B with a grade of C- or better,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 16C,
MUSIC,16A,Music Theory,4,,"Review of music fundamentals.  Triad and seventh chords, musical texture, chord spacing, embellishing tones, and introduction to diatonic harmony.  Part-writing and model composition with tonic, dominant seventh, and subdominant harmonies.",,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 15A,
MUSIC,16B,Music Theory,4,,"Introduction to phrase structure.  Part-writing and harmonization with predominants, linear dominants, 6/4 embellishing chords, leading-tone and other diatonic seventh chords.  Advanced meters and rhythmic-metric dissonance. Diatonic sequence.  Introduction to tonicization and modulation through motion to V and III.",MUSIC 15A and MUSIC 16A. MUSIC 15A with a grade of C- or better. MUSIC 16A with a grade of C- or better,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 15B,
MUSIC,16C,Music Theory,4,,"Tonicization and modulation to closely related keys.  Simple binary and ternary forms.  Voice-leading reductions and simple forms.  Diatonic sequence with seventh chords.  Introduction to chromatic harmony I: modal exchange and mixture chords, the Neapolitan and augmented sixth chords.",MUSIC 15B and MUSIC 16B. MUSIC 15B with a grade of C- or better. MUSIC 16B with a grade of C- or better,Music Majors only. Music - Performance Majors only.,,,,,,MUSIC 15C,
MUSIC,16D,Theory/Musicianship,4,,"Extended homophonic and contrapuntal formal designs (continuous variations, rondo form, sonata form, invention, fugue). Embellishing chromatic chords, dominant prolongation, modulations to foreign keys, extended harmonies, chromatic sequence, chromatic voice-leading and symmetrical divisions of the octave.",MUSIC 15C and MUSIC 16C. MUSIC 15C with a grade of C- or better. MUSIC 16C with a grade of C- or better,Music Majors only. Music - Performance Majors only.,,,,,,,
MUSIC,21A,Keyboard Skills,1,,"Designed to develop the foundational skills of sight-reading, harmonization, transposition, improvisation, figured bass realization, and score reading.",,Lower-division students only. Music Majors only. Music - Performance Majors only.,,,,,May be taken for credit 6 times.,,
MUSIC,21B,Keyboard Skills,1,,"Designed to develop the foundational skills of sight-reading, harmonization, transposition, improvisation, figured bass realization, and score reading.",,Lower-division students only. Music Majors only. Music - Performance Majors only.,,,,,May be taken for credit 6 times.,,
MUSIC,21C,Keyboard Skills,1,,"Designed to develop the foundational skills of sight-reading, harmonization, transposition, improvisation, figured bass realization, and score reading.",,Lower-division students only. Music Majors only. Music - Performance Majors only.,,,,,May be taken for credit 6 times.,,
MUSIC,25,Fundamentals of Music,4,IV,"Gain comprehensive insight into the fundamental concepts of music theory, including notation, harmony, and score analysis. Designed for students of all levels to improve their understanding of how music is composed, performed, and heard. Formerly MUSIC 25A.",,,,,,,,,
MUSIC,40B,History of European Music: From the Renaissance through the Baroque,4,IV and VIII,"An introduction to the analysis of musical styles and forms, to the sources for constructing music history and reconstructing historical music, and to J.S. Bach.",MUSIC 16C. MUSIC 16C with a grade of C- or better,Music Majors have first consideration for enrollment. Music - Performance Majors have first consideration for enrollment.,,,,,,,
MUSIC,40C,History of European Music: Hasse to Mahler,4,IV and VIII,"An introduction to the analysis of musical styles and forms, and to the sources for constructing music history and reconstructing historical music, to Richard Wagner.",MUSIC 40B. MUSIC 40B with a grade of D or better. Recommended: MUSIC 16D,Music Majors have first consideration for enrollment. Music - Performance Majors have first consideration for enrollment.,,,,,,,
MUSIC,40D,20th Century Music,4,IV and VIII,"Survey of principal composers, movements, and compositional techniques of Western art music of the modern era.",MUSIC 16C. MUSIC 16C with a grade of C- or better,Music Majors have first consideration for enrollment. Music - Performance Majors have first consideration for enrollment.,,,,,,,
MUSIC,41,Major Composer,4,IV,"Study of the works of an important composer with emphasis on their significance in historical and social contexts. Composers selected represent a wide variety of historical periods, nationalities, and stylistic orientations.",,,,,,,May be taken for credit 2 times as topics vary.,,
