department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
PHYSICS,2,Introduction to Mathematical Methods for Physics,4,,"Provides the applied mathematics and problem solving/presentation skills necessary for success in an introductory physics sequence. Focuses on practical exercises in problem solving. Covers kinematics in one and two dimensions in detail. Additional topics include vectors, differentiation, and integration.",,PHYSICS 2 may not be taken for credit if taken after PHYSICS 7C.,,,,,,,MATH 2A or MATH 5A or AP Calculus AB or AP Calculus BC. AP Calculus AB with a minimum score of 4. AP Calculus BC with a minimum score of 3
PHYSICS,3A,Basic Physics I,4,II and VA,"Vectors; motion, force, and energy.",,PHYSICS 3A may not be taken for credit if taken after PHYSICS 7C.,,,,,,"MATH 2A or MATH 5A, or a score of 4 or higher on the AP Calculus AB exam, or a score of 3 or higher on the AP Calculus BC exam.",
PHYSICS,3B,Basic Physics II,4,II and VA,Fluids; heat; electricity and magnetism.,PHYSICS 3A or AP Physics C: Mechanics. AP Physics C: Mechanics with a minimum score of 5,,,,,,,,
PHYSICS,3C,Basic Physics III,4,II and Va,Waves and sound; optics; quantum ideas; atomic and nuclear physics; relativity.,PHYSICS 3A or AP Physics C: Mechanics. AP Physics C: Mechanics with a minimum score of 5,,,,,,,"MATH 2B or MATH 5B, or a score of 4 or higher on the AP Calculus BC exam.",
PHYSICS,3LB,Basic Physics Laboratory,1.5,,Practical applications of electronics and classical physics to biology. Goals include skill to use oscilloscope and other basic instrumentation. Materials fee.,,,,,,,,,
PHYSICS,3LC,Basic Physics Laboratory,1.5,,"Practical applications of physics to medical imaging.  Topics include optics, radioactivity, and acoustics. Materials fee.",,,,,,,,,
PHYSICS,7C,Classical Physics,4,II and VA,"Topics include force, energy, momentum, rotation, and gravity.",PHYSICS 2 or (MATH 2D and (CHEM 1C or CHEM H2C or CHEM M3C) or CHEM M2C) or AP Physics C: Mechanics or AP Physics C: Electricity and Magnetism or SAT Mathematics or ACT Mathematics. PHYSICS 2 with a grade of C or better. AP Physics C: Mechanics with a minimum score of 4. AP Physics C: Electricity and Magnetism with a minimum score of 4. SAT Mathematics with a minimum score of 650. ACT Mathematics with a minimum score of 27. Recommended: One year of high school physics or equivalent physics background.,Physics Majors have first consideration for enrollment.,,,,,,"MATH 2B or AP CALCULUS BC, min score = 4.",
PHYSICS,7D,Classical Physics,4,II and Va,Electricity and magnetism.,PHYSICS 7C and (MATH 2B or AP Calculus BC). AP Calculus BC with a minimum score of 4,Physics Majors have first consideration for enrollment.,,,,,,PHYSICS 7LD and MATH 2D,
PHYSICS,7E,Classical Physics,4,II and VA,Fluids; oscillations; waves; and optics.,PHYSICS 7C and MATH 2B,Physics Majors have first consideration for enrollment.,,,,,,,
PHYSICS,7LC,Classical Physics Laboratory,1,,Experiments related to lecture topics in Physics 7C. Materials fee.,,Physics Majors have first consideration for enrollment.,,,,,,PHYSICS 7C,
